Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,391,302,89,0
2015-05-02,320,209,111,0
2015-05-03,289,257,32,0
2015-05-04,587,509,78,0
2015-05-05,251,215,36,0
2015-05-06,444,418,26,0
2015-05-07,200,183,17,0
2015-05-08,310,297,13,0
2015-05-09,318,288,30,0
2015-05-10,268,244,24,0
2015-05-11,292,263,29,0
2015-05-12,405,383,22,0
2015-05-13,321,283,38,0
2015-05-14,221,186,35,0
2015-05-15,232,192,40,0
2015-05-16,263,172,91,0
2015-05-17,209,181,28,0
2015-05-18,180,140,40,0
2015-05-19,277,254,23,0
2015-05-20,219,197,22,0
2015-05-21,226,200,26,0
2015-05-22,228,194,34,0
2015-05-23,280,250,30,0
2015-05-24,264,231,33,0
2015-05-25,217,184,33,0
2015-05-26,237,209,28,0
2015-05-27,193,171,22,0
2015-05-28,329,296,33,0
2015-05-29,362,320,42,0
2015-05-30,492,410,82,0
2015-05-31,477,447,30,0
2015-06-01,306,252,54,0
2015-06-02,281,236,45,0
2015-06-03,337,284,53,0
2015-06-04,598,532,66,0
2015-06-05,805,735,70,0
2015-06-06,442,386,56,0
2015-06-07,333,298,35,0
2015-06-08,490,438,52,0
2015-06-09,978,942,36,0
2015-06-10,682,627,55,0
2015-06-11,475,425,50,0
2015-06-12,331,297,34,0
2015-06-13,409,304,105,0
2015-06-14,296,255,41,0
2015-06-15,230,207,23,0
2015-06-16,205,180,25,0
2015-06-17,89,76,13,0
2015-06-18,138,124,14,0
2015-06-19,98,84,14,0
2015-06-20,91,65,26,0
2015-06-21,135,119,16,0
2015-06-22,215,191,24,0
2015-06-23,159,139,20,0
2015-06-24,112,104,8,0
2015-06-25,192,176,16,0
2015-06-26,174,162,12,0
2015-06-27,164,144,20,0
2015-06-28,268,257,11,0
2015-06-29,236,230,6,0
2015-06-30,149,140,9,0
2015-07-01,207,180,27,0
2015-07-02,163,143,20,0
2015-07-03,140,121,19,0
2015-07-04,171,163,8,0
2015-07-05,262,243,19,0
2015-07-06,219,209,10,0
2015-07-07,207,192,15,0
2015-07-08,219,198,21,0
2015-07-09,229,214,15,0
2015-07-10,200,180,20,0
2015-07-11,102,75,27,0
2015-07-12,142,123,19,0
2015-07-13,130,119,11,0
2015-07-14,170,158,12,0
2015-07-15,154,138,16,0
2015-07-16,251,179,72,0
2015-07-17,139,121,18,0
2015-07-18,88,78,10,0
2015-07-19,133,57,76,0
2015-07-20,310,300,10,0
2015-07-21,386,374,12,0
2015-07-22,306,290,16,0
2015-07-23,169,156,13,0
2015-07-24,200,181,19,0
2015-07-25,171,147,24,0
2015-07-26,156,141,15,0
2015-07-27,144,139,5,0
2015-07-28,170,156,14,0
2015-07-29,317,292,25,0
2015-07-30,191,178,13,0
2015-07-31,223,216,7,0
2015-08-01,134,100,34,0
2015-08-02,194,179,15,0
2015-08-03,225,214,11,0
2015-08-04,601,570,31,0
2015-08-05,422,396,26,0
2015-08-06,371,353,18,0
2015-08-07,470,443,27,0
2015-08-08,237,208,29,0
2015-08-09,381,358,23,0
2015-08-10,430,384,46,0
2015-08-11,413,376,37,0
2015-08-12,215,196,19,0
2015-08-13,274,253,21,0
2015-08-14,190,173,17,0
2015-08-15,194,187,7,0
2015-08-16,194,183,11,0
2015-08-17,197,181,16,0
2015-08-18,345,325,20,0
2015-08-19,135,122,13,0
2015-08-20,423,409,14,0
2015-08-21,297,285,12,0
2015-08-22,240,221,19,0
2015-08-23,321,306,15,0
2015-08-24,198,177,21,0
2015-08-25,352,311,41,0
2015-08-26,319,304,15,0
2015-08-27,139,117,22,0
2015-08-28,165,152,13,0
2015-08-29,121,111,10,0
2015-08-30,154,138,16,0
2015-08-31,157,107,50,0
2015-09-01,174,153,21,0
2015-09-02,248,192,56,0
2015-09-03,172,161,11,0
2015-09-04,123,92,31,0
2015-09-05,155,119,36,0
2015-09-06,105,96,9,0
2015-09-07,113,99,14,0
2015-09-08,139,124,15,0
2015-09-09,162,117,45,0
2015-09-10,673,658,15,0
2015-09-11,819,800,19,0
2015-09-12,825,795,30,0
2015-09-13,1006,986,20,0
2015-09-14,318,293,25,0
2015-09-15,353,329,24,0
2015-09-16,174,148,26,0
2015-09-17,229,211,18,0
2015-09-18,152,129,23,0
2015-09-19,202,171,31,0
2015-09-20,249,230,19,0
2015-09-21,146,128,18,0
2015-09-22,219,198,21,0
2015-09-23,99,90,9,0
2015-09-24,4099,4055,44,0
2015-09-25,253,230,23,0
2015-09-26,513,482,31,0
2015-09-27,832,755,77,0
2015-09-28,626,610,16,0
2015-09-29,513,500,13,0
2015-09-30,395,377,18,0
2015-10-01,369,356,13,0
2015-10-02,500,492,8,0
2015-10-03,230,214,16,0
2015-10-04,276,269,7,0
