Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,20003,18578,1377,48
2015-05-02,28247,25079,3144,24
2015-05-03,28715,26999,1695,21
2015-05-04,31789,29881,1875,33
2015-05-05,18423,16736,1644,43
2015-05-06,17557,15792,1731,34
2015-05-07,31644,29521,2056,67
2015-05-08,19538,17785,1702,51
2015-05-09,27834,26372,1436,26
2015-05-10,18494,16577,1880,37
2015-05-11,17258,15078,2137,43
2015-05-12,16769,13753,2982,34
2015-05-13,20155,17060,3061,34
2015-05-14,21588,18530,2989,69
2015-05-15,31303,28975,2281,47
2015-05-16,19311,17217,2065,29
2015-05-17,18263,15904,2307,52
2015-05-18,19651,16833,2780,38
2015-05-19,19139,16535,2559,45
2015-05-20,22045,19592,2417,36
2015-05-21,32772,31150,1608,14
2015-05-22,19211,17786,1330,95
2015-05-23,22944,21504,1407,33
2015-05-24,19532,17698,1790,44
2015-05-25,21426,19799,1599,28
2015-05-26,21083,19237,1802,44
2015-05-27,20563,18829,1693,41
2015-05-28,20180,18019,2122,39
2015-05-29,23457,21352,2071,34
2015-05-30,38698,35437,3238,23
2015-05-31,23228,20969,2241,18
2015-06-01,21162,18399,2712,51
2015-06-02,24153,21495,2615,43
2015-06-03,21633,19228,2371,34
2015-06-04,19583,17426,2132,25
2015-06-05,22145,20135,1961,49
2015-06-06,19557,17592,1942,23
2015-06-07,17781,15741,1989,51
2015-06-08,24545,22611,1888,46
2015-06-09,20849,18866,1905,78
2015-06-10,19869,17935,1901,33
2015-06-11,18900,16607,2265,28
2015-06-12,25189,23340,1819,30
2015-06-13,26607,24582,1967,58
2015-06-14,26435,24794,1612,29
2015-06-15,26647,25027,1568,52
2015-06-16,21606,19749,1807,50
2015-06-17,20656,17832,2769,55
2015-06-18,12352,10297,1988,67
2015-06-19,16123,14481,1580,62
2015-06-20,12252,10599,1631,22
2015-06-21,21410,19540,1831,39
2015-06-22,79473,77889,1534,50
2015-06-23,51746,50227,1494,25
2015-06-24,18535,16760,1754,21
2015-06-25,26768,22764,3964,40
2015-06-26,14299,12486,1756,57
2015-06-27,12689,10798,1862,29
2015-06-28,11323,10009,1277,37
2015-06-29,16154,14543,1574,37
2015-06-30,13096,11624,1450,22
2015-07-01,10610,9580,979,51
2015-07-02,11184,9918,1230,36
2015-07-03,11839,10700,1097,42
2015-07-04,12752,11533,1189,30
2015-07-05,22002,19768,2195,39
2015-07-06,37123,33942,3158,23
