Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,3536,3024,454,58
2015-05-02,3420,3036,359,25
2015-05-03,3951,3475,448,28
2015-05-04,4228,3681,476,71
2015-05-05,2948,2462,456,30
2015-05-06,2638,2114,490,34
2015-05-07,4491,4048,388,55
2015-05-08,3151,2627,471,53
2015-05-09,4539,4087,420,32
2015-05-10,3450,2977,442,31
2015-05-11,3460,2926,502,32
2015-05-12,4238,3501,692,45
2015-05-13,3881,2963,890,28
2015-05-14,3385,2896,437,52
2015-05-15,4519,4030,454,35
2015-05-16,3102,2621,441,40
2015-05-17,2908,2481,398,29
2015-05-18,3044,2517,494,33
2015-05-19,3355,2789,538,28
2015-05-20,2809,2289,477,43
2015-05-21,4795,4378,394,23
2015-05-22,3014,2501,482,31
2015-05-23,2966,2456,492,18
2015-05-24,2502,2088,397,17
2015-05-25,3242,2721,502,19
2015-05-26,3512,2950,530,32
2015-05-27,3336,2820,475,41
2015-05-28,3480,2997,445,38
2015-05-29,4274,3736,512,26
2015-05-30,4748,4309,406,33
2015-05-31,2831,2319,484,28
2015-06-01,2384,1904,457,23
2015-06-02,3166,2680,442,44
2015-06-03,3496,2905,570,21
2015-06-04,3311,2737,551,23
2015-06-05,3226,2689,516,21
2015-06-06,3052,2452,572,28
2015-06-07,2359,1878,447,34
2015-06-08,3273,2720,507,46
2015-06-09,3205,2660,525,20
2015-06-10,4915,4143,728,44
2015-06-11,4418,3843,529,46
2015-06-12,4539,3941,568,30
2015-06-13,3502,3027,453,22
2015-06-14,2640,2206,404,30
2015-06-15,4453,3962,476,15
2015-06-16,4989,4432,541,16
2015-06-17,8578,8073,476,29
2015-06-18,5204,4645,539,20
2015-06-19,3450,3075,344,31
2015-06-20,3000,2562,401,37
2015-06-21,3934,3526,391,17
2015-06-22,4249,3897,309,43
2015-06-23,3786,3426,347,13
2015-06-24,4884,4519,347,18
2015-06-25,7502,7077,405,20
2015-06-26,6037,5613,385,39
2015-06-27,6170,5565,577,28
2015-06-28,7269,6834,413,22
2015-06-29,9293,8932,343,18
2015-06-30,8208,7622,567,19
2015-07-01,7619,7215,378,26
2015-07-02,6249,5850,370,29
2015-07-03,6375,5946,402,27
2015-07-04,4376,3975,384,17
2015-07-05,8646,8064,571,11
2015-07-06,8551,7993,520,38
2015-07-07,17946,15588,2267,91
2015-07-08,4373,3893,449,31
2015-07-09,3192,2744,423,25
2015-07-10,3768,3371,364,33
2015-07-11,3504,3157,332,15
2015-07-12,3637,3191,431,15
2015-07-13,3537,3083,422,32
2015-07-14,3638,3130,473,35
2015-07-15,4527,4110,400,17
2015-07-16,6027,2966,3012,49
2015-07-17,2935,2250,657,28
2015-07-18,2693,2244,412,37
2015-07-19,4760,2430,2299,31
2015-07-20,3730,3240,457,33
2015-07-21,2179,1813,327,39
2015-07-22,3680,3270,380,30
2015-07-23,3391,2822,541,28
2015-07-24,2456,2089,345,22
2015-07-25,1936,1578,343,15
2015-07-26,2108,1682,388,38
2015-07-27,2634,2205,398,31
2015-07-28,2831,2394,401,36
2015-07-29,3279,2634,591,54
2015-07-30,2709,2254,424,31
2015-07-31,2466,1987,453,26
2015-08-01,2583,2059,501,23
2015-08-02,2215,1747,455,13
2015-08-03,1877,1467,369,41
2015-08-04,3339,2732,591,16
2015-08-05,2643,1989,631,23
2015-08-06,3175,2483,659,33
2015-08-07,3228,2518,689,21
2015-08-08,1675,1266,380,29
2015-08-09,2183,1717,432,34
2015-08-10,2345,1815,493,37
2015-08-11,1900,1409,461,30
2015-08-12,1990,1536,417,37
2015-08-13,2813,2350,445,18
2015-08-14,2254,1746,448,60
2015-08-15,2982,2541,410,31
2015-08-16,2392,1907,451,34
2015-08-17,2223,1750,454,19
2015-08-18,3113,2560,525,28
2015-08-19,2733,2177,516,40
2015-08-20,3790,3158,599,33
2015-08-21,2917,2206,672,39
2015-08-22,2130,1656,452,22
2015-08-23,3019,2297,660,62
2015-08-24,5546,4859,634,53
2015-08-25,3086,2418,641,27
2015-08-26,2167,1664,485,18
2015-08-27,3170,2531,602,37
2015-08-28,2578,2034,526,18
2015-08-29,2068,1683,361,24
2015-08-30,2231,1780,423,28
2015-08-31,2319,1778,513,28
2015-09-01,2122,1609,470,43
2015-09-02,2018,1493,496,29
2015-09-03,2162,1649,479,34
2015-09-04,3109,2545,544,20
2015-09-05,4628,4047,542,39
2015-09-06,2442,2004,393,45
2015-09-07,2192,1707,454,31
2015-09-08,2424,1886,500,38
2015-09-09,2200,1644,501,55
2015-09-10,2910,2443,446,21
2015-09-11,2864,2358,468,38
2015-09-12,3100,2574,489,37
2015-09-13,2338,1808,506,24
2015-09-14,3308,2628,631,49
2015-09-15,3140,2563,546,31
2015-09-16,2374,1882,445,47
2015-09-17,2598,2117,459,22
2015-09-18,2319,1803,467,49
2015-09-19,3385,2851,488,46
2015-09-20,3578,2979,587,12
2015-09-21,2891,2345,494,52
2015-09-22,2816,2392,403,21
2015-09-23,2099,1624,450,25
2015-09-24,2996,2597,379,20
2015-09-25,2586,2106,448,32
2015-09-26,2235,1706,492,37
2015-09-27,2417,1790,587,40
2015-09-28,2009,1487,500,22
2015-09-29,2918,2325,561,32
2015-09-30,3206,2515,666,25
2015-10-01,2989,2412,557,20
2015-10-02,2244,1807,418,19
2015-10-03,2097,1613,466,18
2015-10-04,1646,1202,409,35
2015-10-05,1856,1429,403,24
2015-10-06,2163,1645,496,22
2015-10-07,2573,2110,442,21
2015-10-08,2646,2001,593,52
2015-10-09,1698,1193,464,41
2015-10-10,1713,1227,453,33
2015-10-11,1814,1406,369,39
2015-10-12,3021,2465,458,98
2015-10-13,3170,2589,559,22
2015-10-14,2663,2159,455,49
2015-10-15,2383,1840,493,50
2015-10-16,2764,1969,698,97
2015-10-17,3706,2933,730,43
2015-10-18,1907,1377,496,34
2015-10-19,2920,2251,623,46
2015-10-20,1850,1368,461,21
2015-10-21,2326,1768,514,44
2015-10-22,2268,1750,478,40
2015-10-23,1968,1498,445,25
2015-10-24,2695,2234,444,17
2015-10-25,2573,1889,588,96
2015-10-26,2323,1799,489,35
2015-10-27,2478,2038,403,37
2015-10-28,1900,1404,441,55
2015-10-29,1945,1406,483,56
2015-10-30,2058,1633,391,34
2015-10-31,1708,1288,374,46
2015-11-01,1638,1209,400,29
2015-11-02,1876,1441,397,38
2015-11-03,1798,1376,388,34
2015-11-04,3254,2715,494,45
2015-11-05,2462,1945,475,42
2015-11-06,1565,1150,368,47
2015-11-07,1495,1077,383,35
2015-11-08,1563,1104,439,20
2015-11-09,1896,1458,393,45
2015-11-10,2170,1611,515,44
2015-11-11,1953,1445,452,56
2015-11-12,1645,1249,363,33
2015-11-13,1833,1276,518,39
2015-11-14,1628,965,629,34
2015-11-15,1673,1219,419,35
2015-11-16,2328,1821,473,34
2015-11-17,2049,1569,445,35
2015-11-18,2018,1498,481,39
2015-11-19,1890,1457,393,40
2015-11-20,2166,1606,509,51
2015-11-21,2348,1837,458,53
2015-11-22,2897,2260,590,47
2015-11-23,3235,2645,568,22
2015-11-24,2755,2220,508,27
2015-11-25,3108,2359,705,44
2015-11-26,2054,1517,520,17
2015-11-27,2205,1557,629,19
2015-11-28,1290,924,334,32
2015-11-29,2915,2235,649,31
2015-11-30,2002,1545,432,25
2015-12-01,2126,1638,443,45
2015-12-02,2086,1553,489,44
2015-12-03,1911,1390,495,26
2015-12-04,1647,1137,467,43
2015-12-05,1937,1450,467,20
2015-12-06,1698,1232,432,34
2015-12-07,1359,854,472,33
2015-12-08,1599,1110,455,34
2015-12-09,2500,1948,525,27
2015-12-10,2674,2118,525,31
2015-12-11,2480,1924,514,42
2015-12-12,2110,1588,481,41
2015-12-13,1694,1241,418,35
2015-12-14,2243,1733,477,33
2015-12-15,1481,1077,389,15
2015-12-16,2845,2299,519,27
2015-12-17,1639,1177,424,38
2015-12-18,1772,1261,481,30
2015-12-19,1681,1264,380,37
2015-12-20,2023,1498,482,43
2015-12-21,1917,1513,368,36
2015-12-22,1985,1572,396,17
2015-12-23,1646,1221,382,43
2015-12-24,2059,1603,405,51
2015-12-25,1799,1397,366,36
2015-12-26,1544,1116,395,33
2015-12-27,1225,749,434,42
2015-12-28,1363,931,409,23
2015-12-29,2236,1639,547,50
2015-12-30,1352,902,419,31
2015-12-31,1247,865,335,47
2016-01-01,2159,1704,423,32
2016-01-02,2641,2200,394,47
2016-01-03,2974,2583,372,19
2016-01-04,3301,2787,488,26
2016-01-05,2394,1895,461,38
2016-01-06,2040,1599,407,34
2016-01-07,2355,1893,436,26
2016-01-08,2265,1751,473,41
2016-01-09,1632,1184,427,21
2016-01-10,2487,1924,508,55
2016-01-11,2160,1582,513,65
2016-01-12,2212,1677,502,33
2016-01-13,1523,1031,468,24
2016-01-14,2856,2401,422,33
2016-01-15,2282,1824,403,55
2016-01-16,2071,1624,402,45
2016-01-17,4088,3567,468,53
2016-01-18,2508,2044,442,22
2016-01-19,3485,2958,480,47
2016-01-20,3011,2380,573,58
2016-01-21,2575,2111,419,45
2016-01-22,2579,2044,498,37
2016-01-23,3222,2482,706,34
2016-01-24,3017,2273,696,48
2016-01-25,6555,5164,1358,33
2016-01-26,2744,2013,699,32
2016-01-27,2129,1423,637,69
2016-01-28,3138,2414,702,22
2016-01-29,2357,1723,600,34
2016-01-30,2639,1947,642,50
2016-01-31,2981,2247,686,48
2016-02-01,1646,1033,569,44
2016-02-02,2465,1744,666,55
2016-02-03,3188,2655,482,51
2016-02-04,2401,1903,457,41
2016-02-05,2132,1333,743,56
2016-02-06,1945,1459,454,32
2016-02-07,1358,919,382,57
2016-02-08,1717,1196,460,61
2016-02-09,1605,1098,421,86
2016-02-10,2045,1455,541,49
2016-02-11,1351,913,404,34
2016-02-12,2385,1848,492,45
2016-02-13,2350,1836,479,35
2016-02-14,1941,1490,419,32
2016-02-15,1609,1146,410,53
2016-02-16,2916,2358,541,17
2016-02-17,2393,1798,535,60
2016-02-18,1699,1275,395,29
2016-02-19,2707,2241,425,41
2016-02-20,1914,1374,475,65
2016-02-21,2022,1570,374,78
2016-02-22,1751,1311,396,44
2016-02-23,2491,2004,432,55
2016-02-24,1965,1554,392,19
2016-02-25,1426,1002,398,26
2016-02-26,1770,1372,364,34
2016-02-27,1658,1239,346,73
2016-02-28,1690,1226,410,54
2016-02-29,431,360,63,8
2016-03-01,1918,1384,499,35
2016-03-02,2135,1559,546,30
2016-03-03,5125,4522,562,41
2016-03-04,1817,1383,400,34
2016-03-05,1862,1415,421,26
2016-03-06,2029,1487,485,57
2016-03-07,1591,1123,427,41
2016-03-08,1568,1136,397,35
2016-03-09,1643,1177,429,37
2016-03-10,30031,28920,1084,27
2016-03-11,1739,1353,351,35
2016-03-12,1646,1211,384,51
2016-03-13,1273,878,371,24
2016-03-14,3535,3095,403,37
2016-03-15,2078,1688,346,44
2016-03-16,1961,1407,476,78
2016-03-17,1822,1371,369,82
2016-03-18,1643,1229,363,51
2016-03-19,1456,1005,422,29
2016-03-20,1599,1132,424,43
2016-03-21,1767,1299,437,31
2016-03-22,1705,1248,410,47
2016-03-23,1752,1264,460,28
2016-03-24,1739,1159,558,22
2016-03-25,1956,1391,538,27
2016-03-26,2425,1895,501,29
2016-03-27,2928,2347,557,24
2016-03-28,4214,3675,512,27
2016-03-29,2433,1857,539,37
2016-03-30,1825,1252,526,47
2016-03-31,3347,2751,562,34
2016-04-01,2366,1814,528,24
2016-04-02,1436,1009,405,22
2016-04-03,1486,957,492,37
2016-04-04,1783,1252,478,53
2016-04-05,2340,1789,520,31
2016-04-06,2798,2118,630,50
2016-04-07,2788,2068,671,49
2016-04-08,2607,1833,735,39
2016-04-09,2993,2328,606,59
2016-04-10,3072,2421,601,50
2016-04-11,4673,4015,611,47
2016-04-12,2293,1726,526,41
2016-04-13,2372,1768,560,44
2016-04-14,2053,1522,459,72
2016-04-15,2268,1733,505,30
2016-04-16,2184,1622,508,54
2016-04-17,1867,1360,474,33
2016-04-18,2996,2484,479,33
2016-04-19,3183,2603,520,60
2016-04-20,2567,1929,604,34
2016-04-21,2243,1684,527,32
2016-04-22,3942,3382,532,28
2016-04-23,5492,5058,381,53
2016-04-24,2410,1922,451,37
2016-04-25,5093,3052,1992,49
2016-04-26,2590,1628,909,53
2016-04-27,5884,4192,1643,49
2016-04-28,4822,4272,473,77
2016-04-29,1885,1382,463,40
2016-04-30,1705,1103,520,82
2016-05-01,2250,1769,455,26
2016-05-02,2838,2318,471,49
2016-05-03,2336,1763,526,47
2016-05-04,1594,1166,387,41
2016-05-05,1507,934,524,49
2016-05-06,7756,7167,514,75
2016-05-07,3582,1782,1740,60
2016-05-08,1764,1176,542,46
2016-05-09,3485,2954,500,31
2016-05-10,2694,2081,568,45
2016-05-11,2686,2167,473,46
2016-05-12,3315,2805,479,31
2016-05-13,4018,3484,488,46
2016-05-14,2759,2262,441,56
2016-05-15,2554,2050,446,58
2016-05-16,2633,2087,484,62
2016-05-17,3458,2897,475,86
2016-05-18,3641,3147,460,34
2016-05-19,5909,5170,704,35
2016-05-20,39326,34951,4337,38
2016-05-21,5607,4462,1100,45
2016-05-22,2978,2431,521,26
2016-05-23,2216,1773,402,41
2016-05-24,2114,1637,384,93
2016-05-25,2046,1476,516,54
2016-05-26,2175,1578,529,68
2016-05-27,6352,5837,478,37
2016-05-28,3423,2893,424,106
2016-05-29,2198,1769,396,33
2016-05-30,2129,1562,514,53
2016-05-31,1682,1178,449,55
2016-06-01,5109,4631,420,58
2016-06-02,2489,1962,478,49
2016-06-03,2768,2263,449,56
2016-06-04,3262,2792,428,42
2016-06-05,3452,2966,436,50
2016-06-06,4503,3931,472,100
2016-06-07,2015,1481,485,49
2016-06-08,1634,1157,441,36
2016-06-09,2413,1792,576,45
2016-06-10,2094,1599,447,48
2016-06-11,1960,1389,518,53
2016-06-12,2050,1632,387,31
2016-06-13,8161,7657,417,87
2016-06-14,3344,2961,353,30
2016-06-15,5952,5506,401,45
2016-06-16,10606,10119,437,50
2016-06-17,3813,3258,516,39
2016-06-18,2460,1706,664,90
2016-06-19,2697,2126,533,38
2016-06-20,2239,1829,375,35
2016-06-21,1824,1465,277,82
2016-06-22,1843,1476,334,33
2016-06-23,1600,1181,370,49
2016-06-24,2615,2083,468,64
2016-06-25,2131,1741,355,35
2016-06-26,1807,1426,321,60
2016-06-27,2837,2374,420,43
2016-06-28,2041,1627,344,70
2016-06-29,1919,1472,325,122
2016-06-30,1770,1407,317,46
2016-07-01,2025,1633,349,43
2016-07-02,2394,2002,360,32
2016-07-03,2591,2095,417,79
2016-07-04,2092,1647,397,48
2016-07-05,2256,1775,452,29
2016-07-06,2032,1519,468,45
2016-07-07,2022,1593,395,34
2016-07-08,1583,1124,434,25
2016-07-09,1519,1113,369,37
2016-07-10,1986,1524,422,40
2016-07-11,1920,1497,371,52
2016-07-12,2804,2358,404,42
2016-07-13,2340,1861,446,33
2016-07-14,2401,1900,451,50
2016-07-15,2131,1685,384,62
2016-07-16,2190,1598,540,52
2016-07-17,3438,2223,1154,61
2016-07-18,2399,1854,462,83
2016-07-19,2556,2081,435,40
2016-07-20,1944,1488,407,49
