Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,1571,1571,0,0
2015-05-02,1630,1630,0,0
2015-05-03,2409,2409,0,0
2015-05-04,2161,2161,0,0
2015-05-05,1703,1703,0,0
2015-05-06,1468,1468,0,0
2015-05-07,2551,2551,0,0
2015-05-08,1349,1349,0,0
2015-05-09,1696,1696,0,0
2015-05-10,1663,1663,0,0
2015-05-11,2037,2037,0,0
2015-05-12,2643,2643,0,0
2015-05-13,3021,3021,0,0
2015-05-14,2884,2884,0,0
2015-05-15,2330,2330,0,0
2015-05-16,2488,2488,0,0
2015-05-17,2836,2836,0,0
2015-05-18,2758,2758,0,0
2015-05-19,2546,2546,0,0
2015-05-20,1667,1667,0,0
2015-05-21,2034,2034,0,0
2015-05-22,1552,1552,0,0
2015-05-23,1616,1616,0,0
2015-05-24,1619,1619,0,0
2015-05-25,1824,1824,0,0
2015-05-26,2358,2358,0,0
2015-05-27,2090,2090,0,0
2015-05-28,2084,2084,0,0
2015-05-29,2442,2442,0,0
2015-05-30,2064,2064,0,0
2015-05-31,2340,2340,0,0
2015-06-01,1988,1988,0,0
2015-06-02,1963,1963,0,0
2015-06-03,1877,1877,0,0
2015-06-04,2204,2204,0,0
2015-06-05,1658,1658,0,0
2015-06-06,2061,2061,0,0
2015-06-07,1770,1770,0,0
2015-06-08,1524,1524,0,0
2015-06-09,1541,1541,0,0
2015-06-10,1518,1518,0,0
2015-06-11,1679,1679,0,0
2015-06-12,1488,1488,0,0
2015-06-13,1495,1495,0,0
2015-06-14,1506,1506,0,0
2015-06-15,1515,1515,0,0
2015-06-16,1688,1688,0,0
2015-06-17,1722,1722,0,0
2015-06-18,1650,1650,0,0
2015-06-19,1758,1758,0,0
2015-06-20,2284,2284,0,0
2015-06-21,1603,1603,0,0
2015-06-22,1277,1277,0,0
2015-06-23,1239,1239,0,0
2015-06-24,1282,1282,0,0
2015-06-25,2707,2707,0,0
2015-06-26,1388,1388,0,0
2015-06-27,2542,2542,0,0
2015-06-28,1636,1636,0,0
2015-06-29,1352,1352,0,0
2015-06-30,1191,1191,0,0
2015-07-01,1330,1330,0,0
2015-07-02,1259,1259,0,0
2015-07-03,1211,1211,0,0
2015-07-04,1876,1876,0,0
2015-07-05,2678,2678,0,0
2015-07-06,4834,4834,0,0
2015-07-07,3543,3543,0,0
2015-07-08,1908,1908,0,0
2015-07-09,1401,1401,0,0
2015-07-10,1224,1224,0,0
2015-07-11,1454,1454,0,0
2015-07-12,1454,1454,0,0
2015-07-13,1555,1555,0,0
2015-07-14,1481,1481,0,0
2015-07-15,1927,1927,0,0
2015-07-16,1554,1554,0,0
2015-07-17,1576,1576,0,0
2015-07-18,1428,1428,0,0
2015-07-19,45279,45279,0,0
2015-07-20,1663,1663,0,0
2015-07-21,1624,1624,0,0
2015-07-22,1702,1702,0,0
2015-07-23,3394,3394,0,0
2015-07-24,2480,2480,0,0
2015-07-25,1447,1447,0,0
2015-07-26,1489,1489,0,0
2015-07-27,1734,1734,0,0
2015-07-28,1831,1831,0,0
2015-07-29,2095,2095,0,0
2015-07-30,2424,2424,0,0
2015-07-31,3576,3576,0,0
2015-08-01,2225,2225,0,0
2015-08-02,1747,1747,0,0
2015-08-03,1176,1176,0,0
2015-08-04,1816,1816,0,0
2015-08-05,2089,2089,0,0
2015-08-06,1847,1847,0,0
2015-08-07,1751,1751,0,0
2015-08-08,1524,1524,0,0
2015-08-09,1702,1702,0,0
2015-08-10,1907,1907,0,0
2015-08-11,1898,1898,0,0
2015-08-12,1638,1638,0,0
2015-08-13,1613,1613,0,0
2015-08-14,1810,1810,0,0
2015-08-15,1453,1453,0,0
2015-08-16,1744,1744,0,0
2015-08-17,1825,1825,0,0
2015-08-18,2812,2812,0,0
2015-08-19,2279,2279,0,0
2015-08-20,3276,3276,0,0
2015-08-21,4308,4308,0,0
2015-08-22,2396,2396,0,0
2015-08-23,2463,2463,0,0
2015-08-24,2413,2413,0,0
2015-08-25,3341,3341,0,0
2015-08-26,2088,2088,0,0
2015-08-27,1788,1788,0,0
2015-08-28,2250,2250,0,0
2015-08-29,2502,2502,0,0
2015-08-30,2029,2029,0,0
2015-08-31,1993,1993,0,0
2015-09-01,2121,2121,0,0
2015-09-02,1378,1378,0,0
2015-09-03,1789,1789,0,0
2015-09-04,2796,2796,0,0
2015-09-05,2468,2468,0,0
2015-09-06,1505,1505,0,0
2015-09-07,1471,1471,0,0
2015-09-08,1694,1694,0,0
2015-09-09,1740,1740,0,0
2015-09-10,1803,1803,0,0
2015-09-11,2106,2106,0,0
2015-09-12,2870,2870,0,0
2015-09-13,2879,2879,0,0
2015-09-14,2067,2067,0,0
2015-09-15,2425,2425,0,0
2015-09-16,1463,1463,0,0
2015-09-17,1691,1691,0,0
2015-09-18,1412,1412,0,0
2015-09-19,2029,2029,0,0
2015-09-20,2835,2835,0,0
