Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,7163,6758,370,35
2015-05-02,7587,7180,384,23
2015-05-03,12066,11586,448,32
2015-05-04,8339,7889,418,32
2015-05-05,5558,5140,393,25
2015-05-06,5443,5077,307,59
2015-05-07,12109,11651,398,60
2015-05-08,8870,8282,555,33
2015-05-09,13633,13238,343,52
2015-05-10,7399,7004,357,38
2015-05-11,7212,6661,504,47
2015-05-12,67527,66262,1218,47
2015-05-13,23318,21091,2176,51
2015-05-14,8420,7264,1116,40
2015-05-15,17426,15447,1939,40
2015-05-16,7806,6549,1225,32
2015-05-17,8797,7436,1297,64
2015-05-18,11756,9931,1776,49
2015-05-19,7402,6191,1173,38
2015-05-20,5884,5439,357,88
2015-05-21,14205,13716,447,42
2015-05-22,6432,5861,537,34
2015-05-23,8706,8293,355,58
2015-05-24,6394,6012,316,66
2015-05-25,6631,6144,454,33
2015-05-26,6717,6325,361,31
2015-05-27,7850,7459,362,29
2015-05-28,6830,6393,397,40
2015-05-29,7025,6682,313,30
2015-05-30,9297,9050,212,35
2015-05-31,7868,7425,418,25
2015-06-01,7021,6523,463,35
2015-06-02,6964,6511,408,45
2015-06-03,6900,6421,438,41
2015-06-04,6760,6185,549,26
2015-06-05,10628,9870,731,27
2015-06-06,5786,5265,500,21
2015-06-07,5199,4802,361,36
2015-06-08,7936,7507,399,30
2015-06-09,5830,5377,438,15
2015-06-10,8655,8176,448,31
2015-06-11,7543,7174,349,20
2015-06-12,7043,6646,377,20
2015-06-13,5798,5343,416,39
2015-06-14,4939,4477,422,40
2015-06-15,8772,8386,357,29
2015-06-16,5174,4850,303,21
2015-06-17,9631,9323,275,33
2015-06-18,6729,6408,297,24
2015-06-19,6729,6424,281,24
2015-06-20,6709,6322,352,35
2015-06-21,6961,6639,300,22
2015-06-22,6110,5815,272,23
2015-06-23,4542,4311,212,19
2015-06-24,6024,5451,507,66
2015-06-25,7994,7428,521,45
2015-06-26,7931,7393,504,34
2015-06-27,7857,7202,621,34
2015-06-28,8158,7779,346,33
2015-06-29,8218,7909,278,31
2015-06-30,5980,5730,221,29
2015-07-01,4847,4583,229,35
2015-07-02,4563,4213,307,43
2015-07-03,5516,5134,348,34
2015-07-04,5081,4740,315,26
2015-07-05,7825,7249,548,28
2015-07-06,18016,16824,1155,37
2015-07-07,11158,10416,717,25
2015-07-08,8983,8459,509,15
2015-07-09,5966,5634,317,15
2015-07-10,6309,6022,270,17
2015-07-11,3419,3133,263,23
2015-07-12,5799,5360,403,36
2015-07-13,3493,3111,356,26
2015-07-14,3662,3339,309,14
2015-07-15,4447,4162,260,25
2015-07-16,5353,5000,346,7
2015-07-17,16975,3564,13387,24
2015-07-18,5465,4603,845,17
