Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,3529,2461,1068,0
2015-05-02,5912,4869,1043,0
2015-05-03,12708,11505,1203,0
2015-05-04,4338,3105,1233,0
2015-05-05,4545,3237,1308,0
2015-05-06,3117,2141,976,0
2015-05-07,15747,14540,1207,0
2015-05-08,4937,3939,998,0
2015-05-09,14296,13273,1023,0
2015-05-10,3648,2495,1153,0
2015-05-11,4202,3158,1044,0
2015-05-12,3927,2765,1162,0
2015-05-13,3683,2721,962,0
2015-05-14,5977,5175,802,0
2015-05-15,14075,13157,918,0
2015-05-16,2377,1475,902,0
2015-05-17,3775,2746,1029,0
2015-05-18,4565,3467,1098,0
2015-05-19,4053,2978,1075,0
2015-05-20,4754,3724,1030,0
2015-05-21,16800,15552,1248,0
2015-05-22,3351,2375,976,0
2015-05-23,3356,2390,966,0
2015-05-24,4201,3282,919,0
2015-05-25,4231,3249,982,0
2015-05-26,3586,2590,996,0
2015-05-27,4781,3326,1455,0
2015-05-28,4175,2669,1506,0
2015-05-29,4451,3485,966,0
2015-05-30,3319,1918,1401,0
2015-05-31,3346,1807,1539,0
2015-06-01,3809,2444,1365,0
2015-06-02,5760,4317,1443,0
2015-06-03,3829,2418,1411,0
2015-06-04,3230,1939,1291,0
2015-06-05,3841,2715,1126,0
2015-06-06,2538,1559,979,0
2015-06-07,2799,1591,1208,0
2015-06-08,3452,2172,1280,0
2015-06-09,3705,2579,1126,0
2015-06-10,4721,3649,1072,0
2015-06-11,5052,3888,1164,0
2015-06-12,3817,2803,1014,0
2015-06-13,2749,1775,974,0
2015-06-14,3552,2469,1083,0
2015-06-15,4030,2831,1199,0
2015-06-16,3856,2646,1210,0
2015-06-17,4157,3092,1065,0
2015-06-18,3464,2404,1060,0
2015-06-19,3752,2680,1072,0
2015-06-20,3109,2068,1041,0
2015-06-21,2778,1533,1245,0
2015-06-22,3561,2511,1050,0
2015-06-23,3752,2764,988,0
2015-06-24,3365,2433,932,0
2015-06-25,3341,2484,857,0
2015-06-26,3342,2626,716,0
2015-06-27,2137,1355,782,0
2015-06-28,2896,1688,1208,0
2015-06-29,2749,2048,701,0
2015-06-30,2499,1854,645,0
2015-07-01,2637,1981,656,0
2015-07-02,2022,1404,618,0
2015-07-03,2237,1577,660,0
2015-07-04,2367,1432,935,0
2015-07-05,4605,3794,811,0
2015-07-06,3275,2298,977,0
2015-07-07,3525,2246,1279,0
2015-07-08,2654,1908,746,0
2015-07-09,2390,1692,698,0
2015-07-10,2377,1768,609,0
2015-07-11,2216,1342,874,0
2015-07-12,2734,1901,833,0
2015-07-13,2669,1923,746,0
2015-07-14,2713,1921,792,0
2015-07-15,2235,1429,806,0
2015-07-16,2276,1471,805,0
2015-07-17,2922,2027,895,0
2015-07-18,2077,1451,626,0
2015-07-19,19915,2373,17542,0
2015-07-20,2329,1538,791,0
2015-07-21,2734,1964,770,0
2015-07-22,1789,1159,630,0
