Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,8138,7686,436,16
2015-05-02,7784,7341,430,13
2015-05-03,14486,13192,1272,22
2015-05-04,11958,11318,620,20
2015-05-05,4736,4257,455,24
2015-05-06,4630,4238,382,10
2015-05-07,10511,10083,414,14
2015-05-08,5803,5268,501,34
2015-05-09,9797,9270,512,15
2015-05-10,6241,5707,489,45
2015-05-11,5099,4478,612,9
2015-05-12,5413,5032,353,28
2015-05-13,7152,6572,565,15
2015-05-14,9431,8339,1070,22
2015-05-15,11989,11140,819,30
2015-05-16,6275,5815,453,7
2015-05-17,7529,6999,524,6
2015-05-18,6978,6557,403,18
2015-05-19,6302,5843,446,13
2015-05-20,5940,5485,429,26
2015-05-21,12865,12355,507,3
2015-05-22,5923,5326,584,13
2015-05-23,5515,4991,510,14
2015-05-24,6674,6176,467,31
2015-05-25,7920,7234,671,15
2015-05-26,6123,5674,433,16
2015-05-27,6971,6365,573,33
2015-05-28,5829,5245,556,28
2015-05-29,7748,7044,685,19
2015-05-30,8681,8120,548,13
2015-05-31,7123,6474,615,34
2015-06-01,5844,5294,528,22
2015-06-02,7199,6699,480,20
2015-06-03,6693,6203,483,7
2015-06-04,5852,5297,539,16
2015-06-05,9339,8695,635,9
2015-06-06,5725,5173,538,14
2015-06-07,5254,4678,517,59
2015-06-08,7577,6935,635,7
2015-06-09,7204,6608,569,27
2015-06-10,7479,6852,604,23
2015-06-11,9461,8882,562,17
2015-06-12,9264,8589,640,35
2015-06-13,7135,6525,567,43
2015-06-14,5447,4919,496,32
2015-06-15,6659,6163,485,11
2015-06-16,6590,6094,476,20
2015-06-17,6726,6187,514,25
2015-06-18,9099,8682,416,1
2015-06-19,5740,5386,339,15
2015-06-20,5830,5239,403,188
2015-06-21,6899,6559,322,18
2015-06-22,4569,4202,358,9
2015-06-23,5411,5117,276,18
2015-06-24,5725,5357,340,28
2015-06-25,6934,6529,393,12
2015-06-26,5798,5348,422,28
2015-06-27,6439,5976,438,25
2015-06-28,5121,4792,296,33
2015-06-29,8586,8196,362,28
2015-06-30,6206,5934,255,17
2015-07-01,5372,5051,301,20
2015-07-02,4290,3865,392,33
2015-07-03,5163,4833,294,36
2015-07-04,4790,4418,360,12
2015-07-05,9092,8480,595,17
2015-07-06,15777,14475,1258,44
2015-07-07,12930,12218,695,17
2015-07-08,7314,6764,522,28
2015-07-09,4939,4491,369,79
2015-07-10,6467,6047,342,78
2015-07-11,3567,3182,363,22
2015-07-12,5478,5112,349,17
2015-07-13,4209,3769,381,59
2015-07-14,4817,4376,373,68
2015-07-15,5123,4807,301,15
2015-07-16,4974,4574,385,15
2015-07-17,4568,4065,488,15
2015-07-18,3432,3035,363,34
2015-07-19,11797,4287,7480,30
2015-07-20,5761,4946,782,33
2015-07-21,4561,4205,347,9
2015-07-22,4050,3690,345,15
2015-07-23,4473,3859,561,53
2015-07-24,4575,4291,274,10
2015-07-25,3487,3229,217,41
2015-07-26,3685,3323,326,36
2015-07-27,4433,4012,407,14
2015-07-28,10579,9968,566,45
2015-07-29,8228,7642,567,19
2015-07-30,6655,6102,529,24
2015-07-31,5330,4885,430,15
2015-08-01,6703,6206,483,14
2015-08-02,5372,5001,359,12
2015-08-03,4133,3739,387,7
2015-08-04,8164,7722,432,10
2015-08-05,7013,6566,428,19
2015-08-06,5883,5289,582,12
2015-08-07,6915,6392,503,20
2015-08-08,5383,4945,419,19
2015-08-09,5251,4732,482,37
2015-08-10,5386,4914,451,21
2015-08-11,5512,4323,1180,9
2015-08-12,3800,3346,443,11
2015-08-13,4009,3438,562,9
2015-08-14,3889,3287,588,14
2015-08-15,4463,3972,466,25
2015-08-16,6342,5727,604,11
2015-08-17,4407,3892,494,21
2015-08-18,5296,4598,682,16
2015-08-19,5810,5229,560,21
2015-08-20,6284,5597,673,14
2015-08-21,6044,5294,727,23
2015-08-22,5841,5030,786,25
2015-08-23,5343,4801,517,25
2015-08-24,6287,5264,1005,18
2015-08-25,6913,5844,1053,16
2015-08-26,6329,5697,617,15
2015-08-27,5832,5290,523,19
2015-08-28,6492,5903,565,24
2015-08-29,4605,4176,418,11
2015-08-30,4095,3625,465,5
2015-08-31,3999,3440,513,46
2015-09-01,3999,3600,346,53
2015-09-02,4752,4328,413,11
2015-09-03,8875,8421,438,16
2015-09-04,5822,4947,845,30
2015-09-05,7364,6754,593,17
2015-09-06,4749,4349,375,25
2015-09-07,3882,3525,317,40
2015-09-08,5464,5027,414,23
2015-09-09,5178,4749,399,30
2015-09-10,5295,4778,494,23
2015-09-11,6304,5832,390,82
2015-09-12,5613,5244,362,7
2015-09-13,5637,5110,499,28
2015-09-14,5995,5438,518,39
2015-09-15,8125,7595,517,13
2015-09-16,4081,3715,346,20
2015-09-17,5913,5323,583,7
2015-09-18,4344,3984,344,16
2015-09-19,7557,7108,423,26
2015-09-20,8333,7707,587,39
2015-09-21,5764,5057,674,33
2015-09-22,10192,9957,224,11
2015-09-23,3924,3615,293,16
2015-09-24,3875,3517,334,24
2015-09-25,5355,4927,418,10
2015-09-26,4587,4101,471,15
2015-09-27,3747,3398,339,10
2015-09-28,4773,4322,430,21
2015-09-29,4975,4474,479,22
2015-09-30,6159,5738,395,26
2015-10-01,6295,5675,610,10
2015-10-02,5065,4706,342,17
2015-10-03,4166,3833,321,12
2015-10-04,4338,3971,341,26
2015-10-05,3619,3274,329,16
2015-10-06,5392,5038,333,21
2015-10-07,6070,5668,378,24
2015-10-08,7476,6796,650,30
2015-10-09,3626,3278,317,31
2015-10-10,3112,2678,373,61
2015-10-11,4239,3871,314,54
2015-10-12,5278,4857,391,30
2015-10-13,6744,6051,689,4
2015-10-14,5509,5046,433,30
2015-10-15,6027,5485,495,47
2015-10-16,4218,3785,383,50
2015-10-17,6121,5455,645,21
2015-10-18,3757,3352,382,23
2015-10-19,5239,4735,459,45
2015-10-20,2894,2545,299,50
2015-10-21,3097,2744,311,42
2015-10-22,3960,3489,441,30
2015-10-23,2828,2431,353,44
2015-10-24,2643,2285,322,36
2015-10-25,4987,4176,771,40
2015-10-26,3843,3331,469,43
2015-10-27,5332,4792,499,41
2015-10-28,4983,4497,452,34
2015-10-29,4218,3739,462,17
2015-10-30,6106,5601,466,39
2015-10-31,4663,4242,331,90
2015-11-01,4861,4486,346,29
2015-11-02,4758,4368,363,27
2015-11-03,6047,5615,387,45
2015-11-04,5641,5173,443,25
2015-11-05,4876,4402,426,48
2015-11-06,4145,3814,278,53
2015-11-07,4912,4562,301,49
2015-11-08,3408,3058,320,30
2015-11-09,3124,2729,376,19
2015-11-10,3633,3141,456,36
2015-11-11,3885,3355,493,37
2015-11-12,4833,4334,449,50
2015-11-13,4255,3718,506,31
2015-11-14,4481,4007,409,65
2015-11-15,5206,4717,422,67
2015-11-16,4444,3891,510,43
2015-11-17,4021,3537,405,79
2015-11-18,4201,3795,375,31
2015-11-19,3423,2925,440,58
2015-11-20,4415,3815,390,210
2015-11-21,5942,5146,646,150
2015-11-22,8156,7300,765,91
2015-11-23,4964,4318,615,31
2015-11-24,5749,5152,498,99
2015-11-25,5548,5072,347,129
2015-11-26,5401,4820,441,140
2015-11-27,3729,3258,367,104
2015-11-28,3378,2904,325,149
2015-11-29,4925,4163,671,91
2015-11-30,3814,3470,304,40
2015-12-01,6154,5541,488,125
2015-12-02,4412,3881,503,28
2015-12-03,3888,3464,391,33
2015-12-04,3624,3323,258,43
2015-12-05,4811,4228,478,105
2015-12-06,2962,2574,355,33
2015-12-07,2511,2021,453,37
2015-12-08,2556,2196,335,25
2015-12-09,4562,3976,555,31
2015-12-10,3982,3513,418,51
2015-12-11,4012,3586,380,46
2015-12-12,3730,3189,500,41
2015-12-13,4117,3373,712,32
2015-12-14,3521,3123,360,38
