Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,1589,1508,75,6
2015-05-02,1463,1381,76,6
2015-05-03,1442,1246,195,1
2015-05-04,2702,2560,142,0
2015-05-05,1314,1231,79,4
2015-05-06,1117,964,153,0
2015-05-07,1855,1769,81,5
2015-05-08,1401,1246,153,2
2015-05-09,1507,1434,73,0
2015-05-10,1474,1387,80,7
2015-05-11,1573,1479,89,5
2015-05-12,1184,1127,56,1
2015-05-13,2715,2164,549,2
2015-05-14,1284,1225,58,1
2015-05-15,1977,1905,71,1
2015-05-16,1392,1318,72,2
2015-05-17,1433,1352,75,6
2015-05-18,1282,1235,46,1
2015-05-19,1467,1408,59,0
2015-05-20,1291,1132,157,2
2015-05-21,1529,1465,61,3
2015-05-22,1545,1457,86,2
2015-05-23,1179,1102,71,6
2015-05-24,1097,1030,66,1
2015-05-25,1483,1413,68,2
2015-05-26,1671,1580,51,40
2015-05-27,1395,1336,56,3
2015-05-28,1385,1297,87,1
2015-05-29,2091,1969,115,7
2015-05-30,2211,2126,81,4
2015-05-31,1062,984,66,12
2015-06-01,1354,1256,95,3
2015-06-02,1625,1563,62,0
2015-06-03,1581,1305,271,5
2015-06-04,1536,1399,136,1
2015-06-05,1894,1770,118,6
2015-06-06,1529,1381,147,1
2015-06-07,999,928,65,6
2015-06-08,1870,1775,94,1
2015-06-09,1558,1466,86,6
2015-06-10,1869,1774,94,1
2015-06-11,2498,2384,102,12
2015-06-12,1972,1878,89,5
2015-06-13,1467,1375,91,1
2015-06-14,1086,989,92,5
2015-06-15,1179,1068,107,4
2015-06-16,1040,905,131,4
2015-06-17,846,736,108,2
2015-06-18,2293,2162,129,2
2015-06-19,746,694,52,0
2015-06-20,494,443,45,6
2015-06-21,1094,1017,70,7
2015-06-22,885,851,28,6
2015-06-23,743,715,27,1
2015-06-24,644,606,33,5
2015-06-25,977,905,57,15
2015-06-26,1123,1048,74,1
2015-06-27,1052,963,74,15
2015-06-28,932,825,104,3
2015-06-29,1029,955,69,5
2015-06-30,792,730,59,3
2015-07-01,852,701,151,0
2015-07-02,804,716,87,1
2015-07-03,900,850,46,4
2015-07-04,670,619,48,3
2015-07-05,803,760,43,0
2015-07-06,2928,2604,323,1
2015-07-07,1504,1414,88,2
2015-07-08,1232,1072,154,6
2015-07-09,769,715,53,1
2015-07-10,1062,1015,35,12
2015-07-11,426,398,24,4
2015-07-12,1075,926,147,2
2015-07-13,591,552,38,1
2015-07-14,669,606,57,6
2015-07-15,872,678,184,10
2015-07-16,833,773,58,2
2015-07-17,445,413,31,1
2015-07-18,528,461,66,1
2015-07-19,1205,613,588,4
2015-07-20,911,853,54,4
