Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2133,1618,515,0
2015-05-02,1080,803,277,0
2015-05-03,909,709,200,0
2015-05-04,1715,1356,359,0
2015-05-05,1014,852,162,0
2015-05-06,797,638,159,0
2015-05-07,1060,888,172,0
2015-05-08,654,572,82,0
2015-05-09,847,708,139,0
2015-05-10,726,532,194,0
2015-05-11,1093,868,225,0
2015-05-12,1087,917,170,0
2015-05-13,841,617,224,0
2015-05-14,979,800,179,0
2015-05-15,830,699,131,0
2015-05-16,587,427,160,0
2015-05-17,662,534,128,0
2015-05-18,730,566,164,0
2015-05-19,1075,907,168,0
2015-05-20,756,575,181,0
2015-05-21,923,731,192,0
2015-05-22,667,560,107,0
2015-05-23,512,381,131,0
2015-05-24,646,503,143,0
2015-05-25,1524,1294,230,0
2015-05-26,891,754,137,0
2015-05-27,1957,1822,135,0
2015-05-28,1149,950,199,0
2015-05-29,724,619,105,0
2015-05-30,759,652,107,0
2015-05-31,841,667,174,0
2015-06-01,955,726,229,0
2015-06-02,1026,794,232,0
2015-06-03,952,784,168,0
2015-06-04,1476,1271,205,0
2015-06-05,1285,1103,182,0
2015-06-06,840,604,236,0
2015-06-07,884,707,177,0
2015-06-08,1249,1005,244,0
2015-06-09,1715,1423,292,0
2015-06-10,1371,1122,249,0
2015-06-11,1344,1150,194,0
2015-06-12,691,520,171,0
2015-06-13,703,547,156,0
2015-06-14,720,527,193,0
2015-06-15,704,555,149,0
2015-06-16,651,478,173,0
2015-06-17,414,323,91,0
2015-06-18,291,222,69,0
2015-06-19,246,192,54,0
2015-06-20,118,93,25,0
2015-06-21,240,201,39,0
2015-06-22,362,319,43,0
2015-06-23,361,293,68,0
2015-06-24,425,348,77,0
2015-06-25,308,256,52,0
2015-06-26,340,298,42,0
2015-06-27,326,256,70,0
2015-06-28,457,432,25,0
2015-06-29,520,483,37,0
2015-06-30,332,304,28,0
2015-07-01,232,207,25,0
2015-07-02,367,287,80,0
2015-07-03,453,377,76,0
2015-07-04,273,227,46,0
2015-07-05,344,297,47,0
2015-07-06,425,357,68,0
2015-07-07,496,430,66,0
2015-07-08,346,275,71,0
2015-07-09,472,447,25,0
2015-07-10,366,320,46,0
2015-07-11,144,110,34,0
2015-07-12,237,151,86,0
2015-07-13,340,294,46,0
2015-07-14,377,337,40,0
2015-07-15,407,320,87,0
2015-07-16,753,695,58,0
2015-07-17,269,200,69,0
2015-07-18,170,141,29,0
2015-07-19,449,224,225,0
2015-07-20,5436,5393,43,0
2015-07-21,461,370,91,0
2015-07-22,340,283,57,0
2015-07-23,470,434,36,0
2015-07-24,294,258,36,0
2015-07-25,321,278,43,0
2015-07-26,460,417,43,0
2015-07-27,272,205,67,0
2015-07-28,362,322,40,0
2015-07-29,3453,471,2982,0
2015-07-30,527,469,58,0
2015-07-31,342,274,68,0
2015-08-01,294,223,71,0
2015-08-02,337,252,85,0
2015-08-03,376,329,47,0
2015-08-04,460,408,52,0
2015-08-05,493,417,76,0
2015-08-06,412,369,43,0
2015-08-07,419,347,72,0
2015-08-08,347,286,61,0
2015-08-09,207,166,41,0
2015-08-10,903,823,80,0
2015-08-11,716,643,73,0
2015-08-12,480,409,71,0
2015-08-13,512,429,83,0
2015-08-14,256,218,38,0
2015-08-15,330,313,17,0
2015-08-16,889,846,43,0
2015-08-17,718,653,65,0
2015-08-18,815,747,68,0
2015-08-19,432,389,43,0
2015-08-20,523,447,76,0
2015-08-21,559,512,47,0
2015-08-22,595,556,39,0
2015-08-23,425,393,32,0
2015-08-24,390,330,60,0
2015-08-25,723,592,131,0
2015-08-26,376,278,98,0
2015-08-27,396,306,90,0
2015-08-28,367,272,95,0
2015-08-29,252,208,44,0
2015-08-30,411,335,76,0
2015-08-31,826,666,160,0
2015-09-01,415,325,90,0
2015-09-02,379,309,70,0
2015-09-03,628,577,51,0
2015-09-04,370,338,32,0
2015-09-05,229,191,38,0
2015-09-06,195,169,26,0
2015-09-07,284,259,25,0
2015-09-08,473,420,53,0
2015-09-09,270,225,45,0
2015-09-10,238,209,29,0
2015-09-11,1834,1781,53,0
2015-09-12,756,700,56,0
2015-09-13,420,355,65,0
2015-09-14,414,352,62,0
2015-09-15,609,533,76,0
2015-09-16,535,456,79,0
2015-09-17,520,445,75,0
2015-09-18,421,309,112,0
2015-09-19,224,181,43,0
2015-09-20,386,299,87,0
2015-09-21,376,283,93,0
2015-09-22,569,443,126,0
2015-09-23,413,323,90,0
2015-09-24,728,655,73,0
2015-09-25,607,400,207,0
2015-09-26,559,409,150,0
2015-09-27,477,359,118,0
2015-09-28,583,437,146,0
2015-09-29,626,506,120,0
2015-09-30,464,346,118,0
2015-10-01,913,717,196,0
2015-10-02,324,275,49,0
2015-10-03,259,223,36,0
2015-10-04,253,188,65,0
2015-10-05,501,392,109,0
2015-10-06,554,457,97,0
2015-10-07,428,356,72,0
2015-10-08,418,337,81,0
2015-10-09,387,325,61,1
2015-10-10,458,410,48,0
2015-10-11,432,379,52,1
2015-10-12,418,334,82,2
2015-10-13,663,526,136,1
2015-10-14,437,353,83,1
2015-10-15,531,449,82,0
