Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,653,446,207,0
2015-05-02,452,402,50,0
2015-05-03,998,782,216,0
2015-05-04,1216,1076,140,0
2015-05-05,568,387,181,0
2015-05-06,588,331,257,0
2015-05-07,725,614,111,0
2015-05-08,408,334,74,0
2015-05-09,1098,1040,58,0
2015-05-10,553,511,42,0
2015-05-11,698,634,64,0
2015-05-12,433,399,34,0
2015-05-13,513,447,66,0
2015-05-14,476,381,95,0
2015-05-15,771,578,193,0
2015-05-16,422,328,94,0
2015-05-17,853,507,346,0
2015-05-18,338,293,45,0
2015-05-19,846,645,201,0
2015-05-20,738,429,309,0
2015-05-21,747,538,209,0
2015-05-22,659,421,238,0
2015-05-23,370,270,100,0
2015-05-24,869,432,437,0
2015-05-25,998,690,308,0
2015-05-26,1006,476,530,0
2015-05-27,706,416,290,0
2015-05-28,915,575,340,0
2015-05-29,399,347,52,0
2015-05-30,408,365,43,0
2015-05-31,587,491,96,0
2015-06-01,503,369,134,0
2015-06-02,634,561,73,0
2015-06-03,656,583,73,0
2015-06-04,470,395,75,0
2015-06-05,647,568,79,0
2015-06-06,409,318,91,0
2015-06-07,355,296,59,0
2015-06-08,628,543,85,0
2015-06-09,950,882,68,0
2015-06-10,1913,1789,124,0
2015-06-11,1362,1250,112,0
2015-06-12,767,523,244,0
2015-06-13,704,601,103,0
2015-06-14,663,577,86,0
2015-06-15,517,349,168,0
2015-06-16,539,433,106,0
2015-06-17,444,375,69,0
2015-06-18,832,647,185,0
2015-06-19,928,765,163,0
2015-06-20,133,97,36,0
2015-06-21,299,273,26,0
2015-06-22,608,421,187,0
2015-06-23,538,411,127,0
2015-06-24,389,226,163,0
2015-06-25,611,366,245,0
2015-06-26,256,222,34,0
2015-06-27,429,220,209,0
2015-06-28,519,368,151,0
2015-06-29,496,321,175,0
2015-06-30,610,377,233,0
2015-07-01,314,284,30,0
2015-07-02,419,257,162,0
2015-07-03,489,346,143,0
2015-07-04,553,350,203,0
2015-07-05,769,548,221,0
2015-07-06,657,621,36,0
2015-07-07,569,454,115,0
2015-07-08,566,514,52,0
2015-07-09,310,294,16,0
2015-07-10,626,556,70,0
2015-07-11,284,269,15,0
2015-07-12,452,441,11,0
2015-07-13,321,306,15,0
2015-07-14,494,476,18,0
2015-07-15,444,430,14,0
2015-07-16,926,668,258,0
2015-07-17,170,163,7,0
2015-07-18,308,211,97,0
2015-07-19,1243,376,867,0
2015-07-20,5259,5186,73,0
2015-07-21,575,386,189,0
2015-07-22,737,431,306,0
2015-07-23,1220,606,614,0
2015-07-24,854,229,625,0
2015-07-25,330,176,154,0
2015-07-26,395,218,177,0
2015-07-27,432,240,192,0
2015-07-28,662,462,200,0
2015-07-29,569,537,32,0
2015-07-30,575,520,55,0
2015-07-31,512,483,29,0
2015-08-01,418,347,71,0
2015-08-02,893,871,22,0
2015-08-03,613,594,19,0
2015-08-04,1121,785,336,0
2015-08-05,445,331,114,0
2015-08-06,608,537,71,0
2015-08-07,481,421,60,0
2015-08-08,397,336,61,0
2015-08-09,288,272,16,0
2015-08-10,651,627,24,0
2015-08-11,494,452,42,0
2015-08-12,234,212,22,0
2015-08-13,265,234,31,0
2015-08-14,147,126,21,0
2015-08-15,287,268,19,0
2015-08-16,212,185,27,0
2015-08-17,464,440,24,0
2015-08-18,482,435,47,0
2015-08-19,369,337,32,0
2015-08-20,423,390,33,0
2015-08-21,495,480,15,0
2015-08-22,402,379,23,0
2015-08-23,302,276,26,0
2015-08-24,624,566,58,0
2015-08-25,980,953,27,0
2015-08-26,391,336,55,0
2015-08-27,321,283,38,0
2015-08-28,295,264,31,0
2015-08-29,248,223,25,0
2015-08-30,279,263,16,0
2015-08-31,739,655,84,0
2015-09-01,296,271,25,0
2015-09-02,468,441,27,0
2015-09-03,207,173,34,0
2015-09-04,597,407,190,0
2015-09-05,566,304,262,0
2015-09-06,529,286,243,0
2015-09-07,339,295,44,0
2015-09-08,373,340,33,0
2015-09-09,237,208,29,0
2015-09-10,423,404,19,0
2015-09-11,1135,1055,80,0
2015-09-12,1340,1309,31,0
2015-09-13,997,967,30,0
2015-09-14,1945,1916,29,0
2015-09-15,499,455,44,0
2015-09-16,302,255,47,0
2015-09-17,724,656,68,0
2015-09-18,400,324,76,0
2015-09-19,363,347,16,0
2015-09-20,932,864,68,0
2015-09-21,740,653,87,0
2015-09-22,407,395,12,0
2015-09-23,463,450,13,0
2015-09-24,212,201,11,0
2015-09-25,856,617,239,0
2015-09-26,754,621,133,0
2015-09-27,389,286,103,0
2015-09-28,776,602,174,0
2015-09-29,729,578,151,0
2015-09-30,453,345,108,0
2015-10-01,274,256,18,0
2015-10-02,426,408,18,0
2015-10-03,232,211,21,0
2015-10-04,211,197,14,0
2015-10-05,410,392,18,0
2015-10-06,445,405,40,0
2015-10-07,400,382,18,0
2015-10-08,241,211,30,0
2015-10-09,161,148,13,0
2015-10-10,197,185,10,2
2015-10-11,193,180,10,3
2015-10-12,429,415,13,1
2015-10-13,528,352,176,0
2015-10-14,319,280,38,1
2015-10-15,429,260,156,13
2015-10-16,324,258,63,3
2015-10-17,228,147,78,3
2015-10-18,266,216,48,2
2015-10-19,340,322,17,1
2015-10-20,276,246,28,2
2015-10-21,151,141,10,0
2015-10-22,231,162,62,7
2015-10-23,277,204,73,0
2015-10-24,387,383,4,0
2015-10-25,213,178,35,0
2015-10-26,449,413,35,1
2015-10-27,199,150,44,5
2015-10-28,379,304,75,0
2015-10-29,204,189,15,0
2015-10-30,275,267,8,0
2015-10-31,317,299,15,3
2015-11-01,171,133,38,0
2015-11-02,301,264,35,2
2015-11-03,223,209,10,4
2015-11-04,362,342,19,1
2015-11-05,263,224,28,11
2015-11-06,206,186,9,11
2015-11-07,203,181,22,0
2015-11-08,148,144,4,0
2015-11-09,441,427,13,1
2015-11-10,408,394,11,3
