Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,107,100,7,0
2015-05-02,134,121,13,0
2015-05-03,186,160,26,0
2015-05-04,188,184,4,0
2015-05-05,135,111,24,0
2015-05-06,78,70,8,0
2015-05-07,111,106,5,0
2015-05-08,113,97,16,0
2015-05-09,188,162,26,0
2015-05-10,117,106,11,0
2015-05-11,105,87,18,0
2015-05-12,52,50,2,0
2015-05-13,106,87,19,0
2015-05-14,244,228,16,0
2015-05-15,91,89,2,0
2015-05-16,88,75,13,0
2015-05-17,122,89,33,0
2015-05-18,56,49,7,0
2015-05-19,112,89,23,0
2015-05-20,129,101,28,0
2015-05-21,132,122,10,0
2015-05-22,133,106,27,0
2015-05-23,166,125,41,0
2015-05-24,100,90,10,0
2015-05-25,158,119,39,0
2015-05-26,173,138,35,0
2015-05-27,189,156,33,0
2015-05-28,302,270,32,0
2015-05-29,141,133,8,0
2015-05-30,109,100,9,0
2015-05-31,184,115,69,0
2015-06-01,214,151,63,0
2015-06-02,219,150,69,0
2015-06-03,52,50,2,0
2015-06-04,107,94,13,0
2015-06-05,379,306,73,0
2015-06-06,240,211,29,0
2015-06-07,165,131,34,0
2015-06-08,125,101,24,0
2015-06-09,136,118,18,0
2015-06-10,215,176,39,0
2015-06-11,374,335,39,0
2015-06-12,152,111,41,0
2015-06-13,158,118,40,0
2015-06-14,192,142,50,0
2015-06-15,90,84,6,0
2015-06-16,175,123,52,0
2015-06-17,21,19,2,0
2015-06-18,34,27,7,0
2015-06-19,27,27,0,0
2015-06-20,16,15,1,0
2015-06-21,18,18,0,0
2015-06-22,20,19,1,0
2015-06-23,25,25,0,0
2015-06-24,8,8,0,0
2015-06-25,32,32,0,0
2015-06-26,19,19,0,0
2015-06-27,19,17,2,0
2015-06-28,39,35,4,0
2015-06-29,31,20,11,0
2015-06-30,36,30,6,0
2015-07-01,21,18,3,0
2015-07-02,36,36,0,0
2015-07-03,16,15,1,0
2015-07-04,22,22,0,0
2015-07-05,35,35,0,0
2015-07-06,22,20,2,0
2015-07-07,32,31,1,0
2015-07-08,37,36,1,0
2015-07-09,28,28,0,0
2015-07-10,29,29,0,0
2015-07-11,14,13,1,0
2015-07-12,13,12,1,0
2015-07-13,27,26,1,0
2015-07-14,19,18,1,0
2015-07-15,26,26,0,0
2015-07-16,14,14,0,0
2015-07-17,46,42,4,0
2015-07-18,33,33,0,0
2015-07-19,103,16,87,0
2015-07-20,46,36,10,0
2015-07-21,22,22,0,0
2015-07-22,15,15,0,0
2015-07-23,40,39,1,0
2015-07-24,38,38,0,0
2015-07-25,31,31,0,0
2015-07-26,15,12,3,0
2015-07-27,49,47,2,0
2015-07-28,50,35,15,0
2015-07-29,183,127,56,0
2015-07-30,43,37,6,0
2015-07-31,15,14,1,0
2015-08-01,32,24,8,0
2015-08-02,113,105,8,0
2015-08-03,13,10,3,0
2015-08-04,42,37,5,0
2015-08-05,21,15,6,0
2015-08-06,29,28,1,0
2015-08-07,29,21,8,0
2015-08-08,39,34,5,0
2015-08-09,18,13,5,0
2015-08-10,33,32,1,0
2015-08-11,27,27,0,0
2015-08-12,11,11,0,0
2015-08-13,45,42,3,0
2015-08-14,15,15,0,0
2015-08-15,6,6,0,0
2015-08-16,12,12,0,0
2015-08-17,15,13,2,0
2015-08-18,17,15,2,0
2015-08-19,43,38,5,0
2015-08-20,16,15,1,0
2015-08-21,10,10,0,0
2015-08-22,10,10,0,0
2015-08-23,18,17,1,0
2015-08-24,48,15,33,0
2015-08-25,6,4,2,0
2015-08-26,13,13,0,0
2015-08-27,19,19,0,0
2015-08-28,13,13,0,0
2015-08-29,10,8,2,0
2015-08-30,18,17,1,0
2015-08-31,44,12,32,0
2015-09-01,18,16,2,0
2015-09-02,12,11,1,0
2015-09-03,17,17,0,0
2015-09-04,26,26,0,0
2015-09-05,23,22,1,0
2015-09-06,24,22,2,0
2015-09-07,9,9,0,0
2015-09-08,20,18,2,0
2015-09-09,20,19,1,0
2015-09-10,25,24,1,0
2015-09-11,18,16,2,0
