Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,16922032,7201439,9715366,5227
2015-05-02,16537682,7071256,9461623,4803
2015-05-03,18640225,7967494,10667353,5378
2015-05-04,18474071,9475152,8994038,4881
2015-05-05,18097763,9053780,9038990,4993
2015-05-06,17060019,8538404,8517038,4577
2015-05-07,17113398,8760658,8347958,4782
2015-05-08,16495944,8225001,8266080,4863
2015-05-09,15462124,6884277,8572173,5674
2015-05-10,16484803,7222590,9257012,5201
2015-05-11,17724265,9168627,8550071,5567
2015-05-12,17848371,9173900,8669600,4871
2015-05-13,17718908,9012936,8700539,5433
2015-05-14,17105470,8608672,8492228,4570
2015-05-15,17665523,8934849,8726015,4659
2015-05-16,16113842,7129254,8979264,5324
2015-05-17,17342709,7570764,9766668,5277
2015-05-18,18098596,9325053,8768654,4889
2015-05-19,18014431,9212603,8796836,4992
2015-05-20,18361196,9258935,9096982,5279
2015-05-21,18993345,9720363,9267911,5071
2015-05-22,17763928,8950739,8807932,5257
2015-05-23,17122344,7472821,9643995,5528
2015-05-24,18471954,8003007,10463270,5677
2015-05-25,18733818,9586696,9141770,5352
2015-05-26,19306242,9968573,9332233,5436
2015-05-27,18545105,9443368,9096386,5351
2015-05-28,17513404,8940319,8567320,5765
2015-05-29,16535569,8328177,8201805,5587
2015-05-30,15197288,6700127,8491745,5416
2015-05-31,16476301,7189488,9281319,5494
2015-06-01,17085617,8284298,8794854,6465
2015-06-02,17779608,7989265,9784885,5458
2015-06-03,17710792,8915691,8789713,5388
2015-06-04,17440434,8824475,8610380,5579
2015-06-05,16216403,8103927,8107313,5163
2015-06-06,15037734,6499005,8532786,5943
2015-06-07,17356419,7449571,9900784,6064
2015-06-08,18386181,9497636,8882926,5619
2015-06-09,18379321,9485636,8888404,5281
2015-06-10,17606657,9024579,8576289,5789
2015-06-11,17478092,8823356,8648831,5905
2015-06-12,16910163,8460799,8444399,4965
2015-06-13,16002786,7092731,8904792,5263
2015-06-14,18509972,8259299,10245158,5515
2015-06-15,18987900,9998643,8984551,4706
2015-06-16,17798995,8984553,8809285,5157
2015-06-17,17262485,8688803,8568726,4956
2015-06-18,16194584,7896556,8293411,4617
2015-06-19,16072399,7874711,8192640,5048
2015-06-20,15590831,6704474,8881147,5210
2015-06-21,16903508,7045067,9852728,5713
2015-06-22,18105502,8821979,9277601,5922
2015-06-23,17842809,8728515,9108665,5629
2015-06-24,17366392,8593278,8767593,5521
2015-06-25,17295278,8778785,8511632,4861
2015-06-26,16071764,7917348,8148995,5421
2015-06-27,14250442,5832944,8412229,5269
2015-06-28,15800154,6580462,9214341,5351
2015-06-29,17629531,8642462,8981213,5856
2015-06-30,17112952,8441274,8666511,5167
2015-07-01,17039149,8543764,8490093,5292
2015-07-02,15778848,7327231,8445842,5775
2015-07-03,15093024,6960150,8127081,5793
2015-07-04,14058043,5695569,8356237,6237
2015-07-05,15496983,6570931,8919542,6510
2015-07-06,16831347,8242417,8582988,5942
2015-07-07,16330508,7969375,8354878,6255
2015-07-08,15662210,7484607,8171453,6150
2015-07-09,15551821,7287601,8258187,6033
2015-07-10,15253098,7267044,7979128,6926
2015-07-11,14068396,5779617,8281925,6854
2015-07-12,14951384,5865033,9079157,7194
2015-07-13,16608059,7902215,8699100,6744
2015-07-14,16048839,7609604,8433033,6202
2015-07-15,15320826,7220180,8094024,6622
2015-07-16,15449948,7350425,8092705,6818
2015-07-17,15534911,7768412,7760017,6482
2015-07-18,14384468,6154737,8222844,6887
2015-07-19,15958002,6534683,9416486,6833
2015-07-20,16022922,7658659,8357161,7102
2015-07-21,16422535,8328539,8087075,6921
2015-07-22,15302672,7281370,8014235,7067
2015-07-23,14825652,6728356,8090601,6695
2015-07-24,14326683,6468894,7851055,6734
2015-07-25,13503941,5345010,8152679,6252
2015-07-26,15515080,6509510,8998877,6693
2015-07-27,16013233,7709279,8296864,7090
2015-07-28,15387369,7167303,8213443,6623
2015-07-29,14933690,6918825,8007853,7012
2015-07-30,14791644,6795530,7989742,6372
2015-07-31,14159650,6395502,7757185,6963
2015-08-01,13674850,5262301,8405943,6606
2015-08-02,14172482,5252888,8912112,7482
2015-08-03,12340993,5543609,6790506,6878
2015-08-04,14986562,6748564,8230462,7536
2015-08-05,14657231,6564267,8084970,7994
2015-08-06,14788719,6608815,8172234,7670
2015-08-07,14528362,6360511,8159883,7968
2015-08-08,13357923,4915401,8434381,8141
2015-08-09,14500606,5255489,9236906,8211
2015-08-10,14677353,6161925,8507404,8024
2015-08-11,14816690,6075174,8733358,8158
2015-08-12,14401151,5701520,8691036,8595
2015-08-13,14729231,6248857,8471387,8987
2015-08-14,13159230,4988917,8161988,8325
2015-08-15,14121801,4841993,9271136,8672
2015-08-16,16583603,6105950,10469012,8641
2015-08-17,15965348,6524382,9432649,8317
2015-08-18,16240019,6841144,9390169,8706
2015-08-19,16636743,7058911,9569613,8219
2015-08-20,16059296,6823249,9227964,8083
2015-08-21,15945642,6718809,9218700,8133
2015-08-22,14936508,5609137,9319169,8202
2015-08-23,16322258,6088914,10225108,8236
2015-08-24,18194855,8301960,9884933,7962
2015-08-25,17734094,8030805,9695520,7769
2015-08-26,16971205,7579182,9384567,7456
2015-08-27,16742967,7463790,9271415,7762
2015-08-28,16847150,7699648,9139886,7616
2015-08-29,14773420,5608229,9157199,7992
2015-08-30,15724352,5762953,9954136,7263
2015-08-31,18049470,8524735,9517609,7126
2015-09-01,17656112,8292020,9356902,7190
2015-09-02,17572450,8267516,9298025,6909
2015-09-03,17738078,8308892,9422057,7129
2015-09-04,16902393,7687496,9208290,6607
2015-09-05,16645353,6668516,9969807,7030
2015-09-06,17014218,6471200,10536478,6540
2015-09-07,17982915,8449805,9526271,6839
2015-09-08,17903266,8276095,9620551,6620
2015-09-09,17466957,8159330,9300660,6967
2015-09-10,17057809,7958199,9093065,6545
2015-09-11,16745893,7688386,9051631,5876
2015-09-12,15016844,5852451,9158400,5993
2015-09-13,16897455,6601888,10288996,6571
2015-09-14,17010846,8231602,8773719,5525
2015-09-15,16562222,7905936,8649989,6297
2015-09-16,16110173,7585203,8518916,6054
2015-09-17,16129956,7627307,8496418,6231
2015-09-18,15574411,7272187,8296381,5843
2015-09-19,14394733,5789417,8598179,7137
2015-09-20,18448599,8096516,10345162,6921
2015-09-21,17340206,8561506,8772667,6033
2015-09-22,16663496,8040756,8616805,5935
2015-09-23,16542556,7973413,8563262,5881
2015-09-24,15954946,7659673,8289367,5906
2015-09-25,15297002,7266444,8024636,5922
2015-09-26,16277808,7270117,9002153,5538
2015-09-27,15969807,6337633,9626387,5787
2015-09-28,16971090,8459753,8505851,5486
2015-09-29,16316116,8005396,8304680,6040
2015-09-30,15853364,7651534,8195829,6001
2015-10-01,16161672,7858847,8297010,5815
2015-10-02,16153578,7793850,8353553,6175
2015-10-03,14424678,5903999,8514320,6359
2015-10-04,16244803,6415861,9822607,6335
2015-10-05,16777345,8267202,8504255,5888
2015-10-06,17096766,8266193,8824083,6490
2015-10-07,17744514,9092122,8646339,6053
2015-10-08,16615606,8215463,8392897,7246
2015-10-09,15795434,7424665,8362403,8366
2015-10-10,15741521,6477356,9256482,7683
2015-10-11,16856016,6734140,10114189,7687
2015-10-12,17257408,8242400,9006432,8576
2015-10-13,17776603,8235278,9532174,9151
2015-10-14,17921170,8248217,9664483,8470
2015-10-15,17105870,8147615,8946084,12171
2015-10-16,15594414,7240600,8346416,7398
2015-10-17,14701304,5909193,8784153,7958
2015-10-18,16636364,6503290,10125251,7823
2015-10-19,16684576,7944512,8732026,8038
2015-10-20,16490908,7740058,8742450,8400
2015-10-21,16402031,7705368,8687758,8905
2015-10-22,16243909,7501320,8733902,8687
2015-10-23,15217278,7070697,8138629,7952
2015-10-24,14204702,5676972,8519318,8412
2015-10-25,16105491,6285794,9811186,8511
2015-10-26,16208773,7836535,8363983,8255
2015-10-27,16414432,8007590,8398026,8816
2015-10-28,16309619,7907565,8393642,8412
2015-10-29,15858912,7468626,8382192,8094
2015-10-30,15035807,6954110,8073907,7790
2015-10-31,13883389,5527416,8346458,9515
2015-11-01,16198553,6199222,9989435,9896
2015-11-02,17257011,8126162,9121768,9081
2015-11-03,16654658,7907116,8738141,9401
2015-11-04,16870540,8144151,8716900,9489
2015-11-05,16833392,7979327,8843672,10393
2015-11-06,16317049,7670496,8637495,9058
2015-11-07,15018767,6102818,8907113,8836
2015-11-08,17404391,6747905,10647462,9024
2015-11-09,18119709,8818407,9292076,9226
2015-11-10,17527571,8385941,9131446,10184
2015-11-11,17293325,8097324,9186881,9120
2015-11-12,16803551,7878815,8916439,8297
2015-11-13,15930174,7375898,8545324,8952
2015-11-14,15359405,6015002,9336029,8374
2015-11-15,18371198,7148367,11213898,8933
2015-11-16,18140127,8655839,9475365,8923
2015-11-17,17911518,8516610,9363624,31284
2015-11-18,17846763,8469482,9369062,8219
