Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,59599,35617,23982,0
2015-05-02,41975,19463,22512,0
2015-05-03,40674,17198,23476,0
2015-05-04,45487,20517,24970,0
2015-05-05,46366,20641,25725,0
2015-05-06,61960,25291,36669,0
2015-05-07,73763,42825,30938,0
2015-05-08,64674,39740,24934,0
2015-05-09,47116,22152,24964,0
2015-05-10,54703,23163,31540,0
2015-05-11,73473,42304,31169,0
2015-05-12,75890,42705,33185,0
2015-05-13,73946,40709,33237,0
2015-05-14,73907,41111,32796,0
2015-05-15,62291,36568,25723,0
2015-05-16,49757,21981,27776,0
2015-05-17,56316,22590,33726,0
2015-05-18,82347,48125,34222,0
2015-05-19,79814,44079,35735,0
2015-05-20,76851,41419,35432,0
2015-05-21,77654,43242,34412,0
2015-05-22,63353,37792,25561,0
2015-05-23,43924,19261,24663,0
2015-05-24,53647,22019,31628,0
2015-05-25,74437,42254,32183,0
2015-05-26,75800,44340,31460,0
2015-05-27,74078,42023,32055,0
2015-05-28,73089,41604,31485,0
2015-05-29,59442,35905,23537,0
2015-05-30,40719,18236,22483,0
2015-05-31,53453,23580,29873,0
2015-06-01,72462,42041,30421,0
2015-06-02,74639,44473,30166,0
2015-06-03,72759,42604,30155,0
2015-06-04,73956,43304,30652,0
2015-06-05,62739,38013,24726,0
2015-06-06,49017,25316,23701,0
2015-06-07,52608,21868,30740,0
2015-06-08,76727,44599,32128,0
2015-06-09,79782,47213,32569,0
2015-06-10,73300,42163,31137,0
2015-06-11,76544,44473,32071,0
2015-06-12,64039,39223,24816,0
2015-06-13,43930,19602,24328,0
2015-06-14,54464,23311,31153,0
2015-06-15,74568,43946,30622,0
2015-06-16,73098,42413,30685,0
2015-06-17,71572,41164,30408,0
2015-06-18,73565,42884,30681,0
2015-06-19,61865,37634,24231,0
2015-06-20,42731,18873,23858,0
2015-06-21,54542,22074,32468,0
2015-06-22,72360,41978,30382,0
2015-06-23,73179,41696,31483,0
2015-06-24,70109,38863,31246,0
2015-06-25,70668,39343,31325,0
2015-06-26,56245,33038,23207,0
2015-06-27,44816,19469,25347,0
2015-06-28,51216,19942,31274,0
2015-06-29,66699,36757,29942,0
2015-06-30,65594,35377,30217,0
2015-07-01,66598,35608,30990,0
2015-07-02,66000,35284,30716,0
2015-07-03,55484,31644,23840,0
2015-07-04,42358,19120,23238,0
2015-07-05,49187,19412,29775,0
2015-07-06,66722,37334,29388,0
2015-07-07,66352,36879,29473,0
2015-07-08,65967,37109,28858,0
2015-07-09,66836,38081,28755,0
2015-07-10,53534,30783,22751,0
2015-07-11,37364,16539,20825,0
2015-07-12,42624,16916,25708,0
2015-07-13,62383,35084,27299,0
2015-07-14,64331,35651,28680,0
2015-07-15,60688,33863,26825,0
2015-07-16,62011,35063,26948,0
2015-07-17,58652,33487,25165,0
2015-07-18,39819,16740,23079,0
2015-07-19,42455,16791,25664,0
