Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,23833,12975,10858,0
2015-05-02,40227,30371,9856,0
2015-05-03,83647,72711,10936,0
2015-05-04,317302,305565,11737,0
2015-05-05,25254,13092,12162,0
2015-05-06,31582,19340,12242,0
2015-05-07,112807,101479,11328,0
2015-05-08,50717,40299,10418,0
2015-05-09,115502,105425,10077,0
2015-05-10,57537,46136,11401,0
2015-05-11,32757,20815,11942,0
2015-05-12,31777,20212,11565,0
2015-05-13,53749,24276,29473,0
2015-05-14,71569,38088,33481,0
2015-05-15,82829,73156,9673,0
2015-05-16,36418,27207,9211,0
2015-05-17,60953,50623,10330,0
2015-05-18,82833,71922,10911,0
2015-05-19,34847,23651,11196,0
2015-05-20,30967,18661,12306,0
2015-05-21,97974,85229,12745,0
2015-05-22,34002,20422,13580,0
2015-05-23,31121,18244,12877,0
2015-05-24,33097,20523,12574,0
2015-05-25,27402,14836,12566,0
2015-05-26,31060,18057,13003,0
2015-05-27,31694,19127,12567,0
2015-05-28,25764,14049,11715,0
2015-05-29,29661,19996,9665,0
2015-05-30,52933,37730,15203,0
2015-05-31,70583,54026,16557,0
2015-06-01,70938,55036,15902,0
2015-06-02,35465,22746,12719,0
2015-06-03,47621,32347,15274,0
2015-06-04,27835,17285,10550,0
2015-06-05,53747,18783,34964,0
2015-06-06,46906,13611,33295,0
2015-06-07,33117,19018,14099,0
2015-06-08,41331,28902,12429,0
2015-06-09,32261,22801,9460,0
2015-06-10,46952,32548,14404,0
2015-06-11,50227,39361,10866,0
2015-06-12,46016,33496,12520,0
2015-06-13,29526,17159,12367,0
2015-06-14,38149,23794,14355,0
2015-06-15,36741,27267,9474,0
2015-06-16,25832,14487,11345,0
2015-06-17,21750,11591,10159,0
2015-06-18,21399,12935,8464,0
2015-06-19,17481,9758,7723,0
2015-06-20,16213,7691,8522,0
2015-06-21,26548,17448,9100,0
2015-06-22,47104,38105,8999,0
2015-06-23,49031,39965,9066,0
2015-06-24,24939,16705,8234,0
2015-06-25,18633,10405,8228,0
2015-06-26,17285,9241,8044,0
2015-06-27,25516,11861,13655,0
2015-06-28,49600,11210,38390,0
2015-06-29,32288,9537,22751,0
2015-06-30,22267,10533,11734,0
2015-07-01,21801,10623,11178,0
2015-07-02,20652,10321,10331,0
2015-07-03,18205,9416,8789,0
2015-07-04,19553,10259,9294,0
2015-07-05,23174,13435,9739,0
2015-07-06,23093,13314,9779,0
2015-07-07,22730,13091,9639,0
2015-07-08,23093,13915,9178,0
2015-07-09,22738,13731,9007,0
2015-07-10,26020,18286,7734,0
2015-07-11,20430,12259,8171,0
2015-07-12,29123,19706,9417,0
2015-07-13,28316,19240,9076,0
2015-07-14,41332,32851,8481,0
2015-07-15,55370,46398,8972,0
2015-07-16,54617,45889,8728,0
2015-07-17,28556,20120,8436,0
2015-07-18,28260,20367,7893,0
2015-07-19,113144,17075,96069,0
2015-07-20,41644,14683,26961,0
2015-07-21,57278,19629,37649,0
2015-07-22,24716,15334,9382,0
2015-07-23,21438,12688,8750,0
2015-07-24,18138,10228,7910,0
2015-07-25,18980,11081,7899,0
2015-07-26,22261,14139,8122,0
2015-07-27,27236,19100,8136,0
2015-07-28,30429,21562,8867,0
2015-07-29,33600,24319,9281,0
2015-07-30,37017,29288,7729,0
2015-07-31,44759,37382,7377,0
2015-08-01,29759,22525,7234,0
2015-08-02,34897,27253,7644,0
2015-08-03,27487,21044,6443,0
2015-08-04,32992,25206,7786,0
2015-08-05,25139,16520,8619,0
2015-08-06,31216,21711,9505,0
2015-08-07,57557,48411,9146,0
2015-08-08,58015,49987,8028,0
2015-08-09,46034,36177,9857,0
2015-08-10,30165,21062,9103,0
2015-08-11,30741,22187,8554,0
2015-08-12,63193,25896,37297,0
2015-08-13,53538,23671,29867,0
2015-08-14,25948,17797,8151,0
2015-08-15,25509,17674,7835,0
2015-08-16,28324,19442,8882,0
2015-08-17,28021,18938,9083,0
2015-08-18,28293,18577,9716,0
2015-08-19,28929,19930,8999,0
2015-08-20,26009,17844,8165,0
2015-08-21,26537,19177,7360,0
2015-08-22,31115,23925,7190,0
2015-08-23,26548,18694,7854,0
2015-08-24,36414,27163,9251,0
2015-08-25,37579,28532,9047,0
2015-08-26,31157,23447,7710,0
2015-08-27,38586,30959,7627,0
2015-08-28,55194,47173,8021,0
2015-08-29,57919,50107,7812,0
2015-08-30,33458,24707,8751,0
2015-08-31,29008,19947,9061,0
2015-09-01,49162,27432,21730,0
2015-09-02,57409,19855,37554,0
2015-09-03,39328,20509,18819,0
2015-09-04,36719,24441,12278,0
2015-09-05,34899,20712,14187,0
2015-09-06,38860,24026,14834,0
2015-09-07,33852,24143,9709,0
2015-09-08,46596,37955,8641,0
2015-09-09,28846,19987,8859,0
2015-09-10,33899,24277,9622,0
2015-09-11,36255,27732,8523,0
2015-09-12,35080,26833,8247,0
2015-09-13,39129,29200,9929,0
2015-09-14,26078,17178,8900,0
2015-09-15,27272,17672,9600,0
2015-09-16,26874,16772,10102,0
2015-09-17,25253,15742,9511,0
2015-09-18,22677,14075,8602,0
2015-09-19,31274,22849,8425,0
2015-09-20,30643,21497,9146,0
2015-09-21,28087,19263,8824,0
2015-09-22,51621,42327,9294,0
2015-09-23,38170,28480,9690,0
2015-09-24,27012,18074,8938,0
2015-09-25,20896,13589,7307,0
2015-09-26,17435,10576,6859,0
2015-09-27,16185,9418,6767,0
2015-09-28,22005,13822,8183,0
2015-09-29,22670,13556,9114,0
2015-09-30,26626,16513,10113,0
2015-10-01,26497,17445,9052,0
2015-10-02,25234,17791,7443,0
2015-10-03,20707,13524,7183,0
2015-10-04,24034,15371,8663,0
2015-10-05,26436,17696,8740,0
2015-10-06,25359,16076,9271,12
2015-10-07,24822,16619,8203,0
2015-10-08,20761,13057,7695,9
2015-10-09,19744,12635,7100,9
2015-10-10,23539,15327,8172,40
2015-10-11,23863,15414,8424,25
2015-10-12,26917,18022,8849,46
2015-10-13,29725,19216,10452,57
2015-10-14,28610,18430,10162,18
2015-10-15,28841,18513,10277,51
2015-10-16,23549,15033,8484,32
2015-10-17,16258,7680,8556,22
2015-10-18,16015,7053,8944,18
2015-10-19,26750,16063,10662,25
2015-10-20,27866,16739,11065,62
2015-10-21,30840,19407,11407,26
2015-10-22,29954,19263,10661,30
2015-10-23,23248,14761,8467,20
2015-10-24,26206,16149,10040,17
2015-10-25,26764,16701,10043,20
2015-10-26,29479,18046,11418,15
2015-10-27,31515,18921,12572,22
2015-10-28,33379,21529,11819,31
2015-10-29,39911,25191,14693,27
2015-10-30,37321,24810,12484,27
2015-10-31,32174,19210,12942,22
2015-11-01,31746,18255,13468,23
2015-11-02,38647,24602,14029,16
2015-11-03,34916,20892,14004,20
2015-11-04,37557,23737,13804,16
2015-11-05,36487,21826,14641,20
2015-11-06,32306,19942,12336,28
2015-11-07,36189,22025,14151,13
2015-11-08,35978,22078,13881,19
2015-11-09,31103,19544,11536,23
2015-11-10,28067,18231,9806,30
2015-11-11,26546,17204,9303,39
2015-11-12,20715,11424,9256,35
2015-11-13,20576,13097,7452,27
2015-11-14,23064,15851,7191,22
2015-11-15,15668,7221,8429,18
2015-11-16,33954,22178,11730,46
2015-11-17,30020,19813,10192,15
2015-11-18,21214,12277,8922,15
2015-11-19,24812,15011,9765,36
2015-11-20,23246,14229,8993,24
2015-11-21,20745,12294,8425,26
2015-11-22,25429,16623,8793,13
2015-11-23,26015,16589,9413,13
2015-11-24,32611,22021,10578,12
2015-11-25,27373,17122,10232,19
2015-11-26,25248,16589,8648,11
2015-11-27,22499,14805,7647,47
2015-11-28,20480,12498,7976,6
2015-11-29,23769,14238,9502,29
2015-11-30,24642,15695,8930,17
2015-12-01,25133,15940,9069,124
2015-12-02,25236,15640,9586,10
2015-12-03,25443,16285,9124,34
2015-12-04,22726,14273,8425,28
2015-12-05,19887,11624,8215,48
2015-12-06,24855,15551,9284,20
2015-12-07,25552,15945,9578,29
2015-12-08,24880,15365,9484,31
2015-12-09,29359,19447,9897,15
2015-12-10,53938,41651,12231,56
2015-12-11,30335,20886,9433,16
2015-12-12,30705,20026,10660,19
2015-12-13,34255,23028,11163,64
2015-12-14,26752,15924,10793,35
2015-12-15,25310,15962,9308,40
2015-12-16,30819,21470,9336,13
2015-12-17,25399,17493,7887,19
2015-12-18,21491,14443,7020,28
2015-12-19,18334,11160,7152,22
2015-12-20,21530,13276,8242,12
2015-12-21,22847,14543,8291,13
2015-12-22,21658,13703,7921,34
2015-12-23,23565,15933,7615,17
2015-12-24,26058,17587,8455,16
2015-12-25,22394,14789,7592,13
2015-12-26,23766,14959,8785,22
2015-12-27,23451,15002,8436,13
2015-12-28,24492,15592,8856,44
2015-12-29,24937,16739,8187,11
2015-12-30,22114,14609,7488,17
