Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2385,2341,44,0
2015-05-02,2883,2818,65,0
2015-05-03,3742,3661,80,1
2015-05-04,3844,3744,100,0
2015-05-05,2507,2457,48,2
2015-05-06,4749,4554,195,0
2015-05-07,3869,3804,65,0
2015-05-08,2689,2646,43,0
2015-05-09,3749,3522,227,0
2015-05-10,2308,2292,16,0
2015-05-11,2164,2105,59,0
2015-05-12,2162,2137,25,0
2015-05-13,3005,2875,130,0
2015-05-14,2267,2251,15,1
2015-05-15,4623,4588,35,0
2015-05-16,4356,4336,20,0
2015-05-17,3065,3037,28,0
2015-05-18,3249,3222,27,0
2015-05-19,3424,3372,46,6
2015-05-20,3054,3015,39,0
2015-05-21,4875,4779,96,0
2015-05-22,2873,2803,69,1
2015-05-23,2901,2661,239,1
2015-05-24,2358,2305,52,1
2015-05-25,3316,3251,65,0
2015-05-26,3331,3274,57,0
2015-05-27,3646,3579,67,0
2015-05-28,3335,3293,42,0
2015-05-29,4503,4396,106,1
2015-05-30,4687,4639,48,0
2015-05-31,3497,3460,37,0
2015-06-01,2737,2667,67,3
2015-06-02,2475,2421,54,0
2015-06-03,2922,2898,24,0
2015-06-04,3269,3225,44,0
2015-06-05,2942,2875,67,0
2015-06-06,3052,2788,264,0
2015-06-07,1905,1863,42,0
2015-06-08,3839,3763,76,0
2015-06-09,2786,2716,70,0
2015-06-10,3348,3275,73,0
2015-06-11,5492,5436,56,0
2015-06-12,3511,3473,38,0
2015-06-13,2627,2590,37,0
2015-06-14,2484,2440,44,0
2015-06-15,2920,2876,44,0
2015-06-16,2837,2813,24,0
2015-06-17,2231,2189,41,1
2015-06-18,7160,7122,38,0
2015-06-19,2200,2108,92,0
2015-06-20,2178,2099,79,0
2015-06-21,2312,2298,14,0
2015-06-22,2186,2178,7,1
2015-06-23,2194,2189,5,0
2015-06-24,2596,2568,28,0
2015-06-25,4069,3996,73,0
2015-06-26,3625,3558,67,0
2015-06-27,3183,2997,186,0
2015-06-28,2783,2736,47,0
2015-06-29,3599,3548,51,0
2015-06-30,2955,2929,26,0
2015-07-01,2285,2250,34,1
2015-07-02,1720,1655,64,1
2015-07-03,2558,2545,13,0
2015-07-04,2285,2197,88,0
2015-07-05,3059,3024,35,0
2015-07-06,8473,8329,144,0
2015-07-07,6020,5861,159,0
2015-07-08,3713,3636,77,0
2015-07-09,2125,2117,8,0
2015-07-10,2532,2504,28,0
2015-07-11,2215,2206,8,1
2015-07-12,2079,2067,11,1
2015-07-13,1555,1548,7,0
2015-07-14,1356,1350,6,0
2015-07-15,1601,1591,10,0
2015-07-16,1616,1595,21,0
2015-07-17,1005,996,9,0
2015-07-18,1006,925,80,1
2015-07-19,2748,2734,14,0
2015-07-20,1465,1447,18,0
2015-07-21,1237,1227,10,0
2015-07-22,1217,1204,12,1
2015-07-23,1674,1627,47,0
2015-07-24,1313,1245,67,1
2015-07-25,912,892,20,0
2015-07-26,1077,1061,16,0
2015-07-27,1465,1434,31,0
2015-07-28,1877,1847,30,0
2015-07-29,2898,2872,26,0
2015-07-30,1903,1860,43,0
2015-07-31,1658,1637,21,0
2015-08-01,2288,2167,120,1
2015-08-02,2113,2095,18,0
2015-08-03,969,956,12,1
2015-08-04,3856,3562,294,0
2015-08-05,2227,1763,464,0
2015-08-06,2082,2054,28,0
2015-08-07,2925,2896,29,0
2015-08-08,1628,1620,8,0
2015-08-09,2141,2112,29,0
2015-08-10,2597,2569,28,0
2015-08-11,1883,1856,27,0
2015-08-12,2214,2111,103,0
2015-08-13,1379,1347,32,0
2015-08-14,1717,1693,24,0
2015-08-15,1330,1221,109,0
2015-08-16,3043,2955,88,0
2015-08-17,2609,2435,174,0
2015-08-18,3728,3277,451,0
2015-08-19,2758,2437,321,0
2015-08-20,3426,2940,486,0
2015-08-21,2940,2606,334,0
2015-08-22,2954,2548,406,0
2015-08-23,5428,4869,559,0
2015-08-24,4691,4016,675,0
2015-08-25,3975,3239,736,0
2015-08-26,2199,2130,69,0
2015-08-27,2440,2260,179,1
2015-08-28,2847,2751,96,0
2015-08-29,1841,1741,100,0
2015-08-30,1945,1891,54,0
2015-08-31,1417,1360,57,0
2015-09-01,1466,1414,52,0
2015-09-02,1868,1753,115,0
2015-09-03,2040,1998,42,0
2015-09-04,2734,2626,108,0
2015-09-05,2975,2898,74,3
2015-09-06,5573,4508,1065,0
2015-09-07,1743,1696,47,0
2015-09-08,1678,1606,72,0
2015-09-09,1681,1665,15,1
2015-09-10,2621,2586,35,0
2015-09-11,2129,2112,16,1
2015-09-12,2046,1958,88,0
2015-09-13,2393,2365,27,1
2015-09-14,2273,2234,39,0
2015-09-15,3603,3486,117,0
