Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,9045651,6501918,2542029,1704
2015-05-02,8121387,5717885,2401695,1807
2015-05-03,9668661,6969968,2696998,1695
2015-05-04,10182469,7818092,2362810,1567
2015-05-05,9202654,7015283,2185844,1527
2015-05-06,9574716,7322216,2250814,1686
2015-05-07,9473055,7219966,2251271,1818
2015-05-08,8278497,6249347,2027582,1568
2015-05-09,8198944,5947988,2249358,1598
2015-05-10,10560600,7610749,2948049,1802
2015-05-11,9930789,7485950,2443103,1736
2015-05-12,9499432,7147038,2350764,1630
2015-05-13,9595696,7177588,2416243,1865
2015-05-14,9512773,7123764,2387334,1675
2015-05-15,8782085,6714827,2065390,1868
2015-05-16,7414049,5252413,2159864,1772
2015-05-17,9757826,6986646,2769241,1939
2015-05-18,9362103,7041634,2318634,1835
2015-05-19,9336220,6972445,2361868,1907
2015-05-20,9517063,7152207,2362919,1937
2015-05-21,9870744,7392110,2476942,1692
2015-05-22,8499941,6371171,2126711,2059
2015-05-23,8628702,6109211,2517746,1745
2015-05-24,10019859,7123940,2894067,1852
2015-05-25,10372669,7806941,2563438,2290
2015-05-26,10203826,7768223,2433812,1791
2015-05-27,10287223,7794100,2491364,1759
2015-05-28,9404296,7066276,2336106,1914
2015-05-29,7914186,5876777,2035695,1714
2015-05-30,7902013,5623728,2276692,1593
2015-05-31,9010777,6543024,2465837,1916
2015-06-01,9011325,6857235,2152450,1640
2015-06-02,9074795,6889852,2183302,1641
2015-06-03,7721906,5819022,1901449,1435
2015-06-04,8152612,5944275,2206734,1603
2015-06-05,7218656,5247221,1969645,1790
2015-06-06,7338645,5022084,2314934,1627
2015-06-07,9708577,7053869,2653160,1548
2015-06-08,10521414,8071162,2448485,1767
2015-06-09,10439832,8007970,2430359,1503
2015-06-10,10067174,7740667,2324717,1790
2015-06-11,9521990,7288124,2232219,1647
2015-06-12,8704003,6579042,2123194,1767
2015-06-13,7826158,5569923,2254611,1624
2015-06-14,10244663,7475356,2767642,1665
2015-06-15,10337090,7985122,2350090,1878
2015-06-16,8960518,6720532,2238572,1414
2015-06-17,8613024,6485266,2126161,1597
2015-06-18,8978191,6899706,2077137,1348
2015-06-19,7683843,5674238,2008104,1501
2015-06-20,7092665,4879629,2211452,1584
2015-06-21,8650958,6014639,2634822,1497
2015-06-22,8531125,6414028,2115556,1541
2015-06-23,8014246,5927663,2084790,1793
2015-06-24,7430246,5524173,1904428,1645
2015-06-25,7139353,5330976,1806852,1525
2015-06-26,6430473,4686348,1742568,1557
2015-06-27,7787116,5582249,2203361,1506
2015-06-28,7550891,5197411,2351574,1906
2015-06-29,7440680,5381870,2057069,1741
2015-06-30,6510693,4786461,1722723,1509
2015-07-01,6516788,4607687,1907550,1551
2015-07-02,6413918,4544116,1868154,1648
2015-07-03,6250109,4377896,1870479,1734
2015-07-04,5498074,3503238,1993211,1625
2015-07-05,6476899,4300056,2175216,1627
2015-07-06,6957118,5066767,1888675,1676
2015-07-07,6941380,5072780,1866611,1989
2015-07-08,6577452,4761839,1813684,1929
2015-07-09,6506876,4707980,1797235,1661
2015-07-10,6544469,4630880,1911951,1638
2015-07-11,5698346,3714157,1982249,1940
2015-07-12,6879595,4547319,2330420,1856
2015-07-13,7117482,5161349,1954358,1775
2015-07-14,7032359,5063131,1967479,1749
2015-07-15,6680468,4805466,1873461,1541
2015-07-16,6362543,4508298,1852802,1443
2015-07-17,6014123,4161179,1851328,1616
2015-07-18,5620643,3582117,2036909,1617
2015-07-19,6840753,4213443,2625597,1713
2015-07-20,6839628,4863905,1973940,1783
2015-07-21,6618718,4670379,1946713,1626
2015-07-22,6317175,4435292,1880088,1795
2015-07-23,6429031,4490959,1936511,1561
2015-07-24,6182848,4253852,1927237,1759
2015-07-25,5915388,3782621,2131030,1737
2015-07-26,7126044,4612199,2512213,1632
2015-07-27,7018080,4974186,2042221,1673
2015-07-28,7020780,4966182,2053062,1536
2015-07-29,7317936,5194805,2121281,1850
2015-07-30,6526173,4590024,1934314,1835
2015-07-31,6254378,4312701,1939995,1682
2015-08-01,5654339,3616200,2036365,1774
2015-08-02,6510090,4235608,2272618,1864
2015-08-03,5309145,3741961,1565774,1410
2015-08-04,6430381,4507800,1920829,1752
2015-08-05,6460052,4523851,1934184,2017
2015-08-06,6383640,4427841,1953916,1883
2015-08-07,6575262,4577625,1995645,1992
2015-08-08,5983579,3892948,2088932,1699
2015-08-09,7237482,4697630,2538034,1818
2015-08-10,6403354,4466022,1935653,1679
2015-08-11,6323098,4387490,1933824,1784
2015-08-12,6203126,4203712,1997472,1942
2015-08-13,6534320,4573263,1959291,1766
2015-08-14,5663336,3673222,1988526,1588
2015-08-15,6571394,4118308,2451037,2049
2015-08-16,6899269,4431210,2466444,1615
2015-08-17,6785719,4699979,2084036,1704
2015-08-18,6821983,4851616,1968717,1650
2015-08-19,6657579,4738338,1917506,1735
2015-08-20,6571052,4636340,1932803,1909
2015-08-21,6449168,4500141,1947376,1651
2015-08-22,6004105,3910868,2091482,1755
2015-08-23,7188515,4674404,2512264,1847
2015-08-24,7471398,5372632,2096960,1806
2015-08-25,7342305,5247391,2092961,1953
2015-08-26,6997786,5014158,1981526,2102
2015-08-27,6965647,4985619,1978232,1796
2015-08-28,6920547,4907670,2011008,1869
2015-08-29,6311052,4106185,2203142,1725
2015-08-30,7098245,4632482,2463876,1887
2015-08-31,7017139,5033617,1981780,1742
2015-09-01,6717579,4817125,1898784,1670
2015-09-02,7069916,5109623,1958653,1640
2015-09-03,7341325,5215154,2124509,1662
2015-09-04,6924871,4764621,2158454,1796
2015-09-05,6917484,4545166,2370554,1764
2015-09-06,8254081,5462469,2789942,1670
2015-09-07,8092063,5597497,2492759,1807
2015-09-08,8089306,5710625,2376893,1788
2015-09-09,7985143,5643725,2339561,1857
2015-09-10,7706489,5430802,2273969,1718
2015-09-11,7469802,5323503,2144546,1753
2015-09-12,6971575,4552550,2417163,1862
2015-09-13,8777419,5906917,2868530,1972
2015-09-14,8264759,5850413,2412440,1906
2015-09-15,8917569,6424751,2491051,1767
2015-09-16,8360566,5982704,2375907,1955
2015-09-17,7537792,5271925,2263876,1991
2015-09-18,6778152,4713345,2063024,1783
2015-09-19,7056206,4579836,2474159,2211
2015-09-20,8810987,5837232,2971889,1866
2015-09-21,8462185,6014410,2445975,1800
2015-09-22,7867640,5499927,2365718,1995
2015-09-23,7796240,5475064,2318711,2465
2015-09-24,7409160,5172938,2234237,1985
2015-09-25,6790560,4712385,2076122,2053
2015-09-26,6927942,4501756,2424328,1858
2015-09-27,8154527,5351344,2801209,1974
2015-09-28,8000362,5621950,2376488,1924
2015-09-29,7823191,5519670,2301598,1923
2015-09-30,7617812,5360893,2254772,2147
2015-10-01,7258920,5060756,2196255,1909
2015-10-02,6423774,4462424,1959408,1942
2015-10-03,6523520,4187200,2334535,1785
2015-10-04,8362074,5500899,2859268,1907
2015-10-05,7929767,5558600,2369242,1925
2015-10-06,7974423,5601012,2371307,2104
2015-10-07,8163023,5766747,2394034,2242
2015-10-08,8088459,5645647,2439936,2876
2015-10-09,7155146,5072663,2079200,3283
2015-10-10,7145758,4663179,2479462,3117
2015-10-11,9300071,6189202,3107209,3660
2015-10-12,8613908,6125985,2484363,3560
2015-10-13,7996378,5745971,2246904,3503
2015-10-14,8428321,5989663,2435089,3569
2015-10-15,8208977,5759050,2446499,3428
2015-10-16,7112252,4929795,2179223,3234
2015-10-17,7489328,4910519,2575265,3544
2015-10-18,9064534,6030360,3030569,3605
2015-10-19,8727007,6124234,2599217,3556
2015-10-20,8740887,6034505,2702954,3428
2015-10-21,8680412,6047151,2629774,3487
2015-10-22,8254751,5729946,2521629,3176
2015-10-23,7302584,5037750,2261771,3063
2015-10-24,7384756,4809127,2572341,3288
2015-10-25,9257900,6084740,3169325,3835
2015-10-26,8855143,6203994,2647204,3945
2015-10-27,8729228,6082762,2642556,3910
2015-10-28,8479621,5926776,2549593,3252
2015-10-29,8124818,5592580,2528834,3404
2015-10-30,6902778,4698933,2200340,3505
2015-10-31,7126111,4622921,2499310,3880
2015-11-01,8183812,5207715,2972667,3430
2015-11-02,9079633,6466543,2609721,3369
2015-11-03,8701237,6081486,2616599,3152
2015-11-04,8804617,6147959,2653399,3259
2015-11-05,8566630,5931890,2631684,3056
2015-11-06,7383496,5069961,2310417,3118
2015-11-07,7730904,5039656,2688377,2871
2015-11-08,9290219,6141464,3145594,3161
2015-11-09,9495699,6693803,2798720,3176
2015-11-10,7774725,5354868,2416263,3594
2015-11-11,10118019,6706507,3407514,3998
2015-11-12,8994661,6204375,2786449,3837
2015-11-13,7632064,5112645,2515833,3586
2015-11-14,8159121,5284983,2871018,3120
2015-11-15,10069495,6669960,3396065,3470
2015-11-16,9513654,6613159,2897051,3444
2015-11-17,9530369,6555136,2971603,3630
2015-11-18,9286282,6439902,2843201,3179
2015-11-19,8990988,6191627,2795736,3625
2015-11-20,8024424,5484426,2536540,3458
2015-11-21,8198549,5420813,2774133,3603
2015-11-22,9899225,6547039,3348432,3754
2015-11-23,9030014,6278092,2748598,3324
2015-11-24,9360714,6572179,2785244,3291
