Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,312,250,62,0
2015-05-02,622,546,76,0
2015-05-03,673,583,90,0
2015-05-04,708,625,83,0
2015-05-05,353,267,86,0
2015-05-06,358,302,56,0
2015-05-07,2782,2573,209,0
2015-05-08,3233,3036,197,0
2015-05-09,1944,1880,64,0
2015-05-10,1684,1595,89,0
2015-05-11,770,711,59,0
2015-05-12,1343,1234,109,0
2015-05-13,4467,4051,416,0
2015-05-14,348,291,57,0
2015-05-15,900,862,38,0
2015-05-16,339,275,64,0
2015-05-17,883,819,64,0
2015-05-18,290,220,70,0
2015-05-19,403,354,49,0
2015-05-20,354,298,56,0
2015-05-21,458,367,91,0
2015-05-22,413,331,82,0
2015-05-23,301,255,46,0
2015-05-24,318,260,58,0
2015-05-25,358,286,72,0
2015-05-26,253,205,48,0
2015-05-27,309,244,65,0
2015-05-28,990,933,57,0
2015-05-29,406,310,96,0
2015-05-30,510,448,62,0
2015-05-31,433,358,75,0
2015-06-01,510,434,76,0
2015-06-02,414,340,74,0
2015-06-03,416,352,64,0
2015-06-04,530,462,68,0
2015-06-05,927,861,66,0
2015-06-06,1186,1064,122,0
2015-06-07,669,614,55,0
2015-06-08,636,527,109,0
2015-06-09,505,436,69,0
2015-06-10,1148,1072,76,0
2015-06-11,769,528,241,0
2015-06-12,948,831,117,0
2015-06-13,526,343,183,0
2015-06-14,387,286,101,0
2015-06-15,470,394,76,0
2015-06-16,233,183,50,0
2015-06-17,298,256,42,0
2015-06-18,180,107,73,0
2015-06-19,188,138,50,0
2015-06-20,168,129,39,0
2015-06-21,838,788,50,0
2015-06-22,488,270,218,0
2015-06-23,410,150,260,0
2015-06-24,344,249,95,0
2015-06-25,490,199,291,0
2015-06-26,983,735,248,0
2015-06-27,789,690,99,0
2015-06-28,423,374,49,0
2015-06-29,483,422,61,0
2015-06-30,483,317,166,0
2015-07-01,485,258,227,0
2015-07-02,820,682,138,0
2015-07-03,1119,923,196,0
2015-07-04,714,577,137,0
2015-07-05,1220,985,235,0
2015-07-06,730,663,67,0
2015-07-07,607,378,229,0
2015-07-08,409,368,41,0
2015-07-09,665,465,200,0
2015-07-10,559,484,75,0
2015-07-11,443,334,109,0
2015-07-12,1098,942,156,0
2015-07-13,806,552,254,0
2015-07-14,903,841,62,0
2015-07-15,834,644,190,0
2015-07-16,947,846,101,0
2015-07-17,611,386,225,0
2015-07-18,605,527,78,0
2015-07-19,1057,329,728,0
2015-07-20,701,523,178,0
2015-07-21,665,525,140,0
2015-07-22,562,489,73,0
2015-07-23,1223,1044,179,0
2015-07-24,684,414,270,0
2015-07-25,722,639,83,0
2015-07-26,459,346,113,0
2015-07-27,273,238,35,0
2015-07-28,461,270,191,0
2015-07-29,605,523,82,0
2015-07-30,528,445,83,0
2015-07-31,610,389,221,0
2015-08-01,718,459,259,0
2015-08-02,507,420,87,0
2015-08-03,637,519,118,0
2015-08-04,519,355,164,0
2015-08-05,429,343,86,0
2015-08-06,1217,909,308,0
2015-08-07,721,518,203,0
2015-08-08,645,608,37,0
2015-08-09,206,176,30,0
2015-08-10,1375,1005,370,0
2015-08-11,3234,3084,150,0
2015-08-12,411,337,74,0
2015-08-13,760,588,172,0
2015-08-14,491,339,152,0
2015-08-15,1087,852,235,0
2015-08-16,503,459,44,0
2015-08-17,755,486,269,0
2015-08-18,464,414,50,0
2015-08-19,231,188,43,0
2015-08-20,400,334,66,0
2015-08-21,353,243,110,0
2015-08-22,4188,3638,550,0
2015-08-23,620,574,46,0
2015-08-24,638,532,106,0
2015-08-25,324,265,59,0
2015-08-26,125,82,43,0
2015-08-27,243,203,40,0
2015-08-28,518,475,43,0
2015-08-29,219,176,43,0
2015-08-30,272,191,81,0
2015-08-31,340,307,33,0
2015-09-01,407,361,46,0
2015-09-02,532,449,83,0
2015-09-03,1103,947,156,0
2015-09-04,918,824,94,0
2015-09-05,1463,1001,462,0
2015-09-06,456,365,91,0
2015-09-07,541,491,50,0
2015-09-08,435,371,64,0
2015-09-09,363,308,55,0
2015-09-10,718,664,54,0
2015-09-11,374,335,39,0
2015-09-12,462,425,37,0
2015-09-13,411,280,131,0
2015-09-14,487,437,50,0
2015-09-15,375,334,41,0
2015-09-16,378,326,52,0
2015-09-17,314,262,52,0
2015-09-18,288,258,30,0
2015-09-19,414,378,36,0
2015-09-20,644,560,84,0
2015-09-21,594,535,59,0
2015-09-22,470,441,29,0
2015-09-23,330,281,49,0
2015-09-24,628,475,153,0
2015-09-25,266,210,56,0
2015-09-26,525,451,74,0
2015-09-27,720,652,68,0
2015-09-28,491,452,39,0
2015-09-29,364,318,46,0
2015-09-30,968,915,53,0
2015-10-01,537,507,30,0
2015-10-02,699,648,51,0
2015-10-03,574,512,62,0
2015-10-04,350,312,38,0
2015-10-05,629,576,53,0
2015-10-06,454,379,75,0
2015-10-07,292,212,80,0
2015-10-08,287,232,55,0
2015-10-09,399,348,50,1
2015-10-10,301,262,38,1
2015-10-11,210,168,39,3
2015-10-12,330,301,26,3
2015-10-13,397,270,118,9
2015-10-14,264,217,46,1
2015-10-15,278,245,25,8
2015-10-16,421,292,126,3
2015-10-17,373,335,33,5
2015-10-18,307,263,41,3
2015-10-19,247,200,42,5
2015-10-20,515,459,52,4
2015-10-21,331,207,121,3
2015-10-22,399,336,58,5
2015-10-23,263,207,51,5
2015-10-24,336,288,46,2
2015-10-25,582,387,184,11
2015-10-26,323,262,60,1
2015-10-27,228,194,31,3
2015-10-28,301,253,45,3
2015-10-29,287,201,64,22
2015-10-30,309,194,110,5
2015-10-31,336,316,20,0
2015-11-01,197,175,21,1
2015-11-02,174,140,34,0
2015-11-03,165,115,36,14
2015-11-04,447,405,40,2
2015-11-05,152,123,29,0
2015-11-06,306,243,58,5
2015-11-07,253,212,37,4
2015-11-08,196,126,52,18
2015-11-09,254,124,127,3
2015-11-10,244,201,42,1
2015-11-11,397,368,19,10
2015-11-12,272,206,66,0
2015-11-13,193,124,62,7
2015-11-14,186,143,29,14
2015-11-15,278,188,76,14
2015-11-16,175,109,62,4
2015-11-17,294,255,31,8
2015-11-18,218,123,88,7
2015-11-19,261,208,42,11
2015-11-20,218,168,30,20
2015-11-21,90,69,21,0
2015-11-22,198,130,63,5
2015-11-23,120,103,16,1
2015-11-24,2482,2164,317,1
2015-11-25,373,174,198,1
2015-11-26,644,556,67,21
2015-11-27,32299,28020,4277,2
2015-11-28,5397,3010,2387,0
2015-11-29,471,328,72,71
2015-11-30,299,227,18,54
2015-12-01,181,139,38,4
2015-12-02,465,414,51,0
2015-12-03,294,249,45,0
2015-12-04,200,167,24,9
2015-12-05,145,120,22,3
2015-12-06,395,358,29,8
2015-12-07,465,394,65,6
2015-12-08,1826,1535,290,1
2015-12-09,387,342,44,1
2015-12-10,250,144,92,14
2015-12-11,975,783,187,5
2015-12-12,309,266,36,7
2015-12-13,409,306,64,39
2015-12-14,796,761,33,2
2015-12-15,240,165,42,33
2015-12-16,579,520,57,2
2015-12-17,692,613,75,4
2015-12-18,110,67,37,6
2015-12-19,160,143,16,1
2015-12-20,309,263,37,9
2015-12-21,239,214,25,0
2015-12-22,231,193,12,26
2015-12-23,246,206,34,6
2015-12-24,272,240,28,4
2015-12-25,235,198,26,11
2015-12-26,274,235,36,3
2015-12-27,423,378,34,11
2015-12-28,182,145,28,9
2015-12-29,140,104,34,2
2015-12-30,147,123,24,0
2015-12-31,142,113,20,9
2016-01-01,829,763,47,19
2016-01-02,394,342,44,8
2016-01-03,278,222,42,14
2016-01-04,277,230,31,16
2016-01-05,265,210,54,1
2016-01-06,365,326,39,0
2016-01-07,280,223,51,6
2016-01-08,301,238,60,3
2016-01-09,270,195,58,17
2016-01-10,326,265,42,19
2016-01-11,296,274,16,6
2016-01-12,271,214,54,3
2016-01-13,188,152,31,5
