Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,453,241,212,0
2015-05-02,212,180,32,0
2015-05-03,277,230,47,0
2015-05-04,631,554,77,0
2015-05-05,707,570,137,0
2015-05-06,506,478,28,0
2015-05-07,226,196,30,0
2015-05-08,338,281,57,0
2015-05-09,365,270,95,0
2015-05-10,260,191,69,0
2015-05-11,228,197,31,0
2015-05-12,151,146,5,0
2015-05-13,178,143,35,0
2015-05-14,295,279,16,0
2015-05-15,328,298,30,0
2015-05-16,341,296,45,0
2015-05-17,785,561,224,0
2015-05-18,175,143,32,0
2015-05-19,653,608,45,0
2015-05-20,803,550,253,0
2015-05-21,438,412,26,0
2015-05-22,635,445,190,0
2015-05-23,293,241,52,0
2015-05-24,709,444,265,0
2015-05-25,702,474,228,0
2015-05-26,765,309,456,0
2015-05-27,368,151,217,0
2015-05-28,285,240,45,0
2015-05-29,193,172,21,0
2015-05-30,215,193,22,0
2015-05-31,426,363,63,0
2015-06-01,441,407,34,0
2015-06-02,914,864,50,0
2015-06-03,441,409,32,0
2015-06-04,524,463,61,0
2015-06-05,570,496,74,0
2015-06-06,417,329,88,0
2015-06-07,289,234,55,0
2015-06-08,332,263,69,0
2015-06-09,646,577,69,0
2015-06-10,1719,1660,59,0
2015-06-11,1542,1494,48,0
2015-06-12,625,442,183,0
2015-06-13,492,421,71,0
2015-06-14,555,499,56,0
2015-06-15,430,390,40,0
2015-06-16,609,587,22,0
2015-06-17,341,314,27,0
2015-06-18,454,449,5,0
2015-06-19,672,642,30,0
2015-06-20,159,98,61,0
2015-06-21,171,149,22,0
2015-06-22,250,229,21,0
2015-06-23,292,271,21,0
2015-06-24,307,300,7,0
2015-06-25,412,403,9,0
2015-06-26,104,75,29,0
2015-06-27,283,75,208,0
2015-06-28,367,219,148,0
2015-06-29,294,104,190,0
2015-06-30,470,251,219,0
2015-07-01,145,120,25,0
2015-07-02,314,154,160,0
2015-07-03,252,113,139,0
2015-07-04,495,290,205,0
2015-07-05,622,370,252,0
2015-07-06,245,189,56,0
2015-07-07,359,252,107,0
2015-07-08,464,342,122,0
2015-07-09,274,166,108,0
2015-07-10,322,309,13,0
2015-07-11,209,197,12,0
2015-07-12,227,203,24,0
2015-07-13,258,234,24,0
2015-07-14,317,302,15,0
2015-07-15,146,107,39,0
2015-07-16,503,406,97,0
2015-07-17,209,174,35,0
2015-07-18,195,164,31,0
2015-07-19,255,199,56,0
2015-07-20,1133,897,236,0
2015-07-21,1370,1007,363,0
2015-07-22,1295,863,432,0
