Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,713,613,100,0
2015-05-02,941,815,126,0
2015-05-03,709,607,102,0
2015-05-04,829,545,284,0
2015-05-05,535,397,138,0
2015-05-06,619,512,107,0
2015-05-07,569,430,139,0
2015-05-08,596,494,102,0
2015-05-09,765,649,116,0
2015-05-10,557,442,115,0
2015-05-11,548,432,116,0
2015-05-12,523,402,121,0
2015-05-13,393,297,96,0
2015-05-14,658,510,148,0
2015-05-15,587,481,106,0
2015-05-16,400,319,81,0
2015-05-17,601,458,143,0
2015-05-18,765,399,366,0
2015-05-19,321,220,101,0
2015-05-20,398,241,157,0
2015-05-21,681,585,96,0
2015-05-22,476,362,114,0
2015-05-23,490,402,88,0
2015-05-24,594,529,65,0
2015-05-25,500,410,90,0
2015-05-26,593,467,126,0
2015-05-27,632,461,171,0
2015-05-28,819,673,146,0
2015-05-29,533,389,144,0
2015-05-30,601,469,132,0
2015-05-31,879,676,203,0
2015-06-01,809,476,333,0
2015-06-02,587,475,112,0
2015-06-03,724,596,128,0
2015-06-04,790,596,194,0
2015-06-05,409,224,185,0
2015-06-06,799,528,271,0
2015-06-07,542,324,218,0
2015-06-08,777,553,224,0
2015-06-09,990,715,275,0
2015-06-10,1150,925,225,0
2015-06-11,1053,809,244,0
2015-06-12,675,517,158,0
2015-06-13,498,388,110,0
2015-06-14,696,542,154,0
2015-06-15,642,332,310,0
2015-06-16,453,301,152,0
2015-06-17,456,346,110,0
2015-06-18,494,361,133,0
2015-06-19,307,228,79,0
2015-06-20,302,209,93,0
2015-06-21,867,748,119,0
2015-06-22,478,305,173,0
2015-06-23,370,267,103,0
2015-06-24,555,438,117,0
2015-06-25,379,292,87,0
2015-06-26,317,246,71,0
2015-06-27,407,326,81,0
2015-06-28,475,334,141,0
2015-06-29,459,319,140,0
2015-06-30,334,248,86,0
2015-07-01,364,278,86,0
2015-07-02,439,324,115,0
2015-07-03,303,202,101,0
2015-07-04,356,286,70,0
2015-07-05,482,312,170,0
2015-07-06,452,295,157,0
2015-07-07,404,291,113,0
2015-07-08,691,601,90,0
2015-07-09,374,299,75,0
2015-07-10,407,256,151,0
2015-07-11,680,584,96,0
2015-07-12,297,212,85,0
2015-07-13,1040,883,157,0
