Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,134,119,15,0
2015-05-02,100,83,17,0
2015-05-03,124,92,32,0
2015-05-04,166,158,8,0
2015-05-05,90,70,20,0
2015-05-06,85,75,10,0
2015-05-07,111,85,26,0
2015-05-08,143,131,12,0
2015-05-09,113,101,12,0
2015-05-10,118,101,17,0
2015-05-11,195,179,16,0
2015-05-12,55,49,6,0
2015-05-13,79,63,16,0
2015-05-14,76,71,5,0
2015-05-15,77,69,8,0
2015-05-16,90,81,9,0
2015-05-17,67,54,13,0
2015-05-18,54,47,7,0
2015-05-19,124,110,14,0
2015-05-20,121,103,18,0
2015-05-21,120,97,23,0
2015-05-22,119,104,15,0
2015-05-23,87,68,19,0
2015-05-24,129,97,32,0
2015-05-25,235,198,37,0
2015-05-26,155,132,23,0
2015-05-27,122,110,12,0
2015-05-28,141,132,9,0
2015-05-29,209,190,19,0
2015-05-30,156,148,8,0
2015-05-31,125,114,11,0
2015-06-01,137,115,22,0
2015-06-02,123,98,25,0
2015-06-03,168,149,19,0
2015-06-04,191,165,26,0
2015-06-05,236,217,19,0
2015-06-06,169,135,34,0
2015-06-07,121,96,25,0
2015-06-08,237,224,13,0
2015-06-09,325,287,38,0
2015-06-10,229,170,59,0
2015-06-11,188,162,26,0
2015-06-12,99,87,12,0
2015-06-13,132,114,18,0
2015-06-14,274,251,23,0
2015-06-15,106,92,14,0
2015-06-16,56,48,8,0
2015-06-17,22,20,2,0
2015-06-18,29,29,0,0
2015-06-19,27,23,4,0
2015-06-20,20,17,3,0
2015-06-21,25,22,3,0
2015-06-22,49,45,4,0
2015-06-23,34,34,0,0
2015-06-24,46,45,1,0
2015-06-25,25,24,1,0
2015-06-26,37,34,3,0
2015-06-27,30,30,0,0
2015-06-28,125,125,0,0
2015-06-29,99,98,1,0
2015-06-30,48,46,2,0
2015-07-01,50,47,3,0
2015-07-02,46,42,4,0
2015-07-03,35,34,1,0
2015-07-04,53,53,0,0
2015-07-05,55,52,3,0
2015-07-06,51,49,2,0
2015-07-07,39,39,0,0
2015-07-08,79,79,0,0
2015-07-09,51,51,0,0
2015-07-10,29,28,1,0
2015-07-11,51,50,1,0
2015-07-12,31,27,4,0
2015-07-13,63,57,6,0
2015-07-14,53,53,0,0
2015-07-15,49,49,0,0
2015-07-16,90,88,2,0
2015-07-17,35,34,1,0
2015-07-18,50,44,6,0
2015-07-19,39,19,20,0
2015-07-20,104,99,5,0
2015-07-21,44,44,0,0
2015-07-22,49,47,2,0
2015-07-23,68,65,3,0
2015-07-24,71,69,2,0
2015-07-25,42,40,2,0
2015-07-26,284,282,2,0
2015-07-27,178,178,0,0
2015-07-28,41,37,4,0
2015-07-29,107,102,5,0
2015-07-30,90,78,12,0
2015-07-31,46,46,0,0
2015-08-01,73,42,31,0
2015-08-02,80,77,3,0
2015-08-03,80,79,1,0
2015-08-04,470,466,4,0
2015-08-05,37,32,5,0
2015-08-06,76,70,6,0
2015-08-07,75,73,2,0
2015-08-08,7,4,3,0
2015-08-09,98,94,4,0
2015-08-10,48,46,2,0
2015-08-11,20,14,6,0
2015-08-12,56,52,4,0
2015-08-13,70,68,2,0
2015-08-14,49,48,1,0
2015-08-15,53,49,4,0
2015-08-16,68,68,0,0
2015-08-17,28,28,0,0
2015-08-18,46,46,0,0
2015-08-19,21,19,2,0
2015-08-20,18,16,2,0
2015-08-21,72,72,0,0
2015-08-22,32,31,1,0
2015-08-23,71,68,3,0
