Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,378,310,68,0
2015-05-02,289,196,93,0
2015-05-03,314,217,97,0
2015-05-04,600,488,112,0
2015-05-05,245,179,66,0
2015-05-06,362,305,57,0
2015-05-07,272,197,75,0
2015-05-08,343,285,58,0
2015-05-09,183,159,24,0
2015-05-10,229,182,47,0
2015-05-11,318,246,72,0
2015-05-12,240,140,100,0
2015-05-13,297,218,79,0
2015-05-14,178,117,61,0
2015-05-15,356,289,67,0
2015-05-16,253,167,86,0
2015-05-17,236,173,63,0
2015-05-18,211,140,71,0
2015-05-19,335,245,90,0
2015-05-20,295,205,90,0
2015-05-21,282,190,92,0
2015-05-22,301,241,60,0
2015-05-23,279,213,66,0
2015-05-24,267,196,71,0
2015-05-25,319,241,78,0
2015-05-26,285,191,94,0
2015-05-27,240,165,75,0
2015-05-28,337,285,52,0
2015-05-29,486,412,74,0
2015-05-30,320,274,46,0
2015-05-31,434,392,42,0
2015-06-01,446,346,100,0
2015-06-02,422,295,127,0
2015-06-03,427,323,104,0
2015-06-04,519,395,124,0
2015-06-05,642,517,125,0
2015-06-06,808,649,159,0
2015-06-07,645,555,90,0
2015-06-08,553,413,140,0
2015-06-09,791,636,155,0
2015-06-10,716,531,185,0
2015-06-11,581,394,187,0
2015-06-12,597,398,199,0
2015-06-13,434,279,155,0
2015-06-14,589,441,148,0
2015-06-15,479,274,205,0
2015-06-16,456,249,207,0
2015-06-17,157,74,83,0
2015-06-18,132,68,64,0
2015-06-19,343,278,65,0
2015-06-20,236,175,61,0
2015-06-21,117,59,58,0
2015-06-22,207,128,79,0
2015-06-23,149,95,54,0
2015-06-24,126,84,42,0
2015-06-25,132,99,33,0
2015-06-26,143,109,34,0
2015-06-27,133,99,34,0
2015-06-28,207,164,43,0
2015-06-29,249,221,28,0
2015-06-30,125,102,23,0
2015-07-01,137,110,27,0
2015-07-02,147,115,32,0
2015-07-03,93,76,17,0
2015-07-04,141,112,29,0
2015-07-05,145,124,21,0
2015-07-06,146,133,13,0
2015-07-07,137,108,29,0
2015-07-08,149,133,16,0
2015-07-09,135,120,15,0
2015-07-10,148,118,30,0
2015-07-11,89,71,18,0
2015-07-12,81,61,20,0
2015-07-13,170,148,22,0
2015-07-14,260,245,15,0
2015-07-15,205,170,35,0
2015-07-16,175,167,8,0
2015-07-17,125,113,12,0
2015-07-18,217,195,22,0
2015-07-19,143,89,54,0
2015-07-20,127,103,24,0
2015-07-21,113,95,18,0
2015-07-22,169,151,18,0
2015-07-23,123,98,25,0
2015-07-24,111,92,19,0
2015-07-25,75,58,17,0
2015-07-26,169,153,16,0
2015-07-27,84,64,20,0
2015-07-28,153,129,24,0
2015-07-29,433,379,54,0
2015-07-30,176,155,21,0
2015-07-31,188,168,20,0
2015-08-01,309,281,28,0
2015-08-02,170,156,14,0
2015-08-03,340,324,16,0
2015-08-04,143,122,21,0
2015-08-05,168,149,19,0
2015-08-06,180,146,34,0
2015-08-07,159,133,26,0
2015-08-08,102,72,30,0
2015-08-09,187,159,28,0
2015-08-10,420,386,34,0
2015-08-11,113,89,24,0
2015-08-12,122,93,29,0
2015-08-13,90,77,13,0
2015-08-14,214,195,19,0
2015-08-15,103,91,12,0
2015-08-16,185,175,10,0
