Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,8152,7427,719,6
2015-05-02,10880,10241,630,9
2015-05-03,16000,15556,428,16
2015-05-04,9867,9263,593,11
2015-05-05,5891,5645,240,6
2015-05-06,6086,5883,190,13
2015-05-07,15442,15133,306,3
2015-05-08,16214,15797,412,5
2015-05-09,21710,21131,561,18
2015-05-10,7702,7520,167,15
2015-05-11,7520,7310,206,4
2015-05-12,7173,6650,518,5
2015-05-13,8765,8252,508,5
2015-05-14,10107,9653,453,1
2015-05-15,16362,16208,148,6
2015-05-16,7285,6989,287,9
2015-05-17,7279,7069,205,5
2015-05-18,8098,7756,337,5
2015-05-19,7201,6839,340,22
2015-05-20,6775,6449,319,7
2015-05-21,18939,18255,669,15
2015-05-22,6592,6180,406,6
2015-05-23,7643,7244,394,5
2015-05-24,6030,5754,257,19
2015-05-25,7510,7180,323,7
2015-05-26,9684,9350,332,2
2015-05-27,7987,7682,301,4
2015-05-28,7347,7042,298,7
2015-05-29,11199,10875,307,17
2015-05-30,10626,10291,331,4
2015-05-31,8882,8550,323,9
2015-06-01,6665,6192,473,0
2015-06-02,9008,8588,418,2
2015-06-03,10954,10625,327,2
2015-06-04,7916,7462,454,0
2015-06-05,8450,8191,254,5
2015-06-06,6246,5714,527,5
2015-06-07,6782,6487,293,2
2015-06-08,9596,9223,372,1
2015-06-09,8006,7583,421,2
2015-06-10,8444,8005,439,0
2015-06-11,20453,19754,697,2
2015-06-12,8067,7648,415,4
2015-06-13,8627,8167,459,1
2015-06-14,7822,7580,242,0
2015-06-15,10253,9767,477,9
2015-06-16,9165,8824,338,3
2015-06-17,17929,17858,70,1
2015-06-18,8329,8082,246,1
2015-06-19,8230,8118,112,0
2015-06-20,6193,5975,216,2
2015-06-21,6726,6612,113,1
2015-06-22,7505,7390,114,1
2015-06-23,7676,7504,168,4
2015-06-24,6461,6344,116,1
2015-06-25,10152,9906,246,0
2015-06-26,10071,9905,164,2
2015-06-27,9080,8736,341,3
2015-06-28,10296,10123,171,2
2015-06-29,12572,12367,201,4
2015-06-30,8685,8485,198,2
2015-07-01,7382,7284,97,1
2015-07-02,18040,17746,293,1
2015-07-03,6451,6335,111,5
2015-07-04,8387,8068,317,2
2015-07-05,12811,12475,336,0
2015-07-06,21662,21227,430,5
2015-07-07,17739,17352,379,8
2015-07-08,10567,10374,190,3
2015-07-09,7687,7570,113,4
2015-07-10,11297,11170,104,23
2015-07-11,6026,5926,72,28
2015-07-12,13585,13396,187,2
2015-07-13,6460,6261,193,6
2015-07-14,5167,5057,106,4
2015-07-15,8989,8871,115,3
2015-07-16,7814,7687,124,3
2015-07-17,5141,5002,133,6
2015-07-18,7606,7525,80,1
2015-07-19,20342,20187,148,7
2015-07-20,7527,7407,119,1
2015-07-21,5376,5263,108,5
2015-07-22,6549,6293,236,20
2015-07-23,10538,9895,642,1
2015-07-24,9845,9674,152,19
2015-07-25,6874,6758,111,5
2015-07-26,5990,5804,183,3
2015-07-27,7126,6822,297,7
2015-07-28,10918,10699,216,3
2015-07-29,10380,10101,276,3
2015-07-30,6552,6350,201,1
2015-07-31,7371,7117,244,10
2015-08-01,9161,8876,283,2
2015-08-02,7218,7061,150,7
2015-08-03,6243,6106,134,3
2015-08-04,8996,8793,200,3
2015-08-05,8015,7767,240,8
2015-08-06,6907,6709,192,6
2015-08-07,10968,10768,199,1
2015-08-08,6644,6497,135,12
2015-08-09,7048,6833,202,13
2015-08-10,8269,7990,277,2
2015-08-11,7523,7293,229,1
2015-08-12,6354,6185,166,3
2015-08-13,5713,5451,257,5
2015-08-14,5314,5135,177,2
2015-08-15,7914,7705,202,7
2015-08-16,9354,9023,329,2
2015-08-17,7279,6997,277,5
2015-08-18,9957,9536,418,3
2015-08-19,9723,9429,293,1
2015-08-20,11490,11128,354,8
2015-08-21,13413,13057,350,6
2015-08-22,19628,18623,1002,3
2015-08-23,10219,9030,1185,4
2015-08-24,11890,10392,1493,5
2015-08-25,11584,10283,1292,9
2015-08-26,10028,9524,490,14
2015-08-27,9338,9046,291,1
2015-08-28,11128,10795,332,1
2015-08-29,7897,7460,427,10
2015-08-30,8008,7634,368,6
2015-08-31,6986,6583,400,3
2015-09-01,5776,5394,363,19
2015-09-02,35863,35452,402,9
2015-09-03,8940,8544,391,5
2015-09-04,12132,10968,1144,20
