Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,10191,6956,3235,0
2015-05-02,10465,6819,3646,0
2015-05-03,9867,6225,3642,0
2015-05-04,11519,8039,3480,0
2015-05-05,9232,6186,3046,0
2015-05-06,8519,5606,2913,0
2015-05-07,7278,4547,2731,0
2015-05-08,7790,4987,2803,0
2015-05-09,8688,5552,3136,0
2015-05-10,8309,5175,3134,0
2015-05-11,9672,6752,2920,0
2015-05-12,7676,4821,2855,0
2015-05-13,7474,4557,2917,0
2015-05-14,6617,4146,2471,0
2015-05-15,6259,3727,2532,0
2015-05-16,6916,4173,2743,0
2015-05-17,6789,4193,2596,0
2015-05-18,7046,4209,2837,0
2015-05-19,6480,3923,2557,0
2015-05-20,6667,3916,2751,0
2015-05-21,6277,3873,2404,0
2015-05-22,5945,3413,2532,0
2015-05-23,6299,3696,2603,0
2015-05-24,6201,3571,2630,0
2015-05-25,6542,3854,2688,0
2015-05-26,6681,3868,2813,0
2015-05-27,6126,3761,2365,0
2015-05-28,5555,3496,2059,0
2015-05-29,7662,5448,2214,0
2015-05-30,5941,3728,2213,0
2015-05-31,6268,3817,2451,0
2015-06-01,6254,3814,2440,0
2015-06-02,5543,3130,2413,0
2015-06-03,5867,3580,2287,0
2015-06-04,6429,4074,2355,0
2015-06-05,9317,7052,2265,0
2015-06-06,5806,3042,2764,0
2015-06-07,5384,3010,2374,0
2015-06-08,5394,3143,2251,0
2015-06-09,6127,3850,2277,0
2015-06-10,6494,4337,2157,0
2015-06-11,5536,3592,1944,0
2015-06-12,5114,3159,1955,0
2015-06-13,4558,2485,2073,0
2015-06-14,4668,2664,2004,0
2015-06-15,4418,2536,1882,0
2015-06-16,11688,9943,1745,0
2015-06-17,3842,2308,1534,0
2015-06-18,3983,2225,1758,0
2015-06-19,3572,1881,1691,0
2015-06-20,4087,2142,1945,0
2015-06-21,4504,2478,2026,0
2015-06-22,6126,4156,1970,0
2015-06-23,4470,2183,2287,0
2015-06-24,4340,2380,1960,0
2015-06-25,4357,2426,1931,0
2015-06-26,4020,2090,1930,0
2015-06-27,4267,2302,1965,0
2015-06-28,4850,2973,1877,0
2015-06-29,4088,2182,1906,0
2015-06-30,4664,2416,2248,0
2015-07-01,4751,2764,1987,0
2015-07-02,4155,2239,1916,0
2015-07-03,4433,2533,1900,0
2015-07-04,4460,2436,2024,0
2015-07-05,4431,2598,1833,0
2015-07-06,4343,2393,1950,0
2015-07-07,3916,2111,1805,0
2015-07-08,3899,2110,1789,0
2015-07-09,4197,2209,1988,0
2015-07-10,4298,2655,1643,0
2015-07-11,3786,2032,1754,0
2015-07-12,4001,2017,1984,0
2015-07-13,4012,2094,1918,0
2015-07-14,6562,3571,2991,0
2015-07-15,4312,2444,1868,0
2015-07-16,3641,2091,1550,0
2015-07-17,3099,1826,1273,0
2015-07-18,2861,1397,1464,0
2015-07-19,3471,1560,1911,0
2015-07-20,3925,2262,1663,0
2015-07-21,3773,2197,1576,0
2015-07-22,5355,3639,1716,0
2015-07-23,3825,2147,1678,0
2015-07-24,4057,2019,2038,0
2015-07-25,4223,2395,1828,0
2015-07-26,3841,2104,1737,0
