Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2873,2682,176,15
2015-05-02,3535,3308,211,16
2015-05-03,8312,7361,940,11
2015-05-04,4859,4623,230,6
2015-05-05,2325,2170,150,5
2015-05-06,2088,1930,151,7
2015-05-07,5007,4799,199,9
2015-05-08,2733,2472,256,5
2015-05-09,4466,4215,232,19
2015-05-10,3183,2968,209,6
2015-05-11,2547,2266,274,7
2015-05-12,2231,2110,113,8
2015-05-13,3346,2832,511,3
2015-05-14,3327,2980,331,16
2015-05-15,4868,4680,181,7
2015-05-16,2846,2696,145,5
2015-05-17,2805,2599,196,10
2015-05-18,3033,2882,148,3
2015-05-19,3946,3291,652,3
2015-05-20,2583,2399,174,10
2015-05-21,4905,4655,242,8
2015-05-22,2998,2761,234,3
2015-05-23,2753,2506,235,12
2015-05-24,2398,2169,213,16
2015-05-25,3376,2977,376,23
2015-05-26,3704,3461,242,1
2015-05-27,3543,3356,172,15
2015-05-28,3522,3248,272,2
2015-05-29,5196,4887,302,7
2015-05-30,4049,3764,282,3
2015-05-31,3092,2793,296,3
2015-06-01,3548,3247,292,9
2015-06-02,3702,3347,349,6
2015-06-03,3373,3039,323,11
2015-06-04,3582,3130,438,14
2015-06-05,3898,3614,278,6
2015-06-06,3095,2713,382,0
2015-06-07,2580,2317,259,4
2015-06-08,3910,3568,327,15
2015-06-09,2660,2407,236,17
2015-06-10,3327,3030,295,2
2015-06-11,3413,3084,319,10
2015-06-12,3809,3561,239,9
2015-06-13,3487,3155,328,4
2015-06-14,2922,2645,269,8
2015-06-15,3045,2835,206,4
2015-06-16,2671,2509,161,1
2015-06-17,6895,6721,161,13
2015-06-18,2237,2090,138,9
2015-06-19,2450,2346,98,6
2015-06-20,2042,1916,119,7
2015-06-21,2682,2561,115,6
2015-06-22,2263,2152,109,2
2015-06-23,2076,1938,128,10
2015-06-24,2194,2104,84,6
2015-06-25,2721,2588,130,3
2015-06-26,3065,2925,140,0
2015-06-27,3606,3307,298,1
2015-06-28,2715,2597,115,3
2015-06-29,3820,3674,141,5
2015-06-30,2379,2261,95,23
2015-07-01,2556,2430,120,6
2015-07-02,2502,2252,246,4
2015-07-03,2378,2248,122,8
2015-07-04,2292,2197,94,1
2015-07-05,4227,3974,250,3
2015-07-06,7330,6881,446,3
2015-07-07,5808,5453,349,6
2015-07-08,3132,2965,160,7
2015-07-09,2196,2080,98,18
2015-07-10,2715,2607,100,8
2015-07-11,2445,2358,73,14
2015-07-12,1523,1440,75,8
2015-07-13,1568,1504,59,5
2015-07-14,1699,1613,82,4
2015-07-15,1999,1871,127,1
2015-07-16,1736,1541,191,4
2015-07-17,4251,1220,3028,3
2015-07-18,1480,1355,125,0
2015-07-19,3814,1564,2241,9
2015-07-20,2622,2454,162,6
2015-07-21,1770,1690,78,2
2015-07-22,1449,1315,132,2
2015-07-23,1762,1428,330,4
2015-07-24,1620,1543,68,9
2015-07-25,1494,1429,59,6
2015-07-26,1373,1291,81,1
2015-07-27,1916,1788,127,1
2015-07-28,3156,2728,428,0
2015-07-29,3471,3194,273,4
2015-07-30,3294,3014,274,6
2015-07-31,2182,2000,182,0
2015-08-01,3117,2900,209,8
2015-08-02,2559,2443,108,8
2015-08-03,1587,1490,94,3
2015-08-04,4372,4210,152,10
2015-08-05,3460,3328,129,3
2015-08-06,2241,2088,151,2
2015-08-07,3871,3691,175,5
2015-08-08,1752,1649,99,4
2015-08-09,2572,2405,156,11
2015-08-10,2556,2411,140,5
2015-08-11,1989,1876,109,4
2015-08-12,1834,1718,110,6
2015-08-13,1782,1644,134,4
2015-08-14,1579,1513,66,0
2015-08-15,2026,1903,118,5
2015-08-16,2306,2188,116,2
2015-08-17,1734,1588,138,8
2015-08-18,2820,2635,177,8
2015-08-19,2983,2733,242,8
2015-08-20,2943,2664,273,6
2015-08-21,2825,2696,128,1
2015-08-22,2417,2097,317,3
2015-08-23,2439,2156,279,4
2015-08-24,4998,4544,453,1
2015-08-25,3278,2995,268,15
2015-08-26,3364,2586,762,16
2015-08-27,3051,2899,144,8
2015-08-28,2558,2455,93,10
