Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,4985,4723,255,7
2015-05-02,10747,8333,2406,8
2015-05-03,6097,5636,457,4
2015-05-04,5034,4747,274,13
2015-05-05,2879,2623,247,9
2015-05-06,2538,2338,199,1
2015-05-07,8931,8407,521,3
2015-05-08,6196,4014,2175,7
2015-05-09,5853,5558,287,8
2015-05-10,3425,3082,333,10
2015-05-11,3249,3030,216,3
2015-05-12,2608,2382,219,7
2015-05-13,4052,3312,735,5
2015-05-14,3519,3307,189,23
2015-05-15,6641,6441,198,2
2015-05-16,3137,2948,187,2
2015-05-17,3164,2862,278,24
2015-05-18,3536,3347,180,9
2015-05-19,3330,3095,232,3
2015-05-20,2867,2673,190,4
2015-05-21,7319,7070,244,5
2015-05-22,3252,2955,283,14
2015-05-23,3221,2901,312,8
2015-05-24,3182,2711,447,24
2015-05-25,4507,4167,337,3
2015-05-26,3863,3596,254,13
2015-05-27,4004,3746,247,11
2015-05-28,3700,3422,270,8
2015-05-29,4330,3866,453,11
2015-05-30,5790,5323,464,3
2015-05-31,3526,3202,315,9
2015-06-01,2982,2641,338,3
2015-06-02,3194,2913,274,7
2015-06-03,3596,3306,283,7
2015-06-04,4697,4134,558,5
2015-06-05,3389,3041,346,2
2015-06-06,2965,2610,350,5
2015-06-07,3188,2720,464,4
2015-06-08,4278,4003,268,7
2015-06-09,3587,3344,223,20
2015-06-10,4439,4139,299,1
2015-06-11,5087,4720,327,40
2015-06-12,3687,3448,226,13
2015-06-13,3960,3630,324,6
2015-06-14,3346,3062,281,3
2015-06-15,3494,3182,300,12
2015-06-16,4312,3966,345,1
2015-06-17,9640,9218,414,8
2015-06-18,5010,4533,475,2
2015-06-19,3115,2745,367,3
2015-06-20,3470,2876,584,10
2015-06-21,4114,3813,299,2
2015-06-22,5294,4707,586,1
2015-06-23,4847,4207,630,10
2015-06-24,5034,4396,626,12
2015-06-25,8972,8583,388,1
2015-06-26,10625,10134,476,15
2015-06-27,13951,13538,393,20
2015-06-28,12946,12539,404,3
2015-06-29,19559,19368,176,15
2015-06-30,13613,13425,175,13
2015-07-01,16977,16795,175,7
2015-07-02,6010,5755,251,4
2015-07-03,10173,9861,300,12
2015-07-04,4092,3868,218,6
2015-07-05,9783,9160,608,15
2015-07-06,12538,11443,1090,5
2015-07-07,5875,5496,368,11
2015-07-08,5131,4518,607,6
2015-07-09,2122,1940,174,8
2015-07-10,3402,3204,178,20
2015-07-11,2222,1955,242,25
2015-07-12,5294,4166,1101,27
2015-07-13,2285,2110,169,6
2015-07-14,2515,2318,182,15
2015-07-15,2855,2538,307,10
2015-07-16,2618,2343,270,5
2015-07-17,2584,2328,252,4
2015-07-18,3464,2054,1405,5
2015-07-19,8028,2877,5141,10
2015-07-20,3647,3261,376,10
2015-07-21,2182,1975,200,7
2015-07-22,1903,1689,202,12
2015-07-23,2764,2340,417,7
2015-07-24,2058,1819,233,6
2015-07-25,1585,1423,154,8
2015-07-26,1760,1589,158,13
2015-07-27,2746,2396,336,14
2015-07-28,2955,2701,243,11
2015-07-29,3993,3708,280,5
2015-07-30,3209,2901,286,22
2015-07-31,2427,2205,219,3
2015-08-01,2995,2690,295,10
2015-08-02,2502,2147,346,9
2015-08-03,2648,2464,179,5
2015-08-04,4661,4421,230,10
2015-08-05,3592,3375,204,13
2015-08-06,3002,2653,341,8
2015-08-07,3310,3001,303,6
2015-08-08,2063,1854,195,14
2015-08-09,2574,2275,292,7
2015-08-10,2655,2405,247,3
2015-08-11,3422,3172,245,5
2015-08-12,2194,1961,229,4
2015-08-13,2177,1952,225,0
2015-08-14,1903,1665,229,9
2015-08-15,3406,2970,421,15
2015-08-16,2815,2376,428,11
2015-08-17,2552,2019,520,13
2015-08-18,3940,3035,904,1
