Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,80652,79775,877,0
2015-05-02,79252,78437,815,0
2015-05-03,83580,82401,1179,0
2015-05-04,83965,83335,630,0
2015-05-05,81132,80465,667,0
2015-05-06,82230,81599,631,0
2015-05-07,78972,78394,578,0
2015-05-08,80690,80062,628,0
2015-05-09,83405,82644,761,0
2015-05-10,83112,82285,827,0
2015-05-11,81587,80909,678,0
2015-05-12,83059,82428,631,0
2015-05-13,80456,79856,600,0
2015-05-14,81610,80906,704,0
2015-05-15,79309,78714,595,0
2015-05-16,75829,74529,1300,0
2015-05-17,82253,80939,1314,0
2015-05-18,80320,79261,1059,0
2015-05-19,79772,78702,1070,0
2015-05-20,81960,80862,1098,0
2015-05-21,81520,80605,915,0
2015-05-22,80654,79521,1133,0
2015-05-23,80275,79153,1122,0
2015-05-24,80168,79170,998,0
2015-05-25,81001,79943,1058,0
2015-05-26,82103,81395,708,0
2015-05-27,79301,78598,703,0
2015-05-28,81864,80815,1049,0
2015-05-29,84836,83996,840,0
2015-05-30,80235,79297,938,0
2015-05-31,79412,78311,1101,0
2015-06-01,80339,79482,857,0
2015-06-02,75899,74758,1141,0
2015-06-03,79445,78385,1060,0
2015-06-04,36544,35705,839,0
2015-06-05,6034,5107,927,0
2015-06-06,5460,4675,785,0
2015-06-07,33911,32927,984,0
2015-06-08,78751,78046,705,0
2015-06-09,81571,80830,741,0
2015-06-10,81445,80755,690,0
2015-06-11,83298,82541,757,0
2015-06-12,77949,77296,653,0
2015-06-13,80860,79993,867,0
2015-06-14,83123,81771,1352,0
2015-06-15,84028,83240,788,0
2015-06-16,77868,77095,773,0
2015-06-17,82405,81646,759,0
2015-06-18,6784,6125,659,0
2015-06-19,67039,66252,787,0
2015-06-20,79126,78258,868,0
2015-06-21,81198,80214,984,0
2015-06-22,77070,76349,721,0
2015-06-23,81376,80693,683,0
2015-06-24,80993,80265,728,0
2015-06-25,81137,80467,670,0
2015-06-26,80103,79395,708,0
2015-06-27,77434,76719,715,0
2015-06-28,79929,79005,924,0
2015-06-29,81524,80786,738,0
2015-06-30,78678,78119,559,0
2015-07-01,81935,81346,589,0
2015-07-02,93383,92510,873,0
2015-07-03,80526,79914,612,0
2015-07-04,78195,77510,685,0
2015-07-05,80819,80058,761,0
2015-07-06,78645,77997,648,0
2015-07-07,81378,80855,523,0
2015-07-08,80857,80374,483,0
2015-07-09,70153,69628,525,0
2015-07-10,64539,63646,893,0
2015-07-11,82524,80254,2270,0
