Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,7141,6409,725,7
2015-05-02,4389,4168,205,16
2015-05-03,5924,5602,317,5
2015-05-04,5700,5453,233,14
2015-05-05,3592,3351,229,12
2015-05-06,2860,2684,171,5
2015-05-07,5517,5249,251,17
2015-05-08,7375,6310,1052,13
2015-05-09,4661,4399,258,4
2015-05-10,3148,2942,195,11
2015-05-11,3307,3107,199,1
2015-05-12,3413,3219,179,15
2015-05-13,4223,3611,599,13
2015-05-14,4418,3915,483,20
2015-05-15,5559,5317,227,15
2015-05-16,3105,2931,168,6
2015-05-17,3186,2992,181,13
2015-05-18,3732,3550,175,7
2015-05-19,3984,3779,201,4
2015-05-20,3718,3502,202,14
2015-05-21,5900,5691,196,13
2015-05-22,3091,2846,237,8
2015-05-23,2760,2583,162,15
2015-05-24,3503,3290,202,11
2015-05-25,3805,3555,241,9
2015-05-26,3583,3321,249,13
2015-05-27,3706,3473,212,21
2015-05-28,3770,3345,406,19
2015-05-29,4720,4518,185,17
2015-05-30,4940,4759,168,13
2015-05-31,3699,3516,180,3
2015-06-01,2867,2628,222,17
2015-06-02,3305,3072,226,7
2015-06-03,3348,3058,280,10
2015-06-04,4728,4301,426,1
2015-06-05,6423,6004,412,7
2015-06-06,3343,2960,375,8
2015-06-07,3684,3440,230,14
2015-06-08,3827,3621,194,12
2015-06-09,3612,3336,256,20
2015-06-10,4838,4590,242,6
2015-06-11,5816,5268,532,16
2015-06-12,4268,4023,243,2
2015-06-13,3935,3726,204,5
2015-06-14,2818,2563,254,1
2015-06-15,3568,3321,239,8
2015-06-16,3620,3386,230,4
2015-06-17,2583,2428,145,10
2015-06-18,5381,5213,159,9
2015-06-19,2656,2507,140,9
2015-06-20,1916,1762,147,7
2015-06-21,2322,2183,134,5
2015-06-22,2383,2243,124,16
2015-06-23,2466,2334,125,7
2015-06-24,2367,2238,125,4
2015-06-25,4056,3804,245,7
2015-06-26,3154,3017,128,9
2015-06-27,2997,2807,179,11
2015-06-28,2625,2493,118,14
2015-06-29,3617,3460,147,10
2015-06-30,2714,2603,103,8
2015-07-01,2887,2761,107,19
2015-07-02,2414,2143,267,4
2015-07-03,3138,2899,228,11
2015-07-04,2488,2268,214,6
2015-07-05,3689,3389,290,10
2015-07-06,8966,8144,816,6
2015-07-07,7317,6800,510,7
2015-07-08,3198,2997,192,9
2015-07-09,2582,2379,201,2
2015-07-10,3033,2895,133,5
2015-07-11,1575,1423,141,11
2015-07-12,2129,2007,112,10
2015-07-13,1560,1419,141,0
2015-07-14,2072,1911,146,15
2015-07-15,2474,2319,147,8
2015-07-16,2058,1882,168,8
2015-07-17,1445,1303,135,7
2015-07-18,1610,1494,111,5
2015-07-19,4721,1990,2721,10
2015-07-20,2302,2162,135,5
2015-07-21,2086,1919,156,11
2015-07-22,1935,1576,349,10
2015-07-23,3570,1742,1815,13
2015-07-24,1882,1752,120,10
2015-07-25,1819,1725,84,10
2015-07-26,1781,1571,202,8
2015-07-27,3603,3383,214,6
2015-07-28,2870,2630,234,6
2015-07-29,3333,3056,237,40
2015-07-30,2390,2089,277,24
2015-07-31,3383,3141,236,6
2015-08-01,2747,2513,230,4
2015-08-02,3377,3208,158,11
2015-08-03,1646,1492,141,13
2015-08-04,4317,4157,156,4
2015-08-05,4315,4095,208,12
2015-08-06,3200,2907,276,17
2015-08-07,2939,2684,228,27
2015-08-08,2248,2041,193,14
2015-08-09,2688,2508,174,6
2015-08-10,3398,3194,199,5
2015-08-11,1955,1784,163,8
2015-08-12,2545,1746,785,14
2015-08-13,2161,1974,171,16
2015-08-14,1818,1604,202,12
2015-08-15,1873,1592,271,10
2015-08-16,2887,2576,301,10
2015-08-17,2465,2171,279,15
2015-08-18,3588,3256,322,10
2015-08-19,4558,4159,390,9
2015-08-20,3357,3071,281,5
2015-08-21,3126,2847,251,28
