Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,1039,789,250,0
2015-05-02,1204,936,268,0
2015-05-03,1634,1250,384,0
2015-05-04,1182,957,225,0
2015-05-05,1581,1301,280,0
2015-05-06,1363,1189,174,0
2015-05-07,3827,3499,328,0
2015-05-08,4346,4008,338,0
2015-05-09,3802,3421,381,0
2015-05-10,1624,1388,236,0
2015-05-11,1329,1064,265,0
2015-05-12,23275,21362,1913,0
2015-05-13,8151,7052,1099,0
2015-05-14,1192,937,255,0
2015-05-15,1394,1214,180,0
2015-05-16,969,709,260,0
2015-05-17,1462,1214,248,0
2015-05-18,1265,1052,213,0
2015-05-19,1219,984,235,0
2015-05-20,1393,1067,326,0
2015-05-21,1277,1024,253,0
2015-05-22,1140,887,253,0
2015-05-23,1329,948,381,0
2015-05-24,1261,934,327,0
2015-05-25,1208,974,234,0
2015-05-26,1189,920,269,0
2015-05-27,1124,894,230,0
2015-05-28,1640,1425,215,0
2015-05-29,1255,1021,234,0
2015-05-30,947,734,213,0
2015-05-31,1135,837,298,0
2015-06-01,1392,1078,314,0
2015-06-02,1289,1061,228,0
2015-06-03,1156,919,237,0
2015-06-04,1299,1074,225,0
2015-06-05,1291,1080,211,0
2015-06-06,1943,1608,335,0
2015-06-07,1526,1248,278,0
2015-06-08,1466,1249,217,0
2015-06-09,1321,1101,220,0
2015-06-10,1682,1452,230,0
2015-06-11,1331,1020,311,0
2015-06-12,1275,1107,168,0
2015-06-13,817,618,199,0
2015-06-14,880,534,346,0
2015-06-15,1065,867,198,0
2015-06-16,785,584,201,0
2015-06-17,922,693,229,0
2015-06-18,789,566,223,0
2015-06-19,768,546,222,0
2015-06-20,663,352,311,0
2015-06-21,1144,846,298,0
2015-06-22,965,593,372,0
2015-06-23,790,488,302,0
2015-06-24,794,522,272,0
2015-06-25,1706,1284,422,0
2015-06-26,1108,789,319,0
2015-06-27,798,636,162,0
2015-06-28,986,769,217,0
2015-06-29,929,712,217,0
2015-06-30,1096,844,252,0
2015-07-01,704,557,147,0
2015-07-02,1112,874,238,0
2015-07-03,1168,971,197,0
2015-07-04,2131,1706,425,0
2015-07-05,1270,1012,258,0
2015-07-06,1135,903,232,0
2015-07-07,934,727,207,0
2015-07-08,1193,770,423,0
2015-07-09,874,663,211,0
2015-07-10,747,560,187,0
2015-07-11,547,325,222,0
2015-07-12,1215,847,368,0
2015-07-13,981,584,397,0
2015-07-14,670,462,208,0
2015-07-15,952,641,311,0
2015-07-16,971,738,233,0
2015-07-17,937,670,267,0
2015-07-18,1368,721,647,0
2015-07-19,1417,610,807,0
2015-07-20,1149,819,330,0
2015-07-21,1177,852,325,0
2015-07-22,1002,761,241,0
2015-07-23,1322,997,325,0
2015-07-24,883,605,278,0
2015-07-25,975,734,241,0
2015-07-26,873,606,267,0
2015-07-27,827,585,242,0
2015-07-28,1141,708,433,0
2015-07-29,1244,988,256,0
2015-07-30,954,748,206,0
2015-07-31,1094,708,386,0
2015-08-01,977,648,329,0
2015-08-02,1358,1080,278,0
2015-08-03,698,481,217,0
2015-08-04,1202,863,339,0
2015-08-05,775,480,295,0
2015-08-06,1208,676,532,0
2015-08-07,1423,1040,383,0
2015-08-08,911,665,246,0
2015-08-09,741,446,295,0
2015-08-10,1508,1151,357,0
2015-08-11,1062,810,252,0
2015-08-12,818,505,313,0
2015-08-13,1313,870,443,0
2015-08-14,792,551,241,0
2015-08-15,1275,860,415,0
2015-08-16,743,480,263,0
2015-08-17,933,677,256,0
2015-08-18,905,657,248,0
2015-08-19,773,460,313,0
2015-08-20,924,615,309,0
2015-08-21,969,640,329,0
2015-08-22,6695,5690,1005,0
2015-08-23,1409,951,458,0
2015-08-24,1117,824,293,0
2015-08-25,833,533,300,0
2015-08-26,710,460,250,0
2015-08-27,1040,698,342,0
2015-08-28,1063,798,265,0
2015-08-29,704,403,301,0
2015-08-30,669,362,307,0
2015-08-31,707,510,197,0
2015-09-01,874,642,232,0
2015-09-02,965,691,274,0
2015-09-03,1366,1016,350,0
2015-09-04,1321,1034,287,0
2015-09-05,1396,901,495,0
2015-09-06,1106,730,376,0
2015-09-07,966,763,203,0
2015-09-08,952,715,237,0
2015-09-09,825,577,248,0
2015-09-10,943,703,240,0
2015-09-11,866,674,192,0
2015-09-12,781,526,255,0
2015-09-13,812,552,260,0
2015-09-14,978,832,146,0
2015-09-15,932,700,232,0
2015-09-16,951,718,233,0
2015-09-17,1058,777,281,0
2015-09-18,1310,1075,235,0
2015-09-19,1042,781,261,0
2015-09-20,1234,908,326,0
2015-09-21,1237,1026,211,0
2015-09-22,1186,982,204,0
2015-09-23,834,629,205,0
2015-09-24,1058,744,314,0
2015-09-25,838,644,194,0
2015-09-26,1384,1020,364,0
2015-09-27,1033,795,238,0
2015-09-28,1097,667,430,0
2015-09-29,979,767,212,0
2015-09-30,1378,1194,184,0
2015-10-01,1339,1131,208,0
2015-10-02,1513,1223,290,0
2015-10-03,1144,869,275,0
2015-10-04,1086,810,276,0
2015-10-05,936,696,240,0
2015-10-06,1181,899,282,0
2015-10-07,1099,839,260,0
2015-10-08,838,573,263,2
2015-10-09,1074,841,230,3
2015-10-10,1017,651,360,6
2015-10-11,976,702,273,1
2015-10-12,943,695,248,0
2015-10-13,1120,825,292,3
2015-10-14,1052,825,217,10
2015-10-15,822,581,237,4
2015-10-16,863,583,280,0
2015-10-17,797,577,219,1
2015-10-18,899,598,298,3
2015-10-19,966,696,269,1
2015-10-20,937,652,265,20
2015-10-21,1007,758,235,14
2015-10-22,1009,733,218,58
2015-10-23,974,731,243,0
2015-10-24,931,574,356,1
2015-10-25,859,580,278,1
2015-10-26,734,488,235,11
2015-10-27,609,424,185,0
2015-10-28,905,577,328,0
2015-10-29,854,625,228,1
2015-10-30,862,567,294,1
2015-10-31,615,377,237,1
2015-11-01,676,429,247,0
2015-11-02,877,663,205,9
2015-11-03,862,614,247,1
2015-11-04,1084,802,282,0
2015-11-05,919,692,225,2
2015-11-06,764,502,262,0
2015-11-07,878,538,327,13
2015-11-08,667,414,248,5
2015-11-09,961,667,294,0
2015-11-10,813,560,250,3
2015-11-11,838,595,242,1
2015-11-12,979,639,328,12
2015-11-13,704,457,231,16
2015-11-14,734,439,295,0
2015-11-15,976,631,336,9
2015-11-16,920,599,319,2
2015-11-17,898,545,295,58
2015-11-18,927,659,265,3
2015-11-19,825,582,233,10
2015-11-20,739,526,211,2
2015-11-21,637,332,305,0
2015-11-22,738,473,265,0
2015-11-23,771,564,207,0
2015-11-24,3372,2705,667,0
2015-11-25,793,559,233,1
2015-11-26,17820,14084,3715,21
2015-11-27,28042,25786,2253,3
2015-11-28,733,501,230,2
2015-11-29,763,558,200,5
2015-11-30,850,650,184,16
2015-12-01,771,558,210,3
2015-12-02,897,685,209,3
2015-12-03,675,468,200,7
2015-12-04,647,503,144,0
2015-12-05,745,478,267,0
2015-12-06,650,418,230,2
2015-12-07,754,559,194,1
2015-12-08,1102,760,342,0
2015-12-09,1102,893,207,2
2015-12-10,790,589,199,2
2015-12-11,1116,866,250,0
2015-12-12,581,384,197,0
2015-12-13,815,566,220,29
2015-12-14,1187,1021,165,1
2015-12-15,602,399,173,30
