Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2004,1814,176,14
2015-05-02,2179,1976,195,8
2015-05-03,2604,2393,194,17
2015-05-04,6509,6232,266,11
2015-05-05,2147,1928,206,13
2015-05-06,1499,1392,101,6
2015-05-07,2700,2546,133,21
2015-05-08,1974,1761,185,28
2015-05-09,2879,2610,254,15
2015-05-10,2097,1957,131,9
2015-05-11,1969,1833,130,6
2015-05-12,1802,1658,143,1
2015-05-13,2619,2154,458,7
2015-05-14,3340,2973,353,14
2015-05-15,3040,2932,104,4
2015-05-16,1863,1712,148,3
2015-05-17,1912,1781,118,13
2015-05-18,2931,2826,97,8
2015-05-19,3232,2872,346,14
2015-05-20,1735,1618,110,7
2015-05-21,3261,3132,124,5
2015-05-22,1835,1694,129,12
2015-05-23,1708,1571,129,8
2015-05-24,1413,1273,135,5
2015-05-25,2121,1971,140,10
2015-05-26,2365,2197,162,6
2015-05-27,2089,1907,175,7
2015-05-28,1856,1684,162,10
2015-05-29,2330,2057,250,23
2015-05-30,2720,2487,226,7
2015-05-31,2542,2291,231,20
2015-06-01,2209,1954,247,8
2015-06-02,2118,1753,359,6
2015-06-03,2051,1818,220,13
2015-06-04,2002,1755,240,7
2015-06-05,2314,2114,193,7
2015-06-06,1897,1644,243,10
2015-06-07,1552,1430,112,10
2015-06-08,2315,2091,218,6
2015-06-09,1877,1714,156,7
2015-06-10,2367,2201,156,10
2015-06-11,2789,2585,195,9
2015-06-12,3054,2868,179,7
2015-06-13,1886,1691,187,8
2015-06-14,1542,1407,129,6
2015-06-15,1653,1503,146,4
2015-06-16,2371,2071,287,13
2015-06-17,1327,1074,221,32
2015-06-18,3346,3219,122,5
2015-06-19,1505,1401,94,10
2015-06-20,1173,991,179,3
2015-06-21,1168,1064,99,5
2015-06-22,1408,1297,102,9
2015-06-23,1557,1493,58,6
2015-06-24,2032,1887,140,5
2015-06-25,2645,2482,158,5
2015-06-26,2039,1886,145,8
2015-06-27,1892,1709,181,2
2015-06-28,1763,1648,112,3
2015-06-29,2411,2134,263,14
2015-06-30,1683,1533,148,2
2015-07-01,1824,1544,266,14
2015-07-02,1620,1455,160,5
2015-07-03,2148,1981,158,9
2015-07-04,1527,1373,144,10
2015-07-05,1974,1771,192,11
2015-07-06,4958,4711,237,10
2015-07-07,3460,3266,190,4
2015-07-08,2026,1893,133,0
2015-07-09,3357,3256,96,5
2015-07-10,2256,2148,104,4
2015-07-11,2657,2514,132,11
2015-07-12,2204,2010,192,2
2015-07-13,1527,1405,111,11
2015-07-14,1483,1350,123,10
2015-07-15,1425,1319,100,6
2015-07-16,1583,1449,133,1
2015-07-17,1101,934,158,9
