Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,3623,2766,857,0
2015-05-02,3527,2678,849,0
2015-05-03,4878,3890,988,0
2015-05-04,5469,4138,1331,0
2015-05-05,4203,2826,1377,0
2015-05-06,4890,3143,1747,0
2015-05-07,6580,3720,2860,0
2015-05-08,5889,3697,2192,0
2015-05-09,4499,3097,1402,0
2015-05-10,5798,4435,1363,0
2015-05-11,6689,5169,1520,0
2015-05-12,4695,3197,1498,0
2015-05-13,5263,3902,1361,0
2015-05-14,4772,3618,1154,0
2015-05-15,4676,3692,984,0
2015-05-16,3343,2661,682,0
2015-05-17,3804,2777,1027,0
2015-05-18,5209,3731,1478,0
2015-05-19,7791,6192,1599,0
2015-05-20,5108,3310,1798,0
2015-05-21,5636,3770,1866,0
2015-05-22,5482,3758,1724,0
2015-05-23,6680,5218,1462,0
2015-05-24,10273,8276,1997,0
2015-05-25,8944,6294,2650,0
2015-05-26,7122,4871,2251,0
2015-05-27,9098,6495,2603,0
2015-05-28,9744,7649,2095,0
2015-05-29,5973,4223,1750,0
2015-05-30,5101,3748,1353,0
2015-05-31,6253,4278,1975,0
2015-06-01,5524,3827,1697,0
2015-06-02,5081,3354,1727,0
2015-06-03,6157,3820,2337,0
2015-06-04,4349,2490,1859,0
2015-06-05,4968,3483,1485,0
2015-06-06,4140,2977,1163,0
2015-06-07,3798,2800,998,0
2015-06-08,5097,3891,1206,0
2015-06-09,4769,3593,1176,0
2015-06-10,4376,3350,1026,0
2015-06-11,4314,3111,1203,0
2015-06-12,2869,1893,976,0
2015-06-13,2804,1772,1032,0
2015-06-14,3088,1876,1212,0
2015-06-15,3699,2309,1390,0
2015-06-16,4830,3770,1060,0
2015-06-17,3396,2459,937,0
2015-06-18,3655,2715,940,0
2015-06-19,2503,1457,1046,0
2015-06-20,2284,1012,1272,0
2015-06-21,3108,2295,813,0
2015-06-22,3553,2668,885,0
2015-06-23,2754,2047,707,0
2015-06-24,2758,2116,642,0
2015-06-25,2774,2121,653,0
2015-06-26,2269,1730,539,0
2015-06-27,2819,2279,540,0
2015-06-28,3102,2508,594,0
2015-06-29,2705,2187,518,0
2015-06-30,2697,2033,664,0
2015-07-01,3970,3351,619,0
2015-07-02,3826,3269,557,0
2015-07-03,5589,5076,513,0
2015-07-04,3116,2676,440,0
2015-07-05,3288,2730,558,0
2015-07-06,2732,2205,527,0
2015-07-07,2636,2182,454,0
2015-07-08,2323,1877,446,0
2015-07-09,2304,1841,463,0
2015-07-10,1906,1611,295,0
2015-07-11,1796,1269,527,0
2015-07-12,1420,1117,303,0
2015-07-13,1855,1486,369,0
2015-07-14,2186,1789,397,0
2015-07-15,1763,1452,311,0
2015-07-16,2717,1955,762,0
2015-07-17,1745,1443,302,0
2015-07-18,4702,4260,442,0
2015-07-19,2221,1238,983,0
2015-07-20,1968,1662,306,0
2015-07-21,1678,1088,590,0
2015-07-22,2442,2020,422,0
2015-07-23,1947,1574,373,0
2015-07-24,1949,1581,368,0
2015-07-25,2005,1636,369,0
2015-07-26,1725,1292,433,0
2015-07-27,2090,1592,498,0
2015-07-28,3233,2581,652,0
2015-07-29,3064,2390,674,0
2015-07-30,2600,1892,708,0
2015-07-31,2244,1619,625,0
2015-08-01,2160,1590,570,0
2015-08-02,4009,3325,684,0
2015-08-03,2831,1970,861,0
2015-08-04,3574,2341,1233,0
2015-08-05,3489,2250,1239,0
2015-08-06,3126,2016,1110,0
2015-08-07,3344,2276,1068,0
2015-08-08,2338,1416,922,0
2015-08-09,2909,1784,1125,0
2015-08-10,3436,1996,1440,0
2015-08-11,3509,2085,1424,0
2015-08-12,3248,1823,1425,0
2015-08-13,4041,2468,1573,0
2015-08-14,2823,1651,1172,0
2015-08-15,2930,1874,1056,0
2015-08-16,2426,1458,968,0
2015-08-17,3167,1711,1456,0
2015-08-18,3732,1913,1819,0
2015-08-19,4041,2192,1849,0
2015-08-20,3536,1884,1652,0
2015-08-21,3589,2109,1480,0
2015-08-22,2935,2071,864,0
2015-08-23,3114,1933,1181,0
2015-08-24,4094,2464,1630,0
2015-08-25,4191,2402,1789,0
2015-08-26,4496,2369,2127,0
2015-08-27,4803,2439,2364,0
2015-08-28,3212,1984,1228,0
2015-08-29,2483,1529,954,0
2015-08-30,3471,2112,1359,0
2015-08-31,3868,2253,1615,0
2015-09-01,4342,2372,1970,0
2015-09-02,4191,2244,1947,0
