Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,40241,34647,5571,23
2015-05-02,49135,42030,7039,66
2015-05-03,66177,58095,8059,23
2015-05-04,50465,43525,6904,36
2015-05-05,43309,36984,6309,16
2015-05-06,43225,36771,6434,20
2015-05-07,69467,63134,6306,27
2015-05-08,42466,36685,5743,38
2015-05-09,55907,50039,5850,18
2015-05-10,44908,37124,7755,29
2015-05-11,46674,38763,7884,27
2015-05-12,43317,35855,7440,22
2015-05-13,42565,35691,6851,23
2015-05-14,45864,38692,7144,28
2015-05-15,109589,103887,5676,26
2015-05-16,43710,38163,5513,34
2015-05-17,40828,33093,7710,25
2015-05-18,44593,37371,7192,30
2015-05-19,43575,36326,7219,30
2015-05-20,42842,36086,6711,45
2015-05-21,71463,64426,7009,28
2015-05-22,35286,29751,5501,34
2015-05-23,32601,26807,5766,28
2015-05-24,38445,31099,7325,21
2015-05-25,41447,34153,7262,32
2015-05-26,45365,38502,6843,20
2015-05-27,43792,37246,6509,37
2015-05-28,40688,34230,6424,34
2015-05-29,37728,32259,5440,29
2015-05-30,42458,35571,6866,21
2015-05-31,41281,34316,6929,36
2015-06-01,38479,32207,6227,45
2015-06-02,39104,33644,5445,15
2015-06-03,35590,30922,4622,46
2015-06-04,33831,28643,5154,34
2015-06-05,36544,31630,4899,15
2015-06-06,30604,25267,5306,31
2015-06-07,31769,26507,5243,19
2015-06-08,36735,32364,4353,18
2015-06-09,35636,31192,4430,14
2015-06-10,36997,32102,4873,22
2015-06-11,40934,35985,4929,20
2015-06-12,37984,33170,4789,25
2015-06-13,33060,28105,4919,36
2015-06-14,30449,25292,5141,16
2015-06-15,44959,39912,4985,62
2015-06-16,40007,35214,4744,49
2015-06-17,31652,25431,6173,48
2015-06-18,27533,22848,4643,42
2015-06-19,33056,27883,5153,20
2015-06-20,26571,21790,4764,17
2015-06-21,40847,35117,5702,28
2015-06-22,29971,25896,4042,33
2015-06-23,28231,24336,3885,10
2015-06-24,29245,25440,3796,9
2015-06-25,27799,23825,3965,9
2015-06-26,29293,25215,4065,13
2015-06-27,26802,21808,4950,44
2015-06-28,27832,22452,5353,27
2015-06-29,30765,26322,4403,40
2015-06-30,26528,22725,3775,28
2015-07-01,26163,22216,3924,23
2015-07-02,31561,25883,5647,31
2015-07-03,24663,20454,4184,25
2015-07-04,39469,34620,4824,25
2015-07-05,38699,32457,6206,36
2015-07-06,54252,48312,5927,13
2015-07-07,49876,44231,5627,18
2015-07-08,39315,34538,4758,19
2015-07-09,28571,24028,4513,30
2015-07-10,33283,28395,4865,23
2015-07-11,23553,18734,4803,16
2015-07-12,31944,24916,7013,15
2015-07-13,26118,21752,4338,28
2015-07-14,30440,25942,4481,17
2015-07-15,31435,26870,4540,25
2015-07-16,30613,25761,4835,17
2015-07-17,27256,21030,6201,25
2015-07-18,30387,22446,7918,23
2015-07-19,58983,20225,38734,24
2015-07-20,31393,24899,6476,18
2015-07-21,29050,20039,8980,31
2015-07-22,23816,17005,6776,35
2015-07-23,33093,26486,6586,21
2015-07-24,27844,22713,5114,17
2015-07-25,24937,19682,5223,32
2015-07-26,24721,19183,5522,16
2015-07-27,26384,21655,4708,21
2015-07-28,35751,30457,5270,24
2015-07-29,30930,25715,5184,31
2015-07-30,29782,23973,5753,56
2015-07-31,27181,21080,6077,24
2015-08-01,26711,20226,6448,37
2015-08-02,25860,19913,5928,19
2015-08-03,21206,16938,4256,12
2015-08-04,32353,27185,5156,12
2015-08-05,30018,25052,4941,25
2015-08-06,29744,24847,4880,17
2015-08-07,31380,25544,5796,40
2015-08-08,24505,19203,5273,29
2015-08-09,31492,25288,6162,42
2015-08-10,33864,28097,5693,74
2015-08-11,28084,23623,4426,35
2015-08-12,25648,20380,5243,25
2015-08-13,28470,24013,4432,25
2015-08-14,27989,23115,4855,19
2015-08-15,28071,22420,5621,30
2015-08-16,33900,27680,6204,16
2015-08-17,30144,25125,4986,33
2015-08-18,50937,44950,5966,21
2015-08-19,41160,33725,7405,30
2015-08-20,44855,35387,9442,26
2015-08-21,41610,34715,6869,26
2015-08-22,34894,28224,6630,40
2015-08-23,44363,36557,7692,114
2015-08-24,41217,34289,6915,13
2015-08-25,42332,35483,6830,19
2015-08-26,41040,35005,6015,20
2015-08-27,41549,35254,6288,7
2015-08-28,37898,32039,5833,26
2015-08-29,35034,28828,6175,31
2015-08-30,35737,28868,6834,35
2015-08-31,35307,29300,5996,11
2015-09-01,34632,28237,6366,29
2015-09-02,42440,36335,6090,15
2015-09-03,37190,30312,6864,14
2015-09-04,37992,30816,7143,33
2015-09-05,36303,30073,6174,56
2015-09-06,39553,32402,7126,25
2015-09-07,42567,35588,6956,23
2015-09-08,41157,33912,7214,31
2015-09-09,37471,30729,6692,50
2015-09-10,40289,32627,7643,19
2015-09-11,40872,33414,7433,25
2015-09-12,39186,32028,7142,16
2015-09-13,46454,38243,8163,48
2015-09-14,45598,37795,7780,23
2015-09-15,50479,42628,7835,16
2015-09-16,18348,15277,3063,8
2015-09-17,48913,40434,8445,34
2015-09-18,38375,31204,7142,29
2015-09-19,40876,33628,7217,31
2015-09-20,58124,48059,10042,23
