Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,206,180,26,0
2015-05-02,205,190,15,0
2015-05-03,298,259,39,0
2015-05-04,568,489,79,0
2015-05-05,263,230,33,0
2015-05-06,120,107,13,0
2015-05-07,252,240,12,0
2015-05-08,190,175,15,0
2015-05-09,542,531,11,0
2015-05-10,220,208,12,0
2015-05-11,173,158,15,0
2015-05-12,145,130,15,0
2015-05-13,108,96,12,0
2015-05-14,121,112,9,0
2015-05-15,325,317,8,0
2015-05-16,97,86,11,0
2015-05-17,159,114,45,0
2015-05-18,298,267,31,0
2015-05-19,113,104,9,0
2015-05-20,153,112,41,0
2015-05-21,385,373,12,0
2015-05-22,137,114,23,0
2015-05-23,159,125,34,0
2015-05-24,194,170,24,0
2015-05-25,177,130,47,0
2015-05-26,146,130,16,0
2015-05-27,228,201,27,0
2015-05-28,190,182,8,0
2015-05-29,217,182,35,0
2015-05-30,151,131,20,0
2015-05-31,169,112,57,0
2015-06-01,412,344,68,0
2015-06-02,198,132,66,0
2015-06-03,136,100,36,0
2015-06-04,120,93,27,0
2015-06-05,475,377,98,0
2015-06-06,277,199,78,0
2015-06-07,212,152,60,0
2015-06-08,188,148,40,0
2015-06-09,506,400,106,0
2015-06-10,222,156,66,0
2015-06-11,242,169,73,0
2015-06-12,253,224,29,0
2015-06-13,259,120,139,0
2015-06-14,154,127,27,0
2015-06-15,307,289,18,0
2015-06-16,146,126,20,0
2015-06-17,169,155,14,0
2015-06-18,134,104,30,0
2015-06-19,125,116,9,0
2015-06-20,126,111,15,0
2015-06-21,117,100,17,0
2015-06-22,62,47,15,0
2015-06-23,167,158,9,0
2015-06-24,88,83,5,0
2015-06-25,65,60,5,0
2015-06-26,244,237,7,0
2015-06-27,154,150,4,0
2015-06-28,108,100,8,0
2015-06-29,164,150,14,0
2015-06-30,94,85,9,0
2015-07-01,66,61,5,0
2015-07-02,82,82,0,0
2015-07-03,63,60,3,0
2015-07-04,79,77,2,0
2015-07-05,84,83,1,0
2015-07-06,376,373,3,0
2015-07-07,115,108,7,0
2015-07-08,71,70,1,0
2015-07-09,36,35,1,0
2015-07-10,54,52,2,0
2015-07-11,45,43,2,0
2015-07-12,45,44,1,0
2015-07-13,56,54,2,0
2015-07-14,62,60,2,0
2015-07-15,49,48,1,0
2015-07-16,32,28,4,0
2015-07-17,60,59,1,0
2015-07-18,67,62,5,0
2015-07-19,385,29,356,0
2015-07-20,76,64,12,0
