Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,7741,5108,2633,0
2015-05-02,6404,3920,2484,0
2015-05-03,6833,4202,2631,0
2015-05-04,6958,4320,2638,0
2015-05-05,6587,3988,2599,0
2015-05-06,6875,4070,2805,0
2015-05-07,7524,5136,2388,0
2015-05-08,7663,5268,2395,0
2015-05-09,7634,5032,2602,0
2015-05-10,6564,3827,2737,0
2015-05-11,8095,5577,2518,0
2015-05-12,8088,5320,2768,0
2015-05-13,8075,5230,2845,0
2015-05-14,7457,4887,2570,0
2015-05-15,7189,4820,2369,0
2015-05-16,7399,4591,2808,0
2015-05-17,7357,4670,2687,0
2015-05-18,7748,5291,2457,0
2015-05-19,7767,5146,2621,0
2015-05-20,7852,5148,2704,0
2015-05-21,7458,4863,2595,0
2015-05-22,6839,4449,2390,0
2015-05-23,6610,4037,2573,0
2015-05-24,6912,4127,2785,0
2015-05-25,7620,5136,2484,0
2015-05-26,8461,5735,2726,0
2015-05-27,8073,5286,2787,0
2015-05-28,7242,4674,2568,0
2015-05-29,7372,5110,2262,0
2015-05-30,7355,4931,2424,0
2015-05-31,6310,3438,2872,0
2015-06-01,7091,4528,2563,0
2015-06-02,7476,4897,2579,0
2015-06-03,8548,5629,2919,0
2015-06-04,8049,5541,2508,0
2015-06-05,7705,5313,2392,0
2015-06-06,6887,4053,2834,0
2015-06-07,6138,3576,2562,0
2015-06-08,7904,5297,2607,0
2015-06-09,8467,5750,2717,0
2015-06-10,8292,5550,2742,0
2015-06-11,8466,5895,2571,0
2015-06-12,7671,5373,2298,0
2015-06-13,5953,3354,2599,0
2015-06-14,7046,4032,3014,0
2015-06-15,7822,4993,2829,0
2015-06-16,7082,4434,2648,0
2015-06-17,7564,4988,2576,0
2015-06-18,34913,32401,2512,0
2015-06-19,7192,4699,2493,0
2015-06-20,6504,4071,2433,0
2015-06-21,7610,4843,2767,0
2015-06-22,7908,5268,2640,0
2015-06-23,7501,4852,2649,0
2015-06-24,7248,4700,2548,0
2015-06-25,8824,6307,2517,0
2015-06-26,6812,4378,2434,0
2015-06-27,13701,11107,2594,0
2015-06-28,21417,18619,2798,0
2015-06-29,8319,5970,2349,0
2015-06-30,7936,5543,2393,0
2015-07-01,8133,5724,2409,0
2015-07-02,7988,5553,2435,0
2015-07-03,6787,4590,2197,0
2015-07-04,6154,3720,2434,0
2015-07-05,6607,3891,2716,0
2015-07-06,7783,4999,2784,0
2015-07-07,7319,4843,2476,0
2015-07-08,7249,4714,2535,0
2015-07-09,8783,6366,2417,0
2015-07-10,7060,4917,2143,0
2015-07-11,5877,3708,2169,0
2015-07-12,6450,3807,2643,0
2015-07-13,6884,4481,2403,0
2015-07-14,6966,4511,2455,0
2015-07-15,6623,4207,2416,0
2015-07-16,8078,5516,2562,0
2015-07-17,7381,5128,2253,0
2015-07-18,6291,3985,2306,0
2015-07-19,7263,4116,3147,0
2015-07-20,6864,4334,2530,0
