Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,260,222,38,0
2015-05-02,328,306,22,0
2015-05-03,615,543,72,0
2015-05-04,265,247,18,0
2015-05-05,271,219,52,0
2015-05-06,137,124,13,0
2015-05-07,521,494,27,0
2015-05-08,456,424,32,0
2015-05-09,830,795,35,0
2015-05-10,322,282,40,0
2015-05-11,219,186,33,0
2015-05-12,114,106,8,0
2015-05-13,196,163,33,0
2015-05-14,212,191,21,0
2015-05-15,586,561,25,0
2015-05-16,165,114,51,0
2015-05-17,196,160,36,0
2015-05-18,106,89,17,0
2015-05-19,239,190,49,0
2015-05-20,211,167,44,0
2015-05-21,750,717,33,0
2015-05-22,411,364,47,0
2015-05-23,249,205,44,0
2015-05-24,155,127,28,0
2015-05-25,268,216,52,0
2015-05-26,266,218,48,0
2015-05-27,220,207,13,0
2015-05-28,174,157,17,0
2015-05-29,254,214,40,0
2015-05-30,201,164,37,0
2015-05-31,218,166,52,0
2015-06-01,262,227,35,0
2015-06-02,285,236,49,0
2015-06-03,211,168,43,0
2015-06-04,344,223,121,0
2015-06-05,573,520,53,0
2015-06-06,416,303,113,0
2015-06-07,276,236,40,0
2015-06-08,255,201,54,0
2015-06-09,309,256,53,0
2015-06-10,420,328,92,0
2015-06-11,281,226,55,0
2015-06-12,361,292,69,0
2015-06-13,344,210,134,0
2015-06-14,376,278,98,0
2015-06-15,178,144,34,0
2015-06-16,172,168,4,0
2015-06-17,196,191,5,0
2015-06-18,114,89,25,0
2015-06-19,125,121,4,0
2015-06-20,80,75,5,0
2015-06-21,100,92,8,0
2015-06-22,61,59,2,0
2015-06-23,128,123,5,0
2015-06-24,48,48,0,0
2015-06-25,82,81,1,0
2015-06-26,221,214,7,0
2015-06-27,147,146,1,0
2015-06-28,92,85,7,0
2015-06-29,127,115,12,0
2015-06-30,100,94,6,0
2015-07-01,59,52,7,0
2015-07-02,90,86,4,0
2015-07-03,63,57,6,0
2015-07-04,70,68,2,0
2015-07-05,102,94,8,0
2015-07-06,383,377,6,0
2015-07-07,126,114,12,0
2015-07-08,67,65,2,0
2015-07-09,62,55,7,0
2015-07-10,79,73,6,0
2015-07-11,49,42,7,0
2015-07-12,55,54,1,0
2015-07-13,63,59,4,0
2015-07-14,55,51,4,0
2015-07-15,54,52,2,0
2015-07-16,44,42,2,0
2015-07-17,114,111,3,0
2015-07-18,63,61,2,0
2015-07-19,634,40,594,0
2015-07-20,79,56,23,0
2015-07-21,101,95,6,0
2015-07-22,43,38,5,0
2015-07-23,42,38,4,0
2015-07-24,36,34,2,0
2015-07-25,65,63,2,0
2015-07-26,47,41,6,0
2015-07-27,65,62,3,0
2015-07-28,57,52,5,0
2015-07-29,200,190,10,0
2015-07-30,100,94,6,0
2015-07-31,122,116,6,0
2015-08-01,196,103,93,0
2015-08-02,48,27,21,0
2015-08-03,36,24,12,0
2015-08-04,77,59,18,0
2015-08-05,70,48,22,0
2015-08-06,95,77,18,0
2015-08-07,72,47,25,0
2015-08-08,71,45,26,0
2015-08-09,43,28,15,0
2015-08-10,66,61,5,0
2015-08-11,66,63,3,0
2015-08-12,64,61,3,0
2015-08-13,66,61,5,0
2015-08-14,61,60,1,0
2015-08-15,56,43,13,0
2015-08-16,49,31,18,0
2015-08-17,90,69,21,0
2015-08-18,123,122,1,0
2015-08-19,83,69,14,0
2015-08-20,125,111,14,0
2015-08-21,42,39,3,0
2015-08-22,51,39,12,0
2015-08-23,45,36,9,0
2015-08-24,100,50,50,0
2015-08-25,67,53,14,0
2015-08-26,47,40,7,0
2015-08-27,59,48,11,0
2015-08-28,51,45,6,0
2015-08-29,33,24,9,0
2015-08-30,51,37,14,0
2015-08-31,39,31,8,0
2015-09-01,43,34,9,0
2015-09-02,55,47,8,0
2015-09-03,123,58,65,0
2015-09-04,62,45,17,0
2015-09-05,110,102,8,0
2015-09-06,61,55,6,0
2015-09-07,47,39,8,0
2015-09-08,88,73,15,0
2015-09-09,175,167,8,0
2015-09-10,60,54,6,0
2015-09-11,247,242,5,0
2015-09-12,227,220,7,0
2015-09-13,195,182,13,0
2015-09-14,122,115,7,0
2015-09-15,266,260,6,0
2015-09-16,78,71,7,0
2015-09-17,305,301,4,0
2015-09-18,77,63,14,0
2015-09-19,70,68,2,0
2015-09-20,99,89,10,0
2015-09-21,129,115,14,0
2015-09-22,132,131,1,0
2015-09-23,59,53,6,0
2015-09-24,118,117,1,0
2015-09-25,396,381,15,0
2015-09-26,1727,1709,18,0
2015-09-27,645,635,10,0
2015-09-28,406,401,5,0
2015-09-29,1932,1913,19,0
2015-09-30,645,631,14,0
2015-10-01,166,162,4,0
2015-10-02,159,156,3,0
2015-10-03,82,70,12,0
2015-10-04,41,36,5,0
2015-10-05,100,87,13,0
2015-10-06,77,76,1,0
2015-10-07,52,45,7,0
2015-10-08,92,89,3,0
2015-10-09,129,121,8,0
2015-10-10,100,91,9,0
2015-10-11,39,37,2,0
2015-10-12,72,69,3,0
2015-10-13,155,97,58,0
2015-10-14,78,77,1,0
2015-10-15,285,280,5,0
