Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2597,2375,212,10
2015-05-02,2907,2645,247,15
2015-05-03,3735,3490,224,21
2015-05-04,4839,4609,214,16
2015-05-05,2250,2058,178,14
2015-05-06,2047,1910,135,2
2015-05-07,3691,3508,172,11
2015-05-08,2497,2321,161,15
2015-05-09,3626,3285,324,17
2015-05-10,2998,2847,147,4
2015-05-11,2727,2542,174,11
2015-05-12,2185,2035,147,3
2015-05-13,3170,2511,652,7
2015-05-14,2655,2462,181,12
2015-05-15,3723,3553,164,6
2015-05-16,2363,2209,146,8
2015-05-17,2289,2137,139,13
2015-05-18,2896,2761,123,12
2015-05-19,2606,2450,140,16
2015-05-20,2064,1930,132,2
2015-05-21,3693,3537,153,3
2015-05-22,2155,1980,167,8
2015-05-23,2060,1769,280,11
2015-05-24,1769,1610,145,14
2015-05-25,2347,2155,183,9
2015-05-26,2764,2596,160,8
2015-05-27,2546,2343,192,11
2015-05-28,2310,2076,232,2
2015-05-29,3130,2827,294,9
2015-05-30,3796,3512,279,5
2015-05-31,2810,2515,284,11
2015-06-01,2110,1808,289,13
2015-06-02,2559,2221,330,8
2015-06-03,2343,2077,263,3
2015-06-04,2330,2067,248,15
2015-06-05,3745,3476,261,8
2015-06-06,2601,2188,404,9
2015-06-07,1852,1712,134,6
2015-06-08,2731,2527,198,6
2015-06-09,2413,2167,233,13
2015-06-10,2809,2615,183,11
2015-06-11,3659,3370,287,2
2015-06-12,6290,6095,190,5
2015-06-13,1952,1729,214,9
2015-06-14,2042,1848,189,5
2015-06-15,1782,1596,179,7
2015-06-16,1981,1747,228,6
2015-06-17,2971,2565,398,8
2015-06-18,3812,3575,234,3
2015-06-19,1667,1550,100,17
2015-06-20,1580,1338,229,13
2015-06-21,1358,1166,183,9
2015-06-22,2095,1933,155,7
2015-06-23,1656,1532,113,11
2015-06-24,1547,1414,126,7
2015-06-25,3559,3363,193,3
2015-06-26,5826,5599,222,5
2015-06-27,2165,1933,224,8
2015-06-28,2142,1968,161,13
2015-06-29,2600,2442,150,8
2015-06-30,1759,1638,116,5
2015-07-01,1785,1638,144,3
2015-07-02,1723,1525,190,8
2015-07-03,1934,1677,243,14
2015-07-04,2022,1779,234,9
2015-07-05,2555,2257,280,18
2015-07-06,5577,5144,424,9
2015-07-07,4206,3853,349,4
2015-07-08,2520,2245,267,8
2015-07-09,1722,1559,151,12
2015-07-10,2480,2275,173,32
2015-07-11,1434,1245,183,6
2015-07-12,1440,1300,137,3
2015-07-13,1531,1369,150,12
2015-07-14,1564,1426,126,12
2015-07-15,2466,2317,138,11
2015-07-16,1712,1559,143,10
2015-07-17,1324,1148,168,8
2015-07-18,1176,949,219,8
2015-07-19,3221,1353,1862,6
2015-07-20,1908,1743,153,12
2015-07-21,2255,2062,190,3
2015-07-22,1150,1003,138,9
2015-07-23,1809,1599,203,7
2015-07-24,1440,1255,169,16
2015-07-25,1210,1074,129,7
2015-07-26,1180,1002,172,6
2015-07-27,1701,1516,178,7
2015-07-28,1824,1563,245,16
2015-07-29,2433,2101,306,26
2015-07-30,2271,1961,269,41
2015-07-31,2050,1734,298,18
2015-08-01,2132,1797,327,8
2015-08-02,1754,1570,180,4
2015-08-03,1234,1089,138,7
2015-08-04,2681,2469,210,2
2015-08-05,3308,3137,156,15
2015-08-06,2190,1958,227,5
2015-08-07,3578,3298,271,9
2015-08-08,1340,1186,142,12
2015-08-09,1720,1515,197,8
2015-08-10,2034,1810,214,10
2015-08-11,1841,1660,171,10
2015-08-12,1511,1321,181,9
2015-08-13,1492,1234,247,11
2015-08-14,1804,1524,271,9
2015-08-15,1400,1200,195,5
2015-08-16,1817,1585,224,8
2015-08-17,1591,1419,157,15
2015-08-18,2556,2274,271,11
2015-08-19,2409,2072,327,10
2015-08-20,2585,2298,280,7
2015-08-21,2604,2244,351,9
2015-08-22,2523,2036,468,19
2015-08-23,2346,1967,374,5
2015-08-24,2791,2263,523,5
2015-08-25,3477,2622,850,5
2015-08-26,2012,1797,201,14
2015-08-27,2318,2050,263,5
2015-08-28,2390,2193,190,7
2015-08-29,1835,1564,261,10
2015-08-30,3433,2916,510,7
2015-08-31,1817,1544,266,7
2015-09-01,1334,1156,166,12
2015-09-02,1515,1325,190,0
2015-09-03,2022,1810,210,2
2015-09-04,2283,1970,307,6
2015-09-05,2582,2303,273,6
2015-09-06,1758,1575,179,4
2015-09-07,1683,1519,160,4
2015-09-08,2129,1825,293,11
2015-09-09,2010,1736,270,4
2015-09-10,2553,2211,335,7
2015-09-11,2095,1840,250,5
2015-09-12,2532,2267,256,9
2015-09-13,3348,2836,503,9
2015-09-14,1986,1745,236,5
2015-09-15,2931,2651,260,20
2015-09-16,1917,1702,202,13
2015-09-17,2381,2173,202,6
2015-09-18,2066,1842,211,13
2015-09-19,3358,3164,193,1
2015-09-20,3764,3470,274,20
2015-09-21,2313,2108,190,15
2015-09-22,2365,2199,151,15
2015-09-23,1789,1655,130,4
2015-09-24,2361,2220,138,3
2015-09-25,2272,2063,192,17
2015-09-26,2132,1927,197,8
2015-09-27,2044,1837,199,8
2015-09-28,2260,2049,197,14
2015-09-29,2381,2219,152,10
2015-09-30,3151,2918,232,1
2015-10-01,2422,2182,227,13
2015-10-02,2416,2224,176,16
2015-10-03,2430,2268,158,4
2015-10-04,2574,2428,140,6
2015-10-05,2235,2014,214,7
2015-10-06,2480,2283,183,14
2015-10-07,2741,2552,181,8
2015-10-08,3531,3334,188,9
2015-10-09,2098,1883,206,9
2015-10-10,1944,1658,266,20
2015-10-11,2531,2315,211,5
2015-10-12,3444,3197,226,21
2015-10-13,2588,2281,298,9
2015-10-14,2570,2418,142,10
2015-10-15,2349,2164,173,12
2015-10-16,2374,2160,201,13
2015-10-17,2325,2133,184,8
2015-10-18,1584,1402,171,11
2015-10-19,2296,2062,198,36
2015-10-20,1540,1335,185,20
2015-10-21,1766,1554,193,19
2015-10-22,1515,1354,153,8
2015-10-23,1201,1069,123,9
2015-10-24,1286,1078,202,6
2015-10-25,2118,1835,265,18
2015-10-26,2347,2136,204,7
2015-10-27,2040,1841,195,4
2015-10-28,1679,1484,183,12
2015-10-29,2011,1738,260,13
2015-10-30,1970,1805,158,7
2015-10-31,1885,1740,141,4
2015-11-01,1926,1687,221,18
2015-11-02,1771,1603,161,7
2015-11-03,1789,1567,211,11
2015-11-04,2086,1838,171,77
2015-11-05,2100,1928,169,3
2015-11-06,1639,1462,166,11
2015-11-07,1791,1402,366,23
2015-11-08,1962,1701,235,26
2015-11-09,1365,1157,191,17
2015-11-10,1687,1430,243,14
2015-11-11,1655,1397,235,23
2015-11-12,1666,1457,152,57
2015-11-13,1768,1459,276,33
2015-11-14,1486,1242,229,15
2015-11-15,1538,1333,186,19
2015-11-16,1781,1503,248,30
2015-11-17,2059,1807,225,27
2015-11-18,2053,1865,177,11
2015-11-19,1485,1329,148,8
2015-11-20,1959,1706,231,22
2015-11-21,2607,2290,305,12
2015-11-22,3195,2796,367,32
2015-11-23,2203,1824,367,12
2015-11-24,2945,2662,266,17
2015-11-25,1851,1614,222,15
2015-11-26,1976,1758,205,13
2015-11-27,1464,1288,165,11
2015-11-28,3964,3302,657,5
2015-11-29,2600,2037,528,35
2015-11-30,1536,1362,173,1
2015-12-01,2250,1954,282,14
2015-12-02,1906,1645,246,15
2015-12-03,1558,1338,213,7
2015-12-04,1500,1284,186,30
2015-12-05,1289,1019,266,4
2015-12-06,1556,1365,151,40
2015-12-07,1275,1067,184,24
2015-12-08,1196,1040,122,34
2015-12-09,2433,2139,271,23
2015-12-10,2432,2157,262,13
2015-12-11,2351,2079,247,25
2015-12-12,2140,1818,313,9
2015-12-13,2103,1846,241,16
2015-12-14,1775,1524,199,52
2015-12-15,1776,1495,213,68
2015-12-16,3195,2874,261,60
2015-12-17,1751,1508,203,40
2015-12-18,1782,1537,163,82
2015-12-19,1523,1301,157,65
2015-12-20,2056,1661,315,80
2015-12-21,2071,1853,164,54
2015-12-22,2325,2015,220,90
2015-12-23,1828,1535,199,94
2015-12-24,2429,2073,252,104
2015-12-25,2135,1839,207,89
2015-12-26,1750,1472,200,78
2015-12-27,1465,1190,198,77
2015-12-28,1566,1304,169,93
2015-12-29,2471,2084,280,107
2015-12-30,1503,1291,143,69
2015-12-31,1725,1441,220,64
2016-01-01,3019,2730,212,77
2016-01-02,3322,2765,428,129
2016-01-03,3359,2963,269,127
2016-01-04,3590,3102,346,142
2016-01-05,3425,2841,349,235
2016-01-06,2971,2433,369,169
2016-01-07,2864,2363,299,202
2016-01-08,2869,2399,279,191
2016-01-09,3614,2875,398,341
2016-01-10,3882,3229,439,214
2016-01-11,3365,2516,485,364
2016-01-12,3701,2720,467,514
2016-01-13,2599,1775,414,410
2016-01-14,3424,2785,237,402
2016-01-15,3373,2645,343,385
2016-01-16,3511,2775,307,429
2016-01-17,3923,3247,364,312
2016-01-18,4360,2881,500,979
2016-01-19,4746,3565,460,721
2016-01-20,3586,2731,418,437
2016-01-21,3046,2340,260,446
2016-01-22,3547,2606,330,611
2016-01-23,5231,4022,556,653
2016-01-24,3889,3091,377,421
2016-01-25,4001,3207,399,395
2016-01-26,4163,3120,426,617
2016-01-27,2978,2137,395,446
2016-01-28,3333,2703,278,352
2016-01-29,2726,2109,226,391
2016-01-30,3893,3074,350,469
2016-01-31,3202,2550,300,352
2016-02-01,2069,1450,239,380
2016-02-02,3201,2470,331,400
2016-02-03,6394,5550,477,367
2016-02-04,2469,1921,221,327
2016-02-05,2283,1618,212,453
2016-02-06,3650,2519,408,723
2016-02-07,6050,5382,205,463
2016-02-08,2657,1798,341,518
2016-02-09,2720,2148,298,274
2016-02-10,2518,1849,264,405
2016-02-11,1632,1232,130,270
2016-02-12,4606,3780,404,422
2016-02-13,3555,2682,382,491
2016-02-14,2913,2129,336,448
2016-02-15,2585,1872,167,546
2016-02-16,3701,2876,286,539
2016-02-17,2980,2213,295,472
2016-02-18,2322,1628,199,495
2016-02-19,3394,2712,238,444
2016-02-20,3271,2357,319,595
2016-02-21,3461,2615,282,564
2016-02-22,2853,2148,207,498
2016-02-23,3783,2441,341,1001
2016-02-24,3048,1982,193,873
2016-02-25,2802,1778,192,832
2016-02-26,3006,2070,139,797
2016-02-27,2914,1664,211,1039
2016-02-28,2024,1277,189,558
2016-02-29,634,323,75,236
2016-03-01,2281,1460,212,609
2016-03-02,2460,1641,244,575
2016-03-03,1821,1175,191,455
2016-03-04,2082,1539,159,384
2016-03-05,2506,1696,249,561
2016-03-06,2565,1903,195,467
2016-03-07,2065,1434,135,496
2016-03-08,2306,1543,246,517
2016-03-09,2548,1876,259,413
2016-03-10,1823,1247,214,362
2016-03-11,1999,1308,156,535
2016-03-12,2668,2123,156,389
2016-03-13,2034,1515,203,316
2016-03-14,2452,1642,146,664
2016-03-15,2392,1633,192,567
2016-03-16,2442,1701,211,530
2016-03-17,2434,1650,146,638
2016-03-18,2053,1447,139,467
2016-03-19,2255,1585,137,533
2016-03-20,3270,2532,271,467
2016-03-21,1701,1126,165,410
2016-03-22,1758,1047,180,531
2016-03-23,2119,1562,164,393
2016-03-24,1896,1163,138,595
2016-03-25,2564,1681,206,677
2016-03-26,2952,2008,219,725
2016-03-27,3582,2952,277,353
2016-03-28,3418,2900,283,235
2016-03-29,2694,2123,259,312
2016-03-30,1945,1388,163,394
2016-03-31,3491,2776,371,344
2016-04-01,2512,1832,250,430
2016-04-02,2636,1846,283,507
2016-04-03,2154,1584,202,368
2016-04-04,2206,1702,225,279
2016-04-05,4385,2215,320,1850
2016-04-06,4562,3184,288,1090
2016-04-07,4978,3221,272,1485
2016-04-08,2755,1820,264,671
2016-04-09,4317,3130,380,807
2016-04-10,3225,2410,256,559
2016-04-11,4198,3371,225,602
2016-04-12,2426,1769,220,437
2016-04-13,2470,1500,206,764
2016-04-14,1976,1248,174,554
2016-04-15,2243,1372,179,692
2016-04-16,2343,1499,257,587
2016-04-17,2203,1300,222,681
2016-04-18,2127,1582,175,370
2016-04-19,2236,1645,177,414
2016-04-20,2788,1909,277,602
2016-04-21,2298,1604,205,489
2016-04-22,2719,1842,188,689
2016-04-23,2611,2004,178,429
2016-04-24,2431,1718,242,471
2016-04-25,3749,3096,198,455
2016-04-26,2603,1750,481,372
2016-04-27,5206,2015,2803,388
2016-04-28,4369,3771,213,385
2016-04-29,1773,1106,221,446
2016-04-30,2105,1410,255,440
2016-05-01,2035,1274,218,543
2016-05-02,3551,1422,1708,421
2016-05-03,1982,1414,182,386
2016-05-04,1819,1267,185,367
2016-05-05,2296,1814,124,358
2016-05-06,4219,3577,175,467
2016-05-07,1410,833,169,408
2016-05-08,2286,1024,134,1128
2016-05-09,1952,1009,173,770
2016-05-10,1648,1006,153,489
2016-05-11,2362,1813,163,386
2016-05-12,2237,1700,129,408
2016-05-13,4614,3879,162,573
2016-05-14,2344,1648,199,497
2016-05-15,2427,1783,214,430
2016-05-16,2438,1900,170,368
2016-05-17,2812,2032,215,565
2016-05-18,3145,2654,193,298
2016-05-19,2574,2011,185,378
2016-05-20,2343,1783,190,370
2016-05-21,19032,16670,1845,517
2016-05-22,2989,2348,175,466
2016-05-23,2538,1780,169,589
2016-05-24,1732,1266,137,329
2016-05-25,1993,1432,137,424
2016-05-26,1939,1329,117,493
2016-05-27,4404,3575,139,690
2016-05-28,3894,3018,166,710
2016-05-29,2260,1707,116,437
2016-05-30,1792,1196,140,456
2016-05-31,2039,1382,165,492
2016-06-01,2887,2300,137,450
2016-06-02,2524,1898,82,544
2016-06-03,2031,1604,109,318
2016-06-04,2444,1966,186,292
2016-06-05,2861,2395,114,352
2016-06-06,2305,1773,172,360
2016-06-07,2016,1184,133,699
2016-06-08,1558,1059,99,400
2016-06-09,2054,1496,101,457
2016-06-10,2272,1638,97,537
2016-06-11,1798,1172,208,418
2016-06-12,2194,1568,86,540
2016-06-13,4233,3741,133,359
2016-06-14,1969,1732,87,150
2016-06-15,2348,1680,100,568
2016-06-16,3898,3240,150,508
2016-06-17,1758,1092,85,581
2016-06-18,2698,1857,344,497
2016-06-19,2966,2070,229,667
