Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2305,1995,308,2
2015-05-02,1719,1620,83,16
2015-05-03,1840,1706,125,9
2015-05-04,2769,2644,110,15
2015-05-05,2120,1514,585,21
2015-05-06,1400,1342,40,18
2015-05-07,2186,2079,81,26
2015-05-08,1838,1701,113,24
2015-05-09,2185,2034,100,51
2015-05-10,1905,1812,70,23
2015-05-11,1756,1684,61,11
2015-05-12,1539,1466,63,10
2015-05-13,2273,1892,375,6
2015-05-14,2018,1881,103,34
2015-05-15,2261,1946,295,20
2015-05-16,1797,1721,58,18
2015-05-17,1892,1788,86,18
2015-05-18,1662,1578,66,18
2015-05-19,1932,1799,121,12
2015-05-20,1618,1490,102,26
2015-05-21,2371,2257,108,6
2015-05-22,1821,1672,143,6
2015-05-23,1820,1637,166,17
2015-05-24,1640,1519,109,12
2015-05-25,1708,1533,164,11
2015-05-26,1986,1816,166,4
2015-05-27,1680,1552,101,27
2015-05-28,1846,1772,68,6
2015-05-29,2250,1874,352,24
2015-05-30,2093,2017,66,10
2015-05-31,1359,1247,102,10
2015-06-01,1627,1474,142,11
2015-06-02,1998,1876,114,8
2015-06-03,1650,1484,151,15
2015-06-04,1613,1436,157,20
2015-06-05,1931,1821,91,19
2015-06-06,1991,1741,238,12
2015-06-07,1527,1404,112,11
2015-06-08,1938,1851,75,12
2015-06-09,1861,1709,126,26
2015-06-10,1989,1810,166,13
2015-06-11,2939,2810,109,20
2015-06-12,2180,1850,314,16
2015-06-13,1671,1534,100,37
2015-06-14,1730,1550,158,22
2015-06-15,1298,1187,99,12
2015-06-16,1380,1293,80,7
2015-06-17,1002,921,74,7
2015-06-18,2505,2385,110,10
2015-06-19,801,740,50,11
2015-06-20,887,810,38,39
2015-06-21,1401,1355,38,8
2015-06-22,966,929,24,13
2015-06-23,912,888,14,10
2015-06-24,918,859,32,27
2015-06-25,1165,1116,36,13
2015-06-26,1290,1189,84,17
2015-06-27,5589,4826,749,14
2015-06-28,1067,1009,34,24
2015-06-29,1335,1280,41,14
2015-06-30,1177,1101,34,42
2015-07-01,935,824,77,34
2015-07-02,1036,983,43,10
2015-07-03,962,881,60,21
2015-07-04,656,615,23,18
2015-07-05,1035,966,61,8
2015-07-06,1734,1637,90,7
2015-07-07,1844,1739,94,11
2015-07-08,1174,1100,50,24
2015-07-09,1007,975,26,6
2015-07-10,1257,1155,83,19
2015-07-11,799,762,19,18
2015-07-12,845,780,47,18
2015-07-13,826,787,19,20
2015-07-14,748,715,30,3
2015-07-15,904,869,30,5
2015-07-16,906,848,43,15
2015-07-17,644,612,26,6
2015-07-18,1226,672,544,10
2015-07-19,1489,720,759,10
2015-07-20,1225,1120,97,8
2015-07-21,924,849,50,25
2015-07-22,848,794,40,14
2015-07-23,939,871,53,15
2015-07-24,809,739,67,3
2015-07-25,674,638,21,15
2015-07-26,636,597,35,4
2015-07-27,965,879,68,18
2015-07-28,1281,1194,74,13
2015-07-29,1726,1590,123,13
2015-07-30,1204,1131,61,12
2015-07-31,931,865,58,8
2015-08-01,1264,1152,93,19
2015-08-02,1039,970,58,11
2015-08-03,722,674,22,26
2015-08-04,999,954,34,11
2015-08-05,871,802,57,12
2015-08-06,1734,1581,148,5
2015-08-07,1464,1346,109,9
2015-08-08,802,740,54,8
2015-08-09,1041,984,54,3
2015-08-10,850,789,39,22
2015-08-11,1067,1001,45,21
2015-08-12,563,529,24,10
2015-08-13,744,671,66,7
2015-08-14,765,696,60,9
2015-08-15,651,596,50,5
2015-08-16,667,571,71,25
2015-08-17,865,765,93,7
2015-08-18,1287,1146,132,9
2015-08-19,956,850,95,11
2015-08-20,1122,989,117,16
2015-08-21,1331,1111,144,76
2015-08-22,1255,976,269,10
2015-08-23,981,823,155,3
2015-08-24,1277,889,349,39
2015-08-25,1313,981,308,24
2015-08-26,762,722,39,1
2015-08-27,1093,969,113,11
2015-08-28,836,771,48,17
2015-08-29,804,701,44,59
2015-08-30,793,727,52,14
2015-08-31,670,588,78,4
2015-09-01,780,730,42,8
2015-09-02,680,636,38,6
2015-09-03,918,849,61,8
2015-09-04,1089,973,106,10
2015-09-05,1091,1028,44,19
2015-09-06,765,698,52,15
2015-09-07,757,696,46,15
2015-09-08,935,824,81,30
2015-09-09,907,839,60,8
2015-09-10,1046,921,105,20
2015-09-11,1025,953,56,16
2015-09-12,1155,1045,81,29
2015-09-13,1180,1056,112,12
2015-09-14,1106,996,83,27
2015-09-15,1627,1554,70,3
2015-09-16,1164,1057,81,26
2015-09-17,1053,961,78,14
2015-09-18,873,788,72,13
2015-09-19,1257,1177,63,17
2015-09-20,1216,1104,81,31
2015-09-21,1214,1141,58,15
2015-09-22,1002,915,68,19
2015-09-23,845,808,36,1
2015-09-24,891,825,63,3
2015-09-25,1187,1127,57,3
2015-09-26,906,836,58,12
2015-09-27,727,664,51,12
2015-09-28,941,871,57,13
2015-09-29,1333,1274,54,5
2015-09-30,1154,1065,70,19
2015-10-01,1008,881,119,8
2015-10-02,929,863,63,3
2015-10-03,791,743,47,1
2015-10-04,701,628,55,18
