Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,80,76,4,0
2015-05-02,47,46,1,0
2015-05-03,77,72,5,0
2015-05-04,79,79,0,0
2015-05-05,57,54,3,0
2015-05-06,43,41,2,0
2015-05-07,23,22,1,0
2015-05-08,127,126,1,0
2015-05-09,47,46,1,0
2015-05-10,85,80,5,0
2015-05-11,61,58,3,0
2015-05-12,38,33,5,0
2015-05-13,40,38,2,0
2015-05-14,23,22,1,0
2015-05-15,53,48,5,0
2015-05-16,64,62,2,0
2015-05-17,60,57,3,0
2015-05-18,54,49,5,0
2015-05-19,62,57,5,0
2015-05-20,102,94,8,0
2015-05-21,72,67,5,0
2015-05-22,188,183,5,0
2015-05-23,126,118,8,0
2015-05-24,100,90,10,0
2015-05-25,107,85,22,0
2015-05-26,39,37,2,0
2015-05-27,92,88,4,0
2015-05-28,45,42,3,0
2015-05-29,161,153,8,0
2015-05-30,34,32,2,0
2015-05-31,33,31,2,0
2015-06-01,97,88,9,0
2015-06-02,94,87,7,0
2015-06-03,48,47,1,0
2015-06-04,84,77,7,0
2015-06-05,166,158,8,0
2015-06-06,79,76,3,0
2015-06-07,116,108,8,0
2015-06-08,67,62,5,0
2015-06-09,95,90,5,0
2015-06-10,103,102,1,0
2015-06-11,108,98,10,0
2015-06-12,68,60,8,0
2015-06-13,58,46,12,0
2015-06-14,71,67,4,0
2015-06-15,46,43,3,0
2015-06-16,63,60,3,0
2015-06-17,10,10,0,0
2015-06-18,19,19,0,0
2015-06-19,23,23,0,0
2015-06-20,8,7,1,0
2015-06-21,15,15,0,0
2015-06-22,18,18,0,0
2015-06-23,18,18,0,0
2015-06-24,6,6,0,0
2015-06-25,4,4,0,0
2015-06-26,9,7,2,0
2015-06-27,8,8,0,0
2015-06-28,16,16,0,0
2015-06-29,31,10,21,0
2015-06-30,20,20,0,0
2015-07-01,8,8,0,0
2015-07-02,14,14,0,0
2015-07-03,14,14,0,0
2015-07-04,14,14,0,0
2015-07-05,31,31,0,0
2015-07-06,25,25,0,0
2015-07-07,16,16,0,0
2015-07-08,19,19,0,0
2015-07-09,7,7,0,0
2015-07-10,8,8,0,0
2015-07-11,7,6,1,0
2015-07-12,5,4,1,0
2015-07-13,4,4,0,0
2015-07-14,8,8,0,0
2015-07-15,8,8,0,0
2015-07-16,11,11,0,0
2015-07-17,18,18,0,0
2015-07-18,16,16,0,0
2015-07-19,22,22,0,0
2015-07-20,34,11,23,0
