Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2151,1942,129,80
2015-05-02,2387,2186,138,63
2015-05-03,2202,1960,149,93
2015-05-04,3986,3763,183,40
2015-05-05,2597,2479,70,48
2015-05-06,1490,1376,61,53
2015-05-07,3560,3337,129,94
2015-05-08,3463,3257,158,48
2015-05-09,3033,2813,159,61
2015-05-10,2350,2111,181,58
2015-05-11,2057,1846,144,67
2015-05-12,2216,1983,161,72
2015-05-13,2516,1817,658,41
2015-05-14,2514,2323,149,42
2015-05-15,2692,2571,90,31
2015-05-16,2649,2485,102,62
2015-05-17,2283,2018,206,59
2015-05-18,2032,1874,104,54
2015-05-19,2439,2250,133,56
2015-05-20,2242,1968,127,147
2015-05-21,3499,3300,137,62
2015-05-22,1952,1670,227,55
2015-05-23,2981,2785,124,72
2015-05-24,2913,2725,129,59
2015-05-25,2210,1984,171,55
2015-05-26,2728,2547,124,57
2015-05-27,3209,2990,136,83
2015-05-28,2152,1999,114,39
2015-05-29,3135,2903,147,85
2015-05-30,3447,3263,80,104
2015-05-31,1772,1581,129,62
2015-06-01,1836,1632,137,67
2015-06-02,2222,1998,155,69
2015-06-03,1738,1452,178,108
2015-06-04,2703,2316,216,171
2015-06-05,4966,4680,142,144
2015-06-06,2108,1790,146,172
2015-06-07,1963,1579,196,188
2015-06-08,3193,2933,172,88
2015-06-09,2607,2276,243,88
2015-06-10,2866,2543,247,76
2015-06-11,4626,4006,521,99
2015-06-12,3279,2886,324,69
2015-06-13,2420,2012,379,29
2015-06-14,2168,1942,195,31
2015-06-15,1823,1537,138,148
2015-06-16,1858,1588,135,135
2015-06-17,2090,1802,182,106
2015-06-18,3116,2814,247,55
2015-06-19,6230,5966,131,133
2015-06-20,3534,3315,150,69
2015-06-21,3000,2798,167,35
2015-06-22,1771,1563,101,107
2015-06-23,1649,1478,134,37
2015-06-24,2014,1643,255,116
2015-06-25,2440,1999,358,83
2015-06-26,2542,2162,301,79
2015-06-27,2580,2072,395,113
2015-06-28,2580,2315,177,88
2015-06-29,2184,1865,231,88
2015-06-30,1789,1596,130,63
2015-07-01,1994,1736,184,74
2015-07-02,1808,1570,197,41
2015-07-03,1622,1363,178,81
2015-07-04,1643,1484,92,67
2015-07-05,1873,1512,293,68
2015-07-06,4116,3742,289,85
2015-07-07,2593,2292,213,88
2015-07-08,2426,2172,200,54
2015-07-09,1446,1270,138,38
2015-07-10,1496,1254,167,75
2015-07-11,1253,937,182,134
2015-07-12,1512,1310,142,60
2015-07-13,1258,961,173,124
2015-07-14,1010,857,133,20
2015-07-15,1459,1238,126,95
2015-07-16,1598,1380,185,33
2015-07-17,846,674,141,31
2015-07-18,992,829,114,49
2015-07-19,2351,1034,1284,33
2015-07-20,1738,1295,244,199
2015-07-21,1499,1118,86,295
2015-07-22,1846,1436,119,291
2015-07-23,1406,1003,345,58
2015-07-24,1185,986,77,122
2015-07-25,964,813,115,36
2015-07-26,1337,1158,69,110
2015-07-27,1408,1223,101,84
2015-07-28,1275,1010,237,28
2015-07-29,2675,2171,196,308
2015-07-30,1777,1476,130,171
2015-07-31,2690,1950,211,529
2015-08-01,2166,1799,194,173
2015-08-02,2339,2056,156,127
2015-08-03,1561,1174,137,250
2015-08-04,2142,1885,132,125
2015-08-05,1406,1185,130,91
2015-08-06,2374,2098,207,69
2015-08-07,2525,2261,152,112
2015-08-08,1932,1644,153,135
2015-08-09,1905,1603,175,127
2015-08-10,1726,1569,147,10
2015-08-11,1483,1282,112,89
2015-08-12,1142,895,192,55
2015-08-13,3022,2872,97,53
2015-08-14,2045,1755,254,36
2015-08-15,1269,920,276,73
2015-08-16,2512,2233,143,136
2015-08-17,2031,1805,152,74
2015-08-18,8255,7979,217,59
2015-08-19,1618,1416,120,82
2015-08-20,1896,1645,166,85
2015-08-21,1603,1436,125,42
2015-08-22,1812,1454,292,66
2015-08-23,2244,1585,527,132
2015-08-24,2519,1428,1012,79
2015-08-25,1894,1491,337,66
2015-08-26,1109,946,128,35
2015-08-27,1852,1538,210,104
2015-08-28,1132,905,158,69
2015-08-29,1373,1027,262,84
2015-08-30,1335,1066,206,63
2015-08-31,1165,917,190,58
2015-09-01,1738,1578,117,43
2015-09-02,1365,1157,153,55
2015-09-03,1330,1124,99,107
2015-09-04,2607,2224,298,85
2015-09-05,2128,1901,156,71
2015-09-06,1436,1266,118,52
