Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,901,820,81,0
2015-05-02,709,648,61,0
2015-05-03,487,409,78,0
2015-05-04,1014,883,131,0
2015-05-05,816,717,99,0
2015-05-06,614,578,36,0
2015-05-07,489,434,55,0
2015-05-08,488,417,71,0
2015-05-09,695,611,84,0
2015-05-10,478,382,96,0
2015-05-11,629,507,122,0
2015-05-12,475,430,45,0
2015-05-13,413,328,85,0
2015-05-14,694,632,62,0
2015-05-15,419,369,50,0
2015-05-16,638,554,84,0
2015-05-17,577,465,112,0
2015-05-18,597,537,60,0
2015-05-19,512,430,82,0
2015-05-20,625,490,135,0
2015-05-21,509,435,74,0
2015-05-22,564,497,67,0
2015-05-23,411,346,65,0
2015-05-24,497,418,79,0
2015-05-25,679,590,89,0
2015-05-26,521,466,55,0
2015-05-27,620,530,90,0
2015-05-28,864,757,107,0
2015-05-29,542,408,134,0
2015-05-30,570,504,66,0
2015-05-31,662,586,76,0
2015-06-01,659,552,107,0
2015-06-02,597,512,85,0
2015-06-03,600,528,72,0
2015-06-04,616,495,121,0
2015-06-05,1122,954,168,0
2015-06-06,1063,950,113,0
2015-06-07,988,902,86,0
2015-06-08,694,584,110,0
2015-06-09,1412,1239,173,0
2015-06-10,1253,1153,100,0
2015-06-11,1124,1012,112,0
2015-06-12,567,491,76,0
2015-06-13,724,549,175,0
2015-06-14,697,608,89,0
2015-06-15,562,496,66,0
2015-06-16,631,547,84,0
2015-06-17,485,414,71,0
2015-06-18,522,459,63,0
2015-06-19,603,508,95,0
2015-06-20,546,438,108,0
2015-06-21,417,353,64,0
2015-06-22,672,580,92,0
2015-06-23,520,394,126,0
2015-06-24,466,418,48,0
2015-06-25,600,508,92,0
2015-06-26,334,295,39,0
2015-06-27,561,462,99,0
2015-06-28,683,612,71,0
2015-06-29,628,552,76,0
2015-06-30,495,417,78,0
2015-07-01,476,393,83,0
2015-07-02,460,405,55,0
2015-07-03,398,348,50,0
2015-07-04,493,450,43,0
2015-07-05,411,352,59,0
2015-07-06,484,433,51,0
2015-07-07,479,392,87,0
2015-07-08,455,414,41,0
2015-07-09,516,459,57,0
2015-07-10,457,384,73,0
2015-07-11,414,351,63,0
2015-07-12,461,347,114,0
2015-07-13,747,688,59,0
2015-07-14,728,659,69,0
2015-07-15,372,324,48,0
2015-07-16,450,402,48,0
2015-07-17,471,407,64,0
2015-07-18,368,318,50,0
2015-07-19,354,216,138,0
2015-07-20,471,401,70,0
2015-07-21,329,269,60,0
2015-07-22,664,596,68,0
2015-07-23,423,369,54,0
2015-07-24,389,327,62,0
2015-07-25,346,264,82,0
2015-07-26,409,314,95,0
2015-07-27,519,475,44,0
2015-07-28,608,551,57,0
2015-07-29,355,323,32,0
2015-07-30,599,530,69,0
2015-07-31,304,235,69,0
2015-08-01,497,447,50,0
2015-08-02,628,570,58,0
2015-08-03,446,397,49,0
2015-08-04,1348,1144,204,0
2015-08-05,1049,648,401,0
2015-08-06,648,551,97,0
2015-08-07,661,588,73,0
2015-08-08,464,358,106,0
2015-08-09,459,360,99,0
2015-08-10,1255,865,390,0
2015-08-11,672,573,99,0
2015-08-12,361,284,77,0
2015-08-13,502,409,93,0
2015-08-14,440,368,72,0
2015-08-15,533,507,26,0
2015-08-16,382,334,48,0
2015-08-17,869,828,41,0
2015-08-18,604,575,29,0
2015-08-19,392,340,52,0
2015-08-20,514,456,58,0
2015-08-21,828,714,114,0
2015-08-22,498,424,74,0
2015-08-23,457,389,68,0
2015-08-24,473,418,55,0
2015-08-25,1122,1054,68,0
2015-08-26,428,346,82,0
2015-08-27,587,491,96,0
2015-08-28,608,554,54,0
2015-08-29,647,581,66,0
2015-08-30,414,332,82,0
2015-08-31,1090,990,100,0
2015-09-01,530,456,74,0
2015-09-02,697,643,54,0
2015-09-03,428,312,116,0
2015-09-04,402,307,95,0
2015-09-05,335,252,83,0
2015-09-06,313,242,71,0
2015-09-07,624,520,104,0
2015-09-08,540,414,126,0
2015-09-09,452,382,70,0
2015-09-10,785,676,109,0
2015-09-11,636,549,87,0
2015-09-12,683,604,79,0
2015-09-13,553,446,107,0
2015-09-14,643,555,88,0
2015-09-15,664,523,141,0
2015-09-16,400,325,75,0
2015-09-17,467,398,69,0
2015-09-18,654,563,91,0
2015-09-19,365,281,84,0
2015-09-20,323,254,69,0
2015-09-21,676,611,65,0
2015-09-22,444,354,90,0
2015-09-23,573,481,92,0
2015-09-24,1537,1435,102,0
2015-09-25,696,564,132,0
2015-09-26,831,763,68,0
2015-09-27,628,538,90,0
2015-09-28,586,480,106,0
2015-09-29,615,525,90,0
2015-09-30,607,486,121,0
2015-10-01,446,391,55,0
2015-10-02,543,490,53,0
2015-10-03,444,329,115,0
2015-10-04,916,856,60,0
2015-10-05,760,696,64,0
2015-10-06,576,474,101,1
2015-10-07,858,519,339,0
2015-10-08,675,445,191,39
2015-10-09,531,374,82,75
2015-10-10,422,281,68,73
2015-10-11,522,330,80,112
2015-10-12,397,307,32,58
2015-10-13,580,400,98,82
2015-10-14,541,373,64,104
2015-10-15,752,586,109,57
2015-10-16,561,461,58,42
2015-10-17,454,306,69,79
2015-10-18,446,304,45,97
2015-10-19,844,752,48,44
2015-10-20,444,324,58,62
2015-10-21,451,318,87,46
2015-10-22,311,229,48,34
2015-10-23,410,317,41,52
2015-10-24,736,629,64,43
2015-10-25,644,511,54,79
2015-10-26,826,686,85,55
2015-10-27,654,458,62,134
2015-10-28,915,784,59,72
2015-10-29,692,605,41,46
2015-10-30,508,384,60,64
2015-10-31,470,341,67,62
2015-11-01,455,259,59,137
2015-11-02,721,566,63,92
2015-11-03,608,421,95,92
2015-11-04,481,352,53,76
2015-11-05,557,397,67,93
2015-11-06,390,326,27,37
2015-11-07,404,292,69,43
2015-11-08,614,475,82,57
2015-11-09,644,560,35,49
2015-11-10,550,414,67,69
2015-11-11,460,344,36,80
2015-11-12,339,265,41,33
2015-11-13,617,448,44,125
2015-11-14,435,297,78,60
2015-11-15,538,397,71,70
2015-11-16,659,433,109,117
2015-11-17,393,282,46,65
2015-11-18,327,227,52,48
2015-11-19,472,343,35,94
2015-11-20,437,364,36,37
2015-11-21,310,213,49,48
2015-11-22,481,390,58,33
2015-11-23,407,321,34,52
2015-11-24,396,309,42,45
2015-11-25,383,209,82,92
2015-11-26,438,340,67,31
2015-11-27,381,259,66,56
2015-11-28,299,208,34,57
2015-11-29,418,302,73,43
2015-11-30,379,281,46,52
2015-12-01,838,736,46,56
2015-12-02,375,286,32,57
2015-12-03,315,261,36,18
2015-12-04,412,324,59,29
2015-12-05,386,284,55,47
2015-12-06,236,153,35,48
2015-12-07,339,215,59,65
2015-12-08,529,363,56,110
2015-12-09,775,560,92,123
2015-12-10,464,366,59,39
2015-12-11,408,260,69,79
2015-12-12,348,252,41,55
2015-12-13,425,319,43,63
2015-12-14,520,374,107,39
2015-12-15,553,374,93,86
2015-12-16,765,618,94,53
2015-12-17,357,214,87,56
2015-12-18,520,350,77,93
2015-12-19,277,170,52,55
2015-12-20,307,174,86,47
2015-12-21,502,316,95,91
2015-12-22,473,314,117,42
2015-12-23,1214,1000,173,41
2015-12-24,358,246,72,40
2015-12-25,320,219,44,57
2015-12-26,347,198,109,40
2015-12-27,339,255,46,38
2015-12-28,478,312,72,94
2015-12-29,446,333,69,44
2015-12-30,319,213,49,57
2015-12-31,397,305,41,51
2016-01-01,281,174,40,67
2016-01-02,278,165,55,58
2016-01-03,245,181,31,33
2016-01-04,520,363,63,94
2016-01-05,462,277,73,112
2016-01-06,421,312,51,58
2016-01-07,599,367,93,139
2016-01-08,511,246,186,79
2016-01-09,512,344,108,60
2016-01-10,524,334,135,55
