Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,365,253,112,0
2015-05-02,1126,1033,93,0
2015-05-03,3239,3139,100,0
2015-05-04,588,428,160,0
2015-05-05,384,279,105,0
2015-05-06,180,123,57,0
2015-05-07,3587,3501,86,0
2015-05-08,870,775,95,0
2015-05-09,3844,3754,90,0
2015-05-10,381,316,65,0
2015-05-11,316,251,65,0
2015-05-12,354,243,111,0
2015-05-13,232,184,48,0
2015-05-14,1070,1025,45,0
2015-05-15,3840,3788,52,0
2015-05-16,198,167,31,0
2015-05-17,333,282,51,0
2015-05-18,153,121,32,0
2015-05-19,171,142,29,0
2015-05-20,207,157,50,0
2015-05-21,4359,4285,74,0
2015-05-22,173,112,61,0
2015-05-23,270,208,62,0
2015-05-24,184,143,41,0
2015-05-25,281,224,57,0
2015-05-26,305,196,109,0
2015-05-27,250,201,49,0
2015-05-28,243,188,55,0
2015-05-29,235,200,35,0
2015-05-30,164,131,33,0
2015-05-31,259,211,48,0
2015-06-01,267,204,63,0
2015-06-02,253,194,59,0
2015-06-03,208,139,69,0
2015-06-04,209,173,36,0
2015-06-05,484,446,38,0
2015-06-06,271,209,62,0
2015-06-07,345,252,93,0
2015-06-08,254,198,56,0
2015-06-09,321,241,80,0
2015-06-10,251,210,41,0
2015-06-11,288,231,57,0
2015-06-12,337,290,47,0
2015-06-13,267,180,87,0
2015-06-14,312,281,31,0
2015-06-15,186,153,33,0
2015-06-16,229,209,20,0
2015-06-17,280,273,7,0
2015-06-18,151,136,15,0
2015-06-19,378,359,19,0
2015-06-20,116,102,14,0
2015-06-21,117,108,9,0
2015-06-22,83,77,6,0
2015-06-23,195,184,11,0
2015-06-24,111,104,7,0
2015-06-25,160,147,13,0
2015-06-26,264,256,8,0
2015-06-27,226,216,10,0
2015-06-28,188,176,12,0
2015-06-29,240,227,13,0
2015-06-30,211,200,11,0
2015-07-01,97,85,12,0
2015-07-02,123,113,10,0
2015-07-03,123,117,6,0
2015-07-04,141,124,17,0
2015-07-05,318,309,9,0
2015-07-06,423,413,10,0
2015-07-07,330,301,29,0
2015-07-08,188,180,8,0
2015-07-09,124,116,8,0
2015-07-10,138,130,8,0
2015-07-11,120,108,12,0
2015-07-12,141,134,7,0
2015-07-13,238,230,8,0
2015-07-14,126,119,7,0
2015-07-15,108,103,5,0
2015-07-16,126,119,7,0
2015-07-17,257,242,15,0
2015-07-18,150,138,12,0
2015-07-19,5122,141,4981,0
2015-07-20,204,189,15,0
2015-07-21,203,190,13,0
2015-07-22,168,164,4,0
2015-07-23,236,232,4,0
2015-07-24,144,132,12,0
2015-07-25,166,158,8,0
2015-07-26,266,169,97,0
2015-07-27,229,222,7,0
2015-07-28,121,109,12,0
2015-07-29,347,179,168,0
2015-07-30,342,312,30,0
2015-07-31,144,130,14,0
2015-08-01,228,170,58,0
2015-08-02,92,67,25,0
2015-08-03,130,116,14,0
2015-08-04,251,224,27,0
2015-08-05,376,353,23,0
2015-08-06,243,211,32,0
2015-08-07,252,215,37,0
2015-08-08,142,106,36,0
2015-08-09,163,136,27,0
2015-08-10,186,168,18,0
2015-08-11,121,112,9,0
2015-08-12,94,89,5,0
2015-08-13,201,191,10,0
2015-08-14,496,476,20,0
2015-08-15,276,260,16,0
2015-08-16,83,63,20,0
2015-08-17,80,72,8,0
2015-08-18,134,121,13,0
2015-08-19,74,64,10,0
2015-08-20,77,66,11,0
2015-08-21,98,91,7,0
2015-08-22,73,60,13,0
2015-08-23,108,94,14,0
2015-08-24,150,109,41,0
2015-08-25,94,80,14,0
2015-08-26,97,87,10,0
2015-08-27,94,87,7,0
2015-08-28,137,125,12,0
2015-08-29,84,74,10,0
2015-08-30,62,59,3,0
2015-08-31,67,55,12,0
2015-09-01,57,43,14,0
2015-09-02,309,308,1,0
2015-09-03,145,101,44,0
2015-09-04,76,67,9,0
2015-09-05,248,238,10,0
2015-09-06,105,90,15,0
2015-09-07,79,69,10,0
2015-09-08,119,104,15,0
2015-09-09,234,228,6,0
2015-09-10,97,87,10,0
2015-09-11,501,487,14,0
2015-09-12,551,538,13,0
2015-09-13,293,283,10,0
2015-09-14,286,268,18,0
2015-09-15,237,221,16,0
2015-09-16,53,49,4,0
2015-09-17,127,113,14,0
2015-09-18,157,138,19,0
