Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,106,73,33,0
2015-05-02,120,99,21,0
2015-05-03,103,98,5,0
2015-05-04,189,179,10,0
2015-05-05,144,132,12,0
2015-05-06,95,82,13,0
2015-05-07,116,78,38,0
2015-05-08,106,88,18,0
2015-05-09,112,93,19,0
2015-05-10,144,125,19,0
2015-05-11,125,112,13,0
2015-05-12,75,72,3,0
2015-05-13,187,176,11,0
2015-05-14,104,84,20,0
2015-05-15,90,83,7,0
2015-05-16,97,74,23,0
2015-05-17,84,72,12,0
2015-05-18,79,64,15,0
2015-05-19,180,165,15,0
2015-05-20,107,94,13,0
2015-05-21,115,98,17,0
2015-05-22,142,131,11,0
2015-05-23,86,75,11,0
2015-05-24,145,111,34,0
2015-05-25,118,87,31,0
2015-05-26,104,69,35,0
2015-05-27,172,159,13,0
2015-05-28,113,101,12,0
2015-05-29,101,77,24,0
2015-05-30,65,59,6,0
2015-05-31,104,77,27,0
2015-06-01,167,137,30,0
2015-06-02,130,113,17,0
2015-06-03,98,89,9,0
2015-06-04,102,89,13,0
2015-06-05,152,132,20,0
2015-06-06,134,118,16,0
2015-06-07,90,77,13,0
2015-06-08,123,89,34,0
2015-06-09,229,213,16,0
2015-06-10,334,314,20,0
2015-06-11,240,218,22,0
2015-06-12,141,112,29,0
2015-06-13,106,76,30,0
2015-06-14,160,134,26,0
2015-06-15,98,82,16,0
2015-06-16,120,108,12,0
2015-06-17,61,61,0,0
2015-06-18,169,168,1,0
2015-06-19,149,148,1,0
2015-06-20,44,41,3,0
2015-06-21,111,110,1,0
2015-06-22,26,24,2,0
2015-06-23,97,95,2,0
2015-06-24,26,26,0,0
2015-06-25,24,23,1,0
2015-06-26,43,43,0,0
2015-06-27,37,37,0,0
2015-06-28,94,94,0,0
