Date,Total,Desktop site,Mobile site,Zero site
2015-05-01,2183,1395,682,106
2015-05-02,1745,1308,296,141
2015-05-03,2034,1085,680,269
2015-05-04,3497,2382,810,305
2015-05-05,2669,1751,612,306
2015-05-06,2629,1785,582,262
2015-05-07,3012,2263,521,228
2015-05-08,2064,1600,362,102
2015-05-09,2468,2037,314,117
2015-05-10,2706,1958,522,226
2015-05-11,2969,2146,575,248
2015-05-12,2779,1881,653,245
2015-05-13,3484,2475,786,223
2015-05-14,2647,1943,454,250
2015-05-15,3247,2623,517,107
2015-05-16,2060,1707,251,102
2015-05-17,3278,2489,597,192
2015-05-18,2283,1579,450,254
2015-05-19,2732,1865,674,193
2015-05-20,4606,3724,596,286
2015-05-21,2809,2143,497,169
2015-05-22,3098,2523,466,109
2015-05-23,3592,3140,350,102
2015-05-24,2646,1809,548,289
2015-05-25,2903,2102,516,285
2015-05-26,2453,1756,475,222
2015-05-27,2168,1604,433,131
2015-05-28,1956,1441,388,127
2015-05-29,1877,1381,401,95
2015-05-30,1745,1380,278,87
2015-05-31,1691,1197,370,124
2015-06-01,2078,1582,366,130
2015-06-02,2705,2094,461,150
2015-06-03,2244,1808,330,106
2015-06-04,2441,1968,387,86
2015-06-05,2939,2510,318,111
2015-06-06,2384,1866,431,87
2015-06-07,2287,1927,265,95
2015-06-08,2607,2145,334,128
2015-06-09,2618,2066,402,150
2015-06-10,2650,2133,406,111
2015-06-11,3181,2668,384,129
2015-06-12,2406,1995,303,108
2015-06-13,2181,1787,280,114
2015-06-14,1988,1511,310,167
2015-06-15,1899,1494,288,117
2015-06-16,1563,1306,182,75
2015-06-17,1555,1202,228,125
2015-06-18,2811,2500,236,75
2015-06-19,2117,1884,146,87
2015-06-20,2571,2347,157,67
2015-06-21,2289,2057,175,57
2015-06-22,1443,1215,167,61
2015-06-23,905,686,125,94
2015-06-24,1008,778,148,82
2015-06-25,1544,1308,174,62
2015-06-26,1547,1324,163,60
2015-06-27,1496,1274,153,69
2015-06-28,1466,1283,132,51
2015-06-29,1923,1702,171,50
2015-06-30,1453,1265,132,56
2015-07-01,1513,1275,171,67
2015-07-02,1802,1532,196,74
2015-07-03,1014,813,157,44
2015-07-04,631,448,141,42
2015-07-05,1064,816,192,56
2015-07-06,1609,1289,253,67
2015-07-07,1617,1352,201,64
2015-07-08,1146,874,189,83
2015-07-09,1100,880,157,63
2015-07-10,1024,680,195,149
2015-07-11,680,495,145,40
2015-07-12,854,669,120,65
2015-07-13,963,733,128,102
2015-07-14,935,699,149,87
2015-07-15,1079,886,120,73
2015-07-16,1046,844,152,50
2015-07-17,701,543,124,34
2015-07-18,784,637,100,47
2015-07-19,1457,631,756,70
2015-07-20,1274,946,206,122
2015-07-21,1310,903,253,154
2015-07-22,1273,814,259,200
2015-07-23,1196,810,241,145
2015-07-24,976,753,162,61
2015-07-25,812,602,126,84
2015-07-26,1062,688,222,152
2015-07-27,1334,863,301,170
2015-07-28,1462,937,332,193
2015-07-29,1615,1101,367,147
2015-07-30,1472,978,316,178
2015-07-31,1157,853,226,78
2015-08-01,1050,804,166,80
2015-08-02,1236,792,268,176
2015-08-03,1134,612,332,190
2015-08-04,1856,1214,463,179
2015-08-05,1551,939,374,238
2015-08-06,1484,893,398,193
2015-08-07,1937,1571,251,115
2015-08-08,1029,758,179,92
2015-08-09,1265,941,190,134
2015-08-10,1510,787,418,305
2015-08-11,1453,650,500,303
2015-08-12,1646,908,474,264
2015-08-13,2209,1528,396,285
2015-08-14,988,655,200,133
2015-08-15,1118,772,252,94
2015-08-16,1859,1264,396,199
2015-08-17,2347,1528,508,311
2015-08-18,9514,8705,547,262
2015-08-19,1920,1271,407,242
2015-08-20,1863,1168,455,240
2015-08-21,1390,995,291,104
2015-08-22,1297,911,257,129
2015-08-23,1603,1018,441,144
2015-08-24,2654,1166,984,504
2015-08-25,1992,931,571,490
2015-08-26,1719,899,438,382
2015-08-27,1712,999,434,279
2015-08-28,1132,838,188,106
2015-08-29,917,708,151,58
2015-08-30,981,652,225,104
2015-08-31,1453,804,437,212
2015-09-01,1338,745,372,221
2015-09-02,1561,1009,339,213
2015-09-03,1237,862,266,109
2015-09-04,1407,1056,250,101
2015-09-05,978,726,188,64
2015-09-06,1316,862,286,168
2015-09-07,1366,843,347,176
2015-09-08,1555,943,428,184
2015-09-09,1341,860,313,168
2015-09-10,1583,1036,401,146
2015-09-11,1213,915,201,97
2015-09-12,1442,1150,212,80
2015-09-13,1326,902,305,119
2015-09-14,1618,998,377,243
2015-09-15,1803,1245,326,232
2015-09-16,1422,939,321,162
2015-09-17,1234,759,285,190
2015-09-18,1368,947,230,191
2015-09-19,1474,1152,151,171
2015-09-20,1412,1070,223,119
2015-09-21,1427,914,299,214
2015-09-22,1190,773,252,165
2015-09-23,1204,832,212,160
2015-09-24,1402,947,303,152
2015-09-25,1187,898,208,81
2015-09-26,987,757,144,86
2015-09-27,947,700,178,69
2015-09-28,1293,747,267,279
2015-09-29,1655,1260,243,152
2015-09-30,1331,918,261,152
2015-10-01,1410,1077,200,133
