Date,Total,Desktop site,Mobile site,Zero site
2015-05,7247,5264,1983,0
2015-06,6438,4309,2129,0
2015-07,2825,2240,585,0
2015-08,2080,1514,566,0
2015-09,3807,3539,268,0
2015-10,2913,2613,299,1
2015-11,1902,1743,157,2
2015-12,2186,1889,294,3
2016-01,2294,2107,186,1
2016-02,2345,2051,282,12
2016-03,2284,1962,313,9
2016-04,5070,4455,596,19
2016-05,3116,2585,515,16
2016-06,54251,53990,237,24
2016-07,1391,1215,169,7
2016-08,1861,1684,167,10
2016-09,1272,1152,109,11
2016-10,1561,1457,88,16
