Date,Total,Desktop site,Mobile site,Zero site
2015-05,84076,47585,36491,0
2015-06,79984,42034,37950,0
2015-07,64707,27651,37056,0
2015-08,83101,34472,48629,0
2015-09,83326,43950,39376,0
2015-10,78517,34999,22714,20804
2015-11,80419,33704,18554,28161
2015-12,69966,30664,19863,19439
2016-01,88103,47202,19053,21848
2016-02,110504,62325,25085,23094
2016-03,103033,44192,27263,31578
2016-04,116794,53890,28445,34459
2016-05,125090,48697,31986,44407
2016-06,158905,87411,29728,41766
2016-07,148452,76336,32664,39452
2016-08,134628,53631,38456,42541
2016-09,134876,53884,43669,37323
