Date,Total,Desktop site,Mobile site,Zero site
2015-05,6135210,5853891,281319,0
2015-06,4308391,4021783,286608,0
2015-07,3817906,3490371,327535,0
2015-08,2460651,2068432,392219,0
2015-09,2106391,1811440,294951,0
2015-10,895980,626109,268372,1499
2015-11,891403,639167,243772,8464
2015-12,811190,583792,221795,5603
2016-01,965900,691200,272104,2596
2016-02,990271,730500,257351,2420
2016-03,1009867,711458,295640,2769
2016-04,1021763,748385,271024,2354
2016-05,1022380,710965,308206,3209
2016-06,949441,650326,296590,2525
2016-07,1040822,694259,344659,1904
2016-08,1096580,733587,360768,2225
2016-09,966068,643595,320759,1714
2016-10,947368,655131,290250,1987
2016-11,838184,609135,227213,1836
2016-12,742899,530010,211294,1595
