Date,Total,Desktop site,Mobile site,Zero site
2015-05,27619,21607,6012,0
2015-06,20941,16290,4651,0
2015-07,19056,13104,5952,0
2015-08,15890,13256,2634,0
2015-09,19456,17642,1814,0
2015-10,11316,9933,1302,81
2015-11,8948,8159,652,137
2015-12,15114,13587,1434,93
2016-01,16792,15436,1295,61
2016-02,14615,12965,1614,36
2016-03,12915,11668,1191,56
2016-04,28562,11025,17412,125
2016-05,16114,11732,4321,61
2016-06,57823,56609,1086,128
2016-07,9366,8238,1006,122
2016-08,13529,12229,1218,82
2016-09,9877,8924,883,70
2016-10,12438,10117,2246,75
2016-11,10500,9120,1330,50
2016-12,179603,138109,41464,30
2017-01,11346,9849,1371,126
2017-02,13682,12580,1054,48
2017-03,14195,12735,1330,130
2017-04,9351,8363,917,71
2017-05,9595,8649,897,49
2017-06,7637,6750,831,56
