Date,Total,Desktop site,Mobile site,Zero site
2015-05,2090642,1244775,845867,0
2015-06,1881209,1106037,775172,0
2015-07,1545997,867187,678810,0
2015-08,1528596,850991,677605,0
2015-09,1657399,977570,679829,0
2015-10,1520410,877861,635824,6725
2015-11,1671121,1012666,645584,12871
2015-12,1291209,713717,571656,5836
2016-01,1350324,709143,634305,6876
2016-02,1446828,778789,658946,9093
2016-03,1448167,788914,649374,9879
2016-04,1513604,852511,648479,12614
2016-05,1327481,752337,564086,11058
2016-06,1240762,692778,538839,9145
2016-07,1068631,570658,488709,9264
2016-08,1170902,649690,511173,10039
2016-09,1276874,725090,542973,8811
2016-10,1220704,680702,531335,8667
