Date,Total,Desktop site,Mobile site,Zero site
2015-05,108161,68540,39621,0
2015-06,88843,54820,34023,0
2015-07,77828,45367,32461,0
2015-08,83241,52281,30960,0
2015-09,93990,62990,31000,0
2015-10,84957,53417,31509,31
2015-11,96478,63235,33132,111
2015-12,113651,67803,45790,58
2016-01,97719,62084,35597,38
2016-02,93672,56308,37321,43
2016-03,98041,59149,38839,53
2016-04,99456,58407,40990,59
2016-05,87102,51947,35080,75
2016-06,129566,93225,36283,58
2016-07,77915,42180,35700,35
2016-08,87185,48094,39045,46
2016-09,98203,56170,41977,56
2016-10,111264,60312,50935,17
2016-11,1779686,1736116,43541,29
2016-12,1040727,989419,51124,184
2017-01,106249,61901,44288,60
2017-02,112922,68118,44740,64
2017-03,122945,76162,46738,45
