Date,Total,Desktop site,Mobile site,Zero site
2015-05,77472,53802,23670,0
2015-06,50056,35731,14325,0
2015-07,55072,41391,13681,0
2015-08,56867,42813,14054,0
2015-09,65020,49282,15738,0
2015-10,61807,45363,16388,56
2015-11,80862,63884,16937,41
2015-12,77695,59737,17909,49
2016-01,70484,52487,17972,25
2016-02,81069,56170,24786,113
2016-03,55775,38942,16767,66
2016-04,67692,47419,20114,159
2016-05,72157,54333,17628,196
2016-06,95881,80461,15289,131
2016-07,48339,33508,14786,45
2016-08,52966,35821,17018,127
