Date,Total,Desktop site,Mobile site,Zero site
2015-05,165903,150060,15587,256
2015-06,142263,128075,13838,350
2015-07,204432,184903,19199,330
2015-08,144017,124602,19141,274
2015-09,151340,139615,11451,274
2015-10,115337,105348,9526,463
2015-11,100561,91142,8948,471
2015-12,95767,85036,10158,573
2016-01,129142,118130,10436,576
2016-02,107501,97219,9737,545
2016-03,104033,95282,8271,480
2016-04,131427,99175,31718,534
2016-05,253686,201615,51400,671
2016-06,141595,133847,7123,625
2016-07,105193,96408,8273,512
2016-08,144951,135041,9486,424
2016-09,124511,115981,8308,222
2016-10,242197,211470,30295,432
2016-11,187941,178894,8559,488
2016-12,185184,169054,13064,3066
2017-01,153315,144388,8610,317
