Date,Total,Desktop site,Mobile site,Zero site
2015-05,590681,546309,43883,489
2015-06,432890,404128,28257,505
2015-07,434076,366378,66981,717
2015-08,453906,410820,42590,496
2015-09,513072,470389,42123,560
2015-10,364706,322383,41366,957
2015-11,321671,274168,46418,1085
2015-12,302955,267828,33998,1129
2016-01,411563,368027,42627,909
2016-02,375579,340425,33470,1684
2016-03,379460,344717,33457,1286
2016-04,406758,349521,55911,1326
2016-05,573720,509698,62908,1114
2016-06,458909,427351,30138,1420
2016-07,330408,302342,26695,1371
2016-08,441508,414251,26413,844
2016-09,389572,357967,30868,737
2016-10,547655,507453,39423,779
2016-11,581548,548176,32614,758
2016-12,498578,453403,32256,12919
2017-01,492943,462524,29588,831
2017-02,480842,442557,37155,1130
2017-03,420041,388411,30093,1537
2017-04,377524,349889,26670,965
2017-05,489604,463839,25080,685
2017-06,347076,322028,24293,755
