Date,Total,Desktop site,Mobile site,Zero site
2015-05,108551,100800,7560,191
2015-06,92412,85215,7061,136
2015-07,71481,61996,9341,144
2015-08,78646,69167,9377,102
2015-09,70201,64143,5954,104
2015-10,61695,56409,4990,296
2015-11,49709,44100,5335,274
2015-12,77440,70105,7119,216
2016-01,75320,69138,5907,275
2016-02,57191,52196,4705,290
2016-03,62738,57875,4630,233
2016-04,100990,72621,28174,195
2016-05,143274,107317,35708,249
2016-06,72391,68854,3242,295
2016-07,54632,50428,3965,239
2016-08,70163,65288,4709,166
2016-09,69685,64831,4705,149
2016-10,94289,88208,5876,205
2016-11,104502,97391,6767,344
