Date,Total,Desktop site,Mobile site,Zero site
2015-05,25648,24339,1309,0
2015-06,13953,13172,781,0
2015-07,7831,7701,130,0
2015-08,6839,6667,172,0
2015-09,69875,67574,2301,0
2015-10,24139,21156,2974,9
2015-11,24695,19912,4765,18
2015-12,24774,19136,5595,43
2016-01,33893,29490,4389,14
2016-02,20461,16071,4372,18
2016-03,170942,114463,56439,40
2016-04,537861,361203,176644,14
2016-05,317626,196118,121495,13
2016-06,363126,288038,75061,27
2016-07,5282,4102,1110,70
2016-08,7202,5340,1828,34
2016-09,24021,17952,6052,17
2016-10,20003,14368,5591,44
2016-11,20316,12884,7372,60
2016-12,34215,27541,6613,61
2017-01,960026,953505,6488,33
2017-02,21570,14815,6710,45
2017-03,16728,11148,5546,34
