Date,Total,Desktop site,Mobile site,Zero site
2015-05,36217,31351,4866,0
2015-06,18264,13893,4371,0
2015-07,13801,10773,3028,0
2015-08,14812,12434,2378,0
2015-09,17388,15323,2065,0
2015-10,16795,15258,1506,31
2015-11,9746,8123,1578,45
2015-12,20977,17628,3297,52
2016-01,18141,13368,4731,42
2016-02,21529,17898,3600,31
2016-03,21802,15379,6399,24
2016-04,33214,26261,6897,56
2016-05,58576,38080,20481,15
2016-06,57410,53539,3845,26
2016-07,23534,15491,8019,24
2016-08,29401,19980,9397,24
2016-09,24828,17866,6881,81
2016-10,41151,27400,13706,45
2016-11,32983,14626,18342,15
2016-12,34567,20157,14371,39
2017-01,23712,17803,5882,27
2017-02,13605,11615,1920,70
2017-03,27041,24387,2577,77
2017-04,13400,11478,1840,82
