Date,Total,Desktop site,Mobile site,Zero site
2015-05,13731,11820,1911,0
2015-06,12274,10898,1376,0
2015-07,8907,7688,1219,0
2015-08,17764,16917,847,0
2015-09,15776,13570,2206,0
2015-10,14721,13529,1186,6
2015-11,14928,13584,1253,91
2015-12,19014,17376,1631,7
2016-01,19759,18947,798,14
2016-02,7172,6407,748,17
2016-03,7351,6066,1274,11
2016-04,15136,10116,5003,17
2016-05,12218,10420,1787,11
2016-06,17940,16304,1609,27
2016-07,17657,16250,1398,9
2016-08,14231,13169,1040,22
2016-09,11614,10764,832,18
2016-10,17347,15640,1698,9
2016-11,18595,16201,2354,40
2016-12,11209,8826,2362,21
2017-01,8724,7479,1235,10
2017-02,9532,7809,1711,12
2017-03,7794,6636,1141,17
2017-04,8182,7099,1065,18
