Date,Total,Desktop site,Mobile site,Zero site
2015-05,18631,17294,1337,0
2015-06,10822,9415,1407,0
2015-07,8361,5644,2717,0
2015-08,6551,6000,551,0
2015-09,14755,12962,1793,0
2015-10,6453,5856,561,36
2015-11,5908,4891,986,31
2015-12,11519,9526,1878,115
2016-01,9258,7242,1969,47
2016-02,11219,8450,2693,76
2016-03,15191,13780,1354,57
2016-04,31045,24731,6252,62
2016-05,41617,39362,2215,40
2016-06,44987,43951,990,46
2016-07,8822,7227,1514,81
2016-08,12714,10385,2255,74
2016-09,8492,6876,1585,31
2016-10,32271,30505,1726,40
2016-11,7157,6135,970,52
2016-12,26512,25658,770,84
2017-01,8963,7928,975,60
2017-02,7545,6666,782,97
2017-03,28227,27381,779,67
