Date,Total,Desktop site,Mobile site,Zero site
2015-05,96704493,50573145,46110305,21043
2015-06,80461962,39763014,40676586,22362
2015-07,78957778,33934779,44997696,25303
2015-08,77708488,35822289,41862107,24092
2015-09,90445114,48071843,42350805,22466
2015-10,88269199,44275221,43955709,38269
2015-11,92096372,45545709,46508919,41744
2015-12,91148005,42806529,48298233,43243
2016-01,98440595,44200588,54187444,52563
2016-02,93791309,44013285,49731353,46671
2016-03,90541228,42062168,48434055,45005
