Date,Total,Desktop site,Mobile site,Zero site
2015-05,78010,67448,7320,3242
2015-06,66611,58588,6814,1209
2015-07,51698,44060,6906,732
2015-08,55141,47400,7096,645
2015-09,57104,49810,6254,1040
2015-10,45662,39769,4474,1419
2015-11,37225,30624,4348,2253
2015-12,38908,32868,4787,1253
2016-01,66444,56505,7226,2713
2016-02,52131,41414,7891,2826
2016-03,49861,41818,5524,2519
2016-04,56329,45875,8669,1785
2016-05,105279,64373,39244,1662
2016-06,70543,64599,4029,1915
2016-07,46998,41659,3616,1723
2016-08,61146,55354,4630,1162
2016-09,55149,48791,5021,1337
2016-10,71806,64635,6180,991
2016-11,71365,65914,4624,827
2016-12,62044,56655,4269,1120
2017-01,56674,51330,4481,863
2017-02,82836,73637,8038,1161
2017-03,66500,58110,6554,1836
2017-04,58663,51504,5745,1414
2017-05,56822,50499,4923,1400
2017-06,54294,47056,6014,1224
