Date,Total,Desktop site,Mobile site,Zero site
2015-05,48875,29136,19739,0
2015-06,57320,33977,23343,0
2015-07,51021,31078,19943,0
2015-08,43134,24904,18230,0
2015-09,46708,28999,17709,0
2015-10,34759,17348,13569,3842
2015-11,33553,16517,13234,3802
2015-12,34483,16184,13545,4754
2016-01,31433,16834,11595,3004
2016-02,28604,15402,10777,2425
2016-03,27715,15023,9705,2987
2016-04,36556,13258,20984,2314
2016-05,26987,12801,12109,2077
2016-06,71541,58027,10779,2735
2016-07,28802,13350,12504,2948
2016-08,27399,13464,11407,2528
2016-09,31366,14994,13619,2753
2016-10,40613,17207,19564,3842
2016-11,52845,33264,16606,2975
2016-12,32060,16719,12542,2799
2017-01,27442,13240,10972,3230
2017-02,38196,18769,15626,3801
2017-03,37559,17886,14813,4860
