Date,Total,Desktop site,Mobile site,Zero site
2015-05,316118,170184,145934,0
2015-06,402748,191252,211496,0
2015-07,399190,186581,212609,0
2015-08,419500,200351,219149,0
2015-09,488419,254799,233620,0
2015-10,253914,123361,115741,14812
2015-11,381183,175574,171237,34372
2015-12,313087,158035,128281,26771
2016-01,323658,144720,150480,28458
2016-02,342146,152996,161422,27728
2016-03,353766,243389,94511,15866
2016-04,225331,133172,79007,13152
2016-05,327445,186094,121300,20051
2016-06,360463,164378,166357,29728
2016-07,324524,129377,163962,31185
2016-08,394391,163283,195719,35389
2016-09,365125,161831,175985,27309
2016-10,297302,159327,119253,18722
2016-11,383228,157196,192038,33994
2016-12,334759,151619,154568,28572
2017-01,357383,152983,172909,31491
2017-02,479576,182884,252544,44148
2017-03,423282,214170,179692,29420
2017-04,321976,126779,167491,27706
2017-05,486442,179247,262517,44678
2017-06,676256,246493,366476,63287
