Date,Total,Desktop site,Mobile site,Zero site
2015-05,252339,154410,97929,0
2015-06,184394,102862,81532,0
2015-07,124497,64748,59749,0
2015-08,141365,81828,59537,0
2015-09,169826,102049,67777,0
2015-10,250153,141339,108747,67
2015-11,294676,166885,127661,130
2015-12,280595,147500,132981,114
2016-01,235644,123917,111664,63
2016-02,216783,111199,105380,204
2016-03,268583,140798,127651,134
2016-04,265075,130293,134581,201
2016-05,252618,116728,135607,283
2016-06,192383,75841,116393,149
2016-07,186804,67733,118903,168
2016-08,196047,92387,103515,145
