Date,Total,Desktop site,Mobile site,Zero site
2015-05,51090037,29705148,21334710,50179
2015-06,49193719,27910259,21243100,40360
2015-07,50413793,29108062,21267891,37840
2015-08,51054076,28794792,22219657,39627
2015-09,50917835,29089939,21791604,36292
2015-10,50057012,27815599,22194034,47379
2015-11,48669516,26739705,21872583,57228
2015-12,43628784,22514794,21073020,40970
2016-01,45405677,23398298,21963744,43635
2016-02,39293444,18582983,20661316,49145
2016-03,48463442,24690784,23724095,48563
2016-04,51711121,27498597,24161835,50689
2016-05,44699689,21837681,22812559,49449
2016-06,44041756,21509094,22483749,48913
2016-07,41302767,18829193,22427944,45630
2016-08,43028110,20200592,22789118,38400
2016-09,45807492,22487324,23291563,28605
2016-10,47762731,22867170,24871735,23826
