Date,Total,Desktop site,Mobile site,Zero site
2015-05,291261,251153,40108,0
2015-06,281141,224102,57039,0
2015-07,172851,122386,50465,0
2015-08,308818,254666,54152,0
2015-09,344550,294881,49669,0
2015-10,302113,249085,52937,91
2015-11,247871,208658,39094,119
2015-12,76582,47198,28938,446
2016-01,68759,43627,25077,55
2016-02,54993,33667,21139,187
2016-03,80563,49946,30540,77
2016-04,93057,57477,35459,121
2016-05,72781,48485,24215,81
2016-06,83731,62850,20795,86
2016-07,53727,34968,18677,82
2016-08,71618,52838,18596,184
2016-09,83185,66501,16525,159
2016-10,75016,57558,17388,70
2016-11,55211,39204,15935,72
2016-12,73046,56479,16515,52
2017-01,40129,29988,10092,49
