Date,Total,Desktop site,Mobile site,Zero site
2015-05,297045,285652,11136,257
2015-06,276359,267215,9082,62
2015-07,288578,282286,6109,183
2015-08,271168,259073,11945,150
2015-09,430364,420117,9972,275
2015-10,328954,320612,7045,1297
2015-11,365526,355295,8125,2106
2015-12,303086,294826,5969,2291
2016-01,345412,336292,6984,2136
2016-02,298490,284191,11034,3265
2016-03,341916,330563,7511,3842
2016-04,429833,416232,8756,4845
2016-05,388256,363664,19401,5191
2016-06,372373,361094,5607,5672
2016-07,320808,302091,13229,5488
2016-08,426685,414380,8760,3545
